condition,replicate,measurement,unit,experiment_batch
Control,R1,1.037,relative_signal,Batch_1
Control,R2,0.875,relative_signal,Batch_2
Control,R3,1.09,relative_signal,Batch_1
Control,R4,1.113,relative_signal,Batch_2
Control,R5,0.766,relative_signal,Batch_1
Control,R6,0.844,relative_signal,Batch_2
Drug_A,R1,1.615,relative_signal,Batch_1
Drug_A,R2,1.562,relative_signal,Batch_2
Drug_A,R3,1.598,relative_signal,Batch_1
Drug_A,R4,1.498,relative_signal,Batch_2
Drug_A,R5,1.706,relative_signal,Batch_1
Drug_A,R6,1.693,relative_signal,Batch_2
Drug_B,R1,0.708,relative_signal,Batch_1
Drug_B,R2,0.835,relative_signal,Batch_2
Drug_B,R3,0.756,relative_signal,Batch_1
Drug_B,R4,0.597,relative_signal,Batch_2
Drug_B,R5,0.744,relative_signal,Batch_1
Drug_B,R6,0.585,relative_signal,Batch_2
Combination,R1,2.205,relative_signal,Batch_1
Combination,R2,2.094,relative_signal,Batch_2
Combination,R3,2.078,relative_signal,Batch_1
Combination,R4,2.018,relative_signal,Batch_2
Combination,R5,2.247,relative_signal,Batch_1
Combination,R6,2.081,relative_signal,Batch_2
