group,value,sex
Vehicle,3.359,M
Vehicle,4.849,M
Vehicle,3.199,F
Vehicle,5.059,F
Vehicle,5.144,F
Vehicle,4.059,F
Vehicle,4.958,F
Vehicle,4.39,F
Vehicle,4.849,M
Vehicle,5.638,F
Vehicle,4.765,M
Vehicle,4.855,F
Vehicle,4.95,F
Vehicle,4.466,M
Vehicle,4.188,M
Vehicle,3.303,M
Vehicle,3.197,F
Vehicle,5.343,F
Vehicle,5.435,M
Vehicle,3.431,M
Vehicle,4.013,M
Vehicle,4.962,M
Vehicle,4.622,F
Vehicle,4.194,M
Vehicle,3.811,F
Vehicle,3.112,M
Vehicle,5.555,M
Vehicle,2.638,F
Low_dose,5.443,F
Low_dose,3.361,F
Low_dose,5.326,F
Low_dose,5.788,M
Low_dose,4.888,F
Low_dose,4.608,M
Low_dose,5.309,M
Low_dose,4.549,M
Low_dose,4.971,M
Low_dose,6.013,M
Low_dose,7.184,M
Low_dose,4.711,M
Low_dose,3.757,F
Low_dose,4.843,F
Low_dose,5.127,F
Low_dose,4.662,F
Low_dose,4.853,M
Low_dose,4.254,M
Low_dose,5.469,M
Low_dose,4.802,F
Low_dose,4.358,F
Low_dose,4.812,F
Low_dose,6.097,F
Low_dose,3.995,M
Low_dose,5.226,F
Low_dose,3.848,F
Low_dose,4.202,M
Low_dose,6.39,M
High_dose,6.631,F
High_dose,6.871,F
High_dose,7.398,F
High_dose,5.421,F
High_dose,6.857,F
High_dose,5.224,M
High_dose,6.028,M
High_dose,6.036,M
High_dose,6.52,F
High_dose,7.9,M
High_dose,6.067,F
High_dose,6.295,F
High_dose,7.78,M
High_dose,6.999,M
High_dose,5.935,M
High_dose,8.122,M
High_dose,6.742,F
High_dose,6.94,F
High_dose,6.47,M
High_dose,6.944,F
High_dose,5.587,F
High_dose,6.857,F
High_dose,7.645,F
High_dose,6.211,F
High_dose,7.27,F
High_dose,5.997,F
High_dose,6.828,M
High_dose,6.205,M
