sample_id,device_A,device_B
S000,46.62,44.11
S001,52.82,48.87
S002,56.04,51.55
S003,46.58,46.82
S004,70.13,67.9
S005,60.56,57.6
S006,59.95,59.56
S007,62.04,63.04
S008,38.21,42.29
S009,61.1,62.69
S010,45.09,39.55
S011,52.29,52.0
S012,62.39,68.05
S013,44.31,34.14
S014,35.96,36.41
S015,43.31,47.71
S016,75.4,75.01
S017,53.14,50.06
S018,58.77,62.44
S019,48.74,50.73
S020,42.26,35.79
S021,59.19,52.79
S022,61.45,60.8
S023,46.32,51.88
S024,60.57,61.53
S025,44.34,44.77
S026,56.96,52.02
S027,59.08,59.4
S028,50.15,41.55
S029,44.47,42.77
S030,50.58,49.97
S031,39.77,32.92
S032,56.64,58.19
S033,48.55,46.93
S034,54.14,49.89
S035,55.74,49.19
S036,35.08,29.93
S037,42.81,41.38
S038,39.1,40.34
S039,67.22,61.45
S040,50.57,52.43
S041,40.38,40.16
S042,57.47,55.32
S043,42.81,42.03
S044,47.53,49.47
S045,46.19,45.06
S046,38.97,29.37
S047,28.24,29.67
S048,54.31,47.03
S049,56.35,57.04
S050,63.6,56.7
S051,40.16,37.46
S052,46.93,46.04
S053,51.64,50.87
S054,55.61,49.39
S055,44.53,49.28
S056,64.42,64.65
S057,56.88,51.05
S058,71.24,65.84
S059,61.56,62.57
S060,64.29,59.37
S061,57.15,54.41
S062,36.08,32.21
S063,62.93,58.74
S064,59.36,61.43
S065,55.85,51.17
S066,50.01,52.67
S067,48.37,41.01
S068,42.78,39.75
S069,62.08,66.01
S070,45.97,42.75
S071,30.98,23.83
S072,50.55,48.15
S073,47.99,35.21
S074,43.16,44.09
S075,60.07,59.27
S076,22.03,20.49
S077,57.47,57.26
S078,47.22,51.45
S079,44.96,43.55
S080,43.68,41.5
S081,48.82,52.29
S082,72.6,80.15
S083,56.74,51.92
S084,52.46,54.36
S085,71.19,65.3
S086,59.42,53.67
S087,54.28,51.83
S088,42.13,39.96
S089,36.59,43.19
