sample_id,true_label,predicted_prob
S000,0,0.2495
S001,1,0.5782
S002,1,0.4906
S003,0,0.0929
S004,0,0.722
S005,0,0.3212
S006,0,0.5387
S007,0,0.0533
S008,0,0.0587
S009,0,0.4212
S010,0,0.4378
S011,0,0.1352
S012,0,0.409
S013,1,0.663
S014,0,0.107
S015,0,0.4002
S016,0,0.5095
S017,0,0.0995
S018,0,0.0664
S019,1,0.6616
S020,0,0.1416
S021,0,0.5219
S022,1,0.7259
S023,0,0.1798
S024,1,0.3726
S025,0,0.3203
S026,1,0.6288
S027,0,0.4462
S028,0,0.0666
S029,1,0.3631
S030,1,0.7925
S031,0,0.1985
S032,0,0.132
S033,0,0.2275
S034,0,0.0895
S035,0,0.4707
S036,1,0.5027
S037,1,0.2349
S038,0,0.342
S039,1,0.3342
S040,1,0.3704
S041,0,0.1926
S042,0,0.4813
S043,0,0.1058
S044,1,0.5051
S045,0,0.5932
S046,1,0.5993
S047,0,0.7432
S048,0,0.4907
S049,1,0.3179
S050,0,0.0962
S051,1,0.3536
S052,0,0.3413
S053,0,0.3443
S054,0,0.157
S055,0,0.0899
S056,0,0.0361
S057,1,0.7792
S058,1,0.4968
S059,0,0.0144
S060,1,0.3772
S061,1,0.5462
S062,0,0.0906
S063,0,0.2526
S064,1,0.416
S065,1,0.5644
S066,1,0.6446
S067,1,0.7326
S068,1,0.4701
S069,0,0.1949
S070,0,0.0389
S071,0,0.1501
S072,0,0.2239
S073,1,0.6437
S074,0,0.706
S075,1,0.5253
S076,0,0.5202
S077,1,0.3383
S078,0,0.0596
S079,1,0.4368
S080,1,0.6393
S081,0,0.3525
S082,0,0.2365
S083,1,0.4716
S084,0,0.3613
S085,1,0.9361
S086,0,0.5095
S087,0,0.2493
S088,0,0.6186
S089,0,0.2584
S090,0,0.0315
S091,1,0.4854
S092,0,0.4192
S093,0,0.468
S094,0,0.1871
S095,1,0.4948
S096,0,0.4228
S097,0,0.56
S098,0,0.395
S099,1,0.5483
S100,0,0.1443
S101,0,0.2936
S102,1,0.8779
S103,1,0.2281
S104,1,0.8116
S105,0,0.493
S106,0,0.0756
S107,0,0.0051
S108,1,0.7999
S109,0,0.1949
S110,0,0.057
S111,1,0.7089
S112,0,0.4579
S113,1,0.7095
S114,1,0.2441
S115,0,0.7612
S116,0,0.471
S117,0,0.2371
S118,1,0.5269
S119,0,0.1738
S120,1,0.6609
S121,0,0.1697
S122,1,0.1236
S123,0,0.2106
S124,0,0.4845
S125,1,0.4139
S126,0,0.2573
S127,0,0.0081
S128,0,0.2048
S129,1,0.3512
S130,1,0.5384
S131,1,0.4913
S132,0,0.7985
S133,0,0.827
S134,1,0.2827
S135,0,0.302
S136,0,0.4772
S137,1,0.2849
S138,1,0.1267
S139,1,0.8497
S140,1,0.8166
S141,0,0.3241
S142,0,0.3019
S143,0,0.8072
S144,1,0.4926
S145,0,0.0849
S146,1,0.5152
S147,0,0.0341
S148,0,0.2534
S149,0,0.5188
S150,1,0.3958
S151,0,0.4625
S152,0,0.348
S153,0,0.0449
S154,0,0.2083
S155,1,0.7706
S156,1,0.4974
S157,1,0.4559
S158,0,0.1512
S159,1,0.475
S160,1,0.334
S161,0,0.3753
S162,0,0.5346
S163,0,0.3189
S164,0,0.4464
S165,0,0.5364
S166,0,0.7128
S167,0,0.1742
S168,0,0.1412
S169,0,0.3246
S170,0,0.5506
S171,0,0.2392
S172,0,0.5076
S173,1,0.7123
S174,0,0.3812
S175,1,0.4961
S176,1,0.7445
S177,0,0.1251
S178,1,0.7559
S179,1,0.2205
S180,1,0.7257
S181,1,0.6374
S182,1,0.6965
S183,1,0.5284
S184,0,0.1693
S185,0,0.0997
S186,0,0.0464
S187,0,0.2116
S188,1,0.4436
S189,1,0.6313
S190,1,0.4097
S191,1,0.5754
S192,0,0.2083
S193,0,0.1448
S194,0,0.4502
S195,1,0.3698
S196,1,0.8139
S197,1,0.3602
S198,1,0.6909
S199,1,0.3682
S200,0,0.4071
S201,0,0.5779
S202,0,0.1737
S203,0,0.3379
S204,0,0.1062
S205,1,0.4457
S206,0,0.0414
S207,1,0.6469
S208,0,0.0706
S209,1,0.8353
S210,1,0.6485
S211,1,0.6537
S212,1,0.5446
S213,1,0.4051
S214,0,0.1552
S215,1,0.6029
S216,0,0.2354
S217,0,0.2529
S218,0,0.4023
S219,1,0.5587
S220,1,0.6496
S221,1,0.7969
S222,1,0.359
S223,0,0.2841
S224,1,0.7337
S225,1,0.4332
S226,0,0.5388
S227,0,0.3127
S228,1,0.6705
S229,1,0.5897
S230,0,0.4079
S231,1,0.6261
S232,1,0.5237
S233,0,0.5028
S234,1,0.243
S235,0,0.1453
S236,0,0.0813
S237,1,0.6208
S238,1,0.7618
S239,0,0.5033
S240,0,0.5897
S241,0,0.3551
S242,0,0.6477
S243,0,0.3009
S244,1,0.7363
S245,1,0.57
S246,0,0.7562
S247,0,0.1374
S248,0,0.1372
S249,0,0.0622
S250,0,0.5167
S251,0,0.1201
S252,0,0.2195
S253,0,0.3356
S254,0,0.1818
S255,0,0.3539
S256,0,0.2376
S257,1,0.1979
S258,0,0.1584
S259,0,0.3456
S260,1,0.687
S261,0,0.6539
S262,0,0.1395
S263,0,0.4175
S264,1,0.9762
S265,1,0.3679
S266,0,0.374
S267,1,0.5575
S268,1,0.4226
S269,0,0.0741
S270,0,0.038
S271,1,0.5702
S272,0,0.4969
S273,0,0.2839
S274,0,0.3934
S275,0,0.0822
S276,0,0.3157
S277,1,0.4133
S278,0,0.4577
S279,0,0.2866
S280,0,0.4223
S281,1,0.5455
S282,0,0.4531
S283,0,0.3669
S284,0,0.6688
S285,1,0.7605
S286,0,0.0454
S287,0,0.1661
S288,0,0.502
S289,0,0.1048
S290,0,0.3631
S291,1,0.164
S292,1,0.6996
S293,0,0.1265
S294,1,0.249
S295,0,0.1009
S296,0,0.2691
S297,0,0.123
S298,1,0.5408
S299,0,0.1279
S300,0,0.41
S301,0,0.2639
S302,0,0.5511
S303,0,0.3084
S304,0,0.1119
S305,0,0.1122
S306,1,0.5947
S307,0,0.4029
S308,0,0.456
S309,1,0.6078
S310,0,0.0774
S311,0,0.0517
S312,0,0.3101
S313,0,0.344
S314,0,0.6268
S315,1,0.7367
S316,0,0.5427
S317,1,0.7132
S318,1,0.5315
S319,0,0.5683
S320,0,0.0833
S321,1,0.5684
S322,0,0.1674
S323,1,0.306
S324,1,0.0527
S325,1,0.1623
S326,0,0.4464
S327,0,0.1648
S328,1,0.4868
S329,1,0.4094
S330,0,0.2289
S331,0,0.2756
S332,1,0.5547
S333,0,0.2175
S334,0,0.1801
S335,1,0.7767
S336,1,0.3494
S337,0,0.5575
S338,1,0.4576
S339,0,0.2307
S340,0,0.2179
S341,1,0.7818
S342,0,0.5087
S343,0,0.2147
S344,0,0.5667
S345,0,0.5067
S346,1,0.4513
S347,0,0.3123
S348,0,0.3943
S349,0,0.6468
S350,0,0.0936
S351,0,0.3226
S352,0,0.2345
S353,0,0.4521
S354,1,0.4138
S355,1,0.6534
S356,1,0.457
S357,1,0.112
S358,1,0.6883
S359,0,0.5944
S360,0,0.04
S361,0,0.0709
S362,1,0.5571
S363,1,0.2697
S364,0,0.3809
S365,0,0.212
S366,0,0.6398
S367,0,0.3053
S368,0,0.0459
S369,1,0.5404
S370,1,0.634
S371,1,0.5095
S372,1,0.8901
S373,0,0.2343
S374,1,0.3093
S375,0,0.297
S376,1,0.8713
S377,0,0.1892
S378,1,0.63
S379,1,0.3742
S380,0,0.0251
S381,0,0.6167
S382,1,0.6179
S383,1,0.521
S384,1,0.0823
S385,1,0.8579
S386,0,0.2955
S387,0,0.1908
S388,0,0.5028
S389,1,0.8068
S390,1,0.2992
S391,1,0.8007
S392,1,0.4593
S393,0,0.2606
S394,0,0.484
S395,0,0.4699
S396,0,0.2098
S397,1,0.7923
S398,0,0.3118
S399,1,0.4385
