sample_id,true_label,predicted_label
S000,Normal,Normal
S001,Benign,Benign
S002,Benign,Benign
S003,Malignant,Malignant
S004,Malignant,Malignant
S005,Benign,Normal
S006,Benign,Benign
S007,Malignant,Malignant
S008,Normal,Normal
S009,Malignant,Normal
S010,Benign,Benign
S011,Malignant,Malignant
S012,Normal,Normal
S013,Malignant,Normal
S014,Normal,Benign
S015,Benign,Benign
S016,Malignant,Malignant
S017,Malignant,Malignant
S018,Malignant,Malignant
S019,Normal,Benign
S020,Normal,Normal
S021,Benign,Malignant
S022,Malignant,Malignant
S023,Benign,Benign
S024,Benign,Benign
S025,Benign,Benign
S026,Malignant,Malignant
S027,Normal,Normal
S028,Normal,Normal
S029,Benign,Benign
S030,Malignant,Malignant
S031,Normal,Normal
S032,Benign,Benign
S033,Benign,Benign
S034,Benign,Benign
S035,Benign,Benign
S036,Benign,Benign
S037,Normal,Normal
S038,Normal,Normal
S039,Benign,Malignant
S040,Normal,Benign
S041,Normal,Normal
S042,Benign,Benign
S043,Benign,Benign
S044,Normal,Normal
S045,Malignant,Benign
S046,Normal,Normal
S047,Benign,Benign
S048,Normal,Malignant
S049,Benign,Benign
S050,Benign,Benign
S051,Normal,Normal
S052,Malignant,Malignant
S053,Malignant,Malignant
S054,Normal,Normal
S055,Normal,Normal
S056,Malignant,Benign
S057,Normal,Normal
S058,Normal,Normal
S059,Normal,Normal
S060,Benign,Malignant
S061,Benign,Normal
S062,Malignant,Normal
S063,Malignant,Malignant
S064,Malignant,Malignant
S065,Normal,Normal
S066,Malignant,Benign
S067,Benign,Benign
S068,Benign,Benign
S069,Malignant,Benign
S070,Benign,Benign
S071,Benign,Benign
S072,Normal,Normal
S073,Benign,Benign
S074,Normal,Benign
S075,Malignant,Malignant
S076,Benign,Benign
S077,Benign,Benign
S078,Malignant,Malignant
S079,Benign,Benign
S080,Benign,Benign
S081,Malignant,Malignant
S082,Benign,Benign
S083,Normal,Normal
S084,Benign,Benign
S085,Malignant,Malignant
S086,Normal,Normal
S087,Normal,Normal
S088,Malignant,Malignant
S089,Normal,Normal
S090,Benign,Benign
S091,Benign,Normal
S092,Benign,Benign
S093,Normal,Normal
S094,Normal,Normal
S095,Normal,Normal
S096,Normal,Normal
S097,Malignant,Malignant
S098,Normal,Normal
S099,Benign,Normal
S100,Benign,Benign
S101,Normal,Normal
S102,Benign,Normal
S103,Benign,Benign
S104,Malignant,Malignant
S105,Normal,Normal
S106,Malignant,Malignant
S107,Normal,Normal
S108,Benign,Benign
S109,Malignant,Malignant
S110,Malignant,Malignant
S111,Malignant,Malignant
S112,Normal,Normal
S113,Benign,Benign
S114,Benign,Benign
S115,Normal,Normal
S116,Malignant,Malignant
S117,Malignant,Malignant
S118,Benign,Benign
S119,Normal,Normal
S120,Normal,Normal
S121,Benign,Benign
S122,Malignant,Benign
S123,Benign,Benign
S124,Benign,Normal
S125,Malignant,Malignant
S126,Normal,Normal
S127,Normal,Benign
S128,Normal,Benign
S129,Malignant,Malignant
S130,Malignant,Malignant
S131,Normal,Normal
S132,Malignant,Malignant
S133,Normal,Normal
S134,Normal,Normal
S135,Benign,Malignant
S136,Malignant,Malignant
S137,Benign,Benign
S138,Malignant,Malignant
S139,Malignant,Malignant
S140,Normal,Normal
S141,Benign,Benign
S142,Normal,Normal
S143,Malignant,Malignant
S144,Normal,Normal
S145,Benign,Benign
S146,Malignant,Malignant
S147,Normal,Normal
S148,Normal,Normal
S149,Normal,Normal
S150,Benign,Benign
S151,Malignant,Malignant
S152,Normal,Normal
S153,Benign,Benign
S154,Benign,Normal
S155,Normal,Normal
S156,Normal,Normal
S157,Malignant,Malignant
S158,Malignant,Malignant
S159,Malignant,Malignant
S160,Malignant,Malignant
S161,Benign,Benign
S162,Benign,Normal
S163,Normal,Normal
S164,Benign,Benign
S165,Normal,Normal
S166,Benign,Malignant
S167,Normal,Normal
S168,Malignant,Malignant
S169,Benign,Benign
S170,Malignant,Malignant
S171,Benign,Benign
S172,Normal,Benign
S173,Benign,Benign
S174,Normal,Malignant
S175,Benign,Benign
S176,Benign,Benign
S177,Malignant,Malignant
S178,Malignant,Malignant
S179,Normal,Benign
S180,Normal,Normal
S181,Malignant,Malignant
S182,Normal,Normal
S183,Benign,Benign
S184,Benign,Benign
S185,Normal,Benign
S186,Benign,Benign
S187,Malignant,Malignant
S188,Malignant,Malignant
S189,Malignant,Malignant
S190,Benign,Benign
S191,Normal,Normal
S192,Benign,Benign
S193,Benign,Benign
S194,Malignant,Malignant
S195,Malignant,Malignant
S196,Normal,Normal
S197,Malignant,Malignant
S198,Normal,Normal
S199,Normal,Normal
S200,Normal,Normal
S201,Benign,Benign
S202,Malignant,Malignant
S203,Benign,Benign
S204,Malignant,Malignant
S205,Normal,Normal
S206,Normal,Malignant
S207,Malignant,Malignant
S208,Normal,Malignant
S209,Malignant,Malignant
S210,Benign,Benign
S211,Benign,Benign
S212,Benign,Malignant
S213,Benign,Normal
S214,Malignant,Malignant
S215,Normal,Normal
S216,Benign,Normal
S217,Normal,Benign
S218,Normal,Normal
S219,Normal,Benign
S220,Malignant,Malignant
S221,Benign,Benign
S222,Normal,Benign
S223,Benign,Malignant
S224,Normal,Normal
S225,Normal,Malignant
S226,Normal,Normal
S227,Malignant,Malignant
S228,Malignant,Malignant
S229,Normal,Benign
S230,Normal,Normal
S231,Malignant,Malignant
S232,Benign,Benign
S233,Malignant,Malignant
S234,Benign,Benign
S235,Malignant,Malignant
S236,Malignant,Malignant
S237,Normal,Normal
S238,Malignant,Malignant
S239,Malignant,Benign
