gene	Tumor_1	Tumor_2	Tumor_3	Tumor_4	Tumor_5	Normal_1	Normal_2	Normal_3	Normal_4	Normal_5
Gene_01	2.712	4.323	0.34	1.913	3.233	1.069	1.407	0.204	1.212	2.412
Gene_02	2.937	3.333	1.361	0.05	1.748	-0.06	1.166	-0.372	0.114	0.064
Gene_03	3.69	2.301	1.746	2.16	2.368	1.025	-0.571	1.769	1.091	0.746
Gene_04	2.866	1.951	0.738	1.578	1.343	1.021	-0.892	0.308	0.536	-1.607
Gene_05	1.674	2.14	3.383	1.335	2.718	0.348	-0.89	0.89	0.665	-0.569
Gene_06	2.482	2.379	1.378	0.625	2.247	0.393	0.712	0.947	1.511	0.735
Gene_07	2.107	1.627	3.739	1.287	1.668	0.623	-0.876	2.997	1.267	-0.1
Gene_08	1.218	1.49	2.088	0.954	2.837	1.387	-1.332	-0.247	0.849	-1.581
Gene_09	2.823	1.63	-1.004	1.606	0.478	0.665	-0.151	-1.29	-0.374	1.483
Gene_10	1.355	1.789	3.458	2.92	1.965	0.027	-0.333	-0.94	1.65	0.904
Gene_11	0.876	1.51	0.436	0.861	4.174	0.69	1.435	-1.276	0.201	-2.259
Gene_12	1.395	2.4	0.501	2.705	1.37	-1.053	0.95	-0.111	0.833	-0.84
Gene_13	-1.195	-1.25	-0.662	0.859	0.093	2.84	0.542	2.818	3.373	2.193
Gene_14	0.378	-0.688	-1.131	0.084	-2.27	2.526	2.626	2.43	2.859	1.371
Gene_15	-0.827	-1.236	1.422	0.804	-0.061	2.262	1.895	3.014	2.029	1.274
Gene_16	-0.445	-1.021	1.243	0.977	-0.067	2.184	3.097	4.248	1.796	3.033
Gene_17	-0.258	0.115	1.049	-1.431	-0.891	1.918	2.944	0.893	2.806	1.829
Gene_18	0.121	-1.342	0.512	-0.147	0.218	1.997	0.317	1.176	1.085	1.96
Gene_19	1.244	0.309	-0.328	0.516	1.293	0.198	1.224	1.712	2.707	1.368
Gene_20	-1.209	-0.711	-0.387	0.108	0.433	3.053	1.496	2.659	1.831	1.085
Gene_21	-2.187	-1.245	0.17	0.2	-1.567	4.158	0.773	0.911	2.959	2.051
Gene_22	0.821	1.069	-1.518	0.251	0.393	1.886	1.715	3.075	2.867	2.252
Gene_23	0.596	-0.19	0.45	-0.005	0.351	2.835	3.985	0.187	3.394	2.152
Gene_24	0.713	1.079	-0.501	0.392	-0.317	1.757	2.39	0.747	0.876	1.723
