drug,concentration_uM,viability_pct
DrugA,0.0032,99.9
DrugA,0.0032,101.77
DrugA,0.0032,99.26
DrugA,0.0114,98.27
DrugA,0.0114,100.64
DrugA,0.0114,100.67
DrugA,0.0408,95.3
DrugA,0.0408,88.24
DrugA,0.0408,91.64
DrugA,0.1468,75.68
DrugA,0.1468,79.86
DrugA,0.1468,77.09
DrugA,0.5275,40.2
DrugA,0.5275,43.29
DrugA,0.5275,43.08
DrugA,1.8957,8.82
DrugA,1.8957,15.55
DrugA,1.8957,11.69
DrugA,6.8129,4.07
DrugA,6.8129,5.07
DrugA,6.8129,-0.61
DrugA,24.4844,5.54
DrugA,24.4844,-3.33
DrugA,24.4844,4.15
DrugA,87.9923,2.72
DrugA,87.9923,-0.54
DrugA,87.9923,5.03
DrugA,316.2278,-2.44
DrugA,316.2278,-5.42
DrugA,316.2278,0.12
DrugB,0.0032,96.26
DrugB,0.0032,99.7
DrugB,0.0032,101.07
DrugB,0.0114,106.07
DrugB,0.0114,99.07
DrugB,0.0114,100.4
DrugB,0.0408,102.54
DrugB,0.0408,103.08
DrugB,0.0408,99.44
DrugB,0.1468,103.07
DrugB,0.1468,95.45
DrugB,0.1468,97.35
DrugB,0.5275,94.03
DrugB,0.5275,95.51
DrugB,0.5275,99.18
DrugB,1.8957,83.46
DrugB,1.8957,87.19
DrugB,1.8957,77.97
DrugB,6.8129,43.28
DrugB,6.8129,48.56
DrugB,6.8129,45.01
DrugB,24.4844,10.77
DrugB,24.4844,4.54
DrugB,24.4844,14.76
DrugB,87.9923,-2.07
DrugB,87.9923,3.93
DrugB,87.9923,-1.85
DrugB,316.2278,-1.78
DrugB,316.2278,6.37
DrugB,316.2278,-3.67
