group,value,cohort
Healthy,3.895,Validation
Healthy,5.945,Validation
Healthy,4.589,Discovery
Healthy,4.186,Discovery
Healthy,4.534,Validation
Healthy,6.116,Validation
Healthy,4.777,Validation
Healthy,4.985,Discovery
Healthy,5.372,Discovery
Healthy,4.118,Validation
Healthy,5.522,Discovery
Healthy,3.993,Discovery
Healthy,5.349,Discovery
Healthy,3.836,Discovery
Healthy,5.696,Validation
Healthy,4.295,Validation
Healthy,4.223,Discovery
Healthy,5.397,Discovery
Healthy,4.798,Discovery
Healthy,5.48,Validation
Healthy,4.237,Discovery
Healthy,4.895,Validation
Healthy,4.99,Validation
Healthy,5.079,Validation
Healthy,4.396,Validation
Healthy,4.633,Validation
Disease,5.763,Discovery
Disease,5.559,Discovery
Disease,5.644,Validation
Disease,7.346,Discovery
Disease,5.018,Validation
Disease,5.989,Validation
Disease,6.702,Discovery
Disease,4.407,Discovery
Disease,5.469,Validation
Disease,4.772,Validation
Disease,6.561,Discovery
Disease,5.203,Validation
Disease,6.569,Validation
Disease,7.092,Discovery
Disease,6.559,Validation
Disease,6.053,Discovery
Disease,6.713,Discovery
Disease,6.091,Discovery
Disease,6.525,Discovery
Disease,6.098,Validation
Disease,6.329,Validation
Disease,5.536,Validation
Disease,6.261,Discovery
Disease,6.234,Validation
Disease,5.934,Validation
Disease,6.047,Discovery
Treated,3.96,Validation
Treated,5.532,Validation
Treated,4.786,Discovery
Treated,5.619,Validation
Treated,6.29,Discovery
Treated,5.764,Discovery
Treated,6.232,Validation
Treated,4.433,Discovery
Treated,5.376,Validation
Treated,5.633,Validation
Treated,5.449,Discovery
Treated,4.599,Validation
Treated,5.186,Validation
Treated,5.201,Discovery
Treated,5.629,Validation
Treated,5.861,Discovery
Treated,6.19,Discovery
Treated,4.134,Discovery
Treated,4.901,Discovery
Treated,5.555,Discovery
Treated,5.727,Validation
Treated,4.636,Validation
Treated,4.88,Validation
Treated,4.741,Validation
Treated,5.799,Discovery
Treated,5.531,Validation
