UMAP_1	UMAP_2	cell_type	batch	n_genes
-0.514	1.576	T_cell	batch_1	2983
0.456	0.966	T_cell	batch_1	1788
0.566	1.291	T_cell	batch_2	1514
-1.404	-0.802	T_cell	batch_1	981
0.296	-0.678	T_cell	batch_2	1799
-0.034	-0.124	T_cell	batch_1	1528
1.326	-1.074	T_cell	batch_1	3167
-0.279	-0.29	T_cell	batch_1	3696
0.34	-0.193	T_cell	batch_2	2294
0.98	0.888	T_cell	batch_2	2516
-0.124	1.674	T_cell	batch_1	1656
0.397	-1.205	T_cell	batch_1	2164
-0.965	-0.256	T_cell	batch_1	1665
1.041	-0.585	T_cell	batch_2	1238
1.743	0.802	T_cell	batch_1	3363
-0.132	-0.329	T_cell	batch_1	2191
1.88	0.484	T_cell	batch_2	3546
-0.105	0.363	T_cell	batch_1	3041
0.556	-0.847	T_cell	batch_2	3453
-0.638	-1.483	T_cell	batch_2	874
-0.63	0.532	T_cell	batch_1	3975
2.235	0.859	T_cell	batch_2	2435
0.869	-0.894	T_cell	batch_2	1640
-0.281	-1.063	T_cell	batch_2	3404
-0.607	-1.253	T_cell	batch_1	2381
-1.474	-0.38	T_cell	batch_1	1156
-0.688	0.746	T_cell	batch_1	1407
-0.037	0.163	T_cell	batch_1	1266
0.211	1.263	T_cell	batch_1	1810
0.287	2.082	T_cell	batch_2	3103
-0.012	0.448	T_cell	batch_1	2511
0.122	1.595	T_cell	batch_2	2959
-0.65	-0.952	T_cell	batch_1	3385
-0.074	0.89	T_cell	batch_1	2680
0.785	1.216	T_cell	batch_1	2298
0.411	1.52	T_cell	batch_2	2640
0.273	0.362	T_cell	batch_2	1585
-0.372	-0.453	T_cell	batch_2	1849
-0.823	0.642	T_cell	batch_2	3109
-0.359	0.593	T_cell	batch_2	3337
1.08	0.753	T_cell	batch_2	3530
0.532	1.716	T_cell	batch_2	1327
0.27	0.155	T_cell	batch_1	1573
0.518	0.495	T_cell	batch_1	1331
0.556	0.651	T_cell	batch_2	1917
0.642	0.277	T_cell	batch_1	1136
-0.36	0.114	T_cell	batch_1	3751
0.29	-0.194	T_cell	batch_1	1661
0.146	-1.009	T_cell	batch_2	1222
-1.946	-1.135	T_cell	batch_1	2298
0.333	0.153	T_cell	batch_2	1009
-0.445	0.279	T_cell	batch_2	1287
-0.849	0.455	T_cell	batch_2	3253
0.148	0.998	T_cell	batch_1	3958
-0.712	1.09	T_cell	batch_1	2115
-1.725	0.303	T_cell	batch_2	3053
0.989	-0.788	T_cell	batch_2	1148
1.593	0.562	T_cell	batch_2	2817
1.98	-1.351	T_cell	batch_2	2174
-0.87	-1.247	T_cell	batch_1	883
-0.977	1.177	T_cell	batch_2	2816
0.274	-0.926	T_cell	batch_2	2241
0.592	-1.941	T_cell	batch_1	3775
0.572	-0.178	T_cell	batch_2	1838
0.47	0.076	T_cell	batch_1	2893
-0.325	-0.015	T_cell	batch_2	3739
0.671	-0.215	T_cell	batch_1	1061
-1.448	0.847	T_cell	batch_2	3991
0.404	-0.244	T_cell	batch_1	3885
0.195	-1.529	T_cell	batch_2	2746
6.009	0.726	B_cell	batch_2	2014
6.114	-0.62	B_cell	batch_1	1233
6.298	0.779	B_cell	batch_1	2361
5.015	0.452	B_cell	batch_2	1302
7.704	1.191	B_cell	batch_1	1783
7.195	1.06	B_cell	batch_2	1623
5.802	3.182	B_cell	batch_1	1624
6.161	0.875	B_cell	batch_2	2045
6.635	0.593	B_cell	batch_1	3282
6.004	-0.904	B_cell	batch_1	3580
6.296	1.41	B_cell	batch_2	1687
6.955	1.119	B_cell	batch_2	3247
6.13	2.465	B_cell	batch_2	1154
5.796	2.116	B_cell	batch_1	2079
7.357	0.036	B_cell	batch_2	960
6.707	-0.406	B_cell	batch_2	2308
6.549	0.259	B_cell	batch_2	879
6.46	2.232	B_cell	batch_1	2075
4.764	1.136	B_cell	batch_1	2598
7.637	-0.808	B_cell	batch_1	3517
6.599	2.446	B_cell	batch_1	2558
5.333	0.496	B_cell	batch_1	2432
5.548	-0.072	B_cell	batch_1	3148
8.208	1.816	B_cell	batch_2	3330
6.655	0.696	B_cell	batch_2	3396
6.524	1.592	B_cell	batch_1	2545
5.794	-0.19	B_cell	batch_2	3343
6.999	0.308	B_cell	batch_1	1486
5.772	0.005	B_cell	batch_1	898
5.485	1.569	B_cell	batch_1	2254
8.064	-0.535	B_cell	batch_1	3758
5.097	1.723	B_cell	batch_2	2206
6.014	0.43	B_cell	batch_1	1528
6.192	0.624	B_cell	batch_2	3341
6.249	1.99	B_cell	batch_1	2327
6.938	1.115	B_cell	batch_2	3500
6.658	-0.481	B_cell	batch_1	1265
6.39	1.205	B_cell	batch_1	2987
5.733	0.02	B_cell	batch_2	1489
4.829	1.076	B_cell	batch_2	2285
7.548	1.637	B_cell	batch_2	3542
5.942	1.258	B_cell	batch_2	3773
6.513	2.007	B_cell	batch_1	1377
5.929	1.408	B_cell	batch_1	2928
7.902	1.048	B_cell	batch_2	2709
5.884	2.139	B_cell	batch_1	3679
5.957	0.079	B_cell	batch_2	860
6.508	0.074	B_cell	batch_2	946
6.087	0.673	B_cell	batch_1	2183
7.127	0.227	B_cell	batch_2	1333
5.879	1.123	B_cell	batch_1	2105
6.711	2.949	B_cell	batch_2	3738
7.569	1.499	B_cell	batch_2	1523
6.529	0.203	B_cell	batch_2	1371
6.026	1.866	B_cell	batch_2	1271
8.546	1.299	B_cell	batch_2	3103
5.65	2.997	B_cell	batch_2	3235
5.726	0.52	B_cell	batch_2	3468
6.41	0.432	B_cell	batch_1	1537
