genotype	treatment	replicate	expression	gene	unit
WT	Vehicle	R1	1.024	IL6	relative_mRNA
WT	Vehicle	R2	1.068	IL6	relative_mRNA
WT	Vehicle	R3	0.941	IL6	relative_mRNA
WT	Vehicle	R4	0.909	IL6	relative_mRNA
WT	Vehicle	R5	0.801	IL6	relative_mRNA
WT	Stimulus	R1	1.897	IL6	relative_mRNA
WT	Stimulus	R2	1.802	IL6	relative_mRNA
WT	Stimulus	R3	1.821	IL6	relative_mRNA
WT	Stimulus	R4	1.722	IL6	relative_mRNA
WT	Stimulus	R5	1.923	IL6	relative_mRNA
KO	Vehicle	R1	0.894	IL6	relative_mRNA
KO	Vehicle	R2	0.788	IL6	relative_mRNA
KO	Vehicle	R3	0.744	IL6	relative_mRNA
KO	Vehicle	R4	0.764	IL6	relative_mRNA
KO	Vehicle	R5	0.72	IL6	relative_mRNA
KO	Stimulus	R1	1.203	IL6	relative_mRNA
KO	Stimulus	R2	1.138	IL6	relative_mRNA
KO	Stimulus	R3	1.259	IL6	relative_mRNA
KO	Stimulus	R4	1.164	IL6	relative_mRNA
KO	Stimulus	R5	1.165	IL6	relative_mRNA
