gene,Ctrl_1,Ctrl_2,Ctrl_3,Ctrl_4,DrugA_1,DrugA_2,DrugA_3,DrugA_4,DrugB_1,DrugB_2,DrugB_3,DrugB_4
Gene_01,-0.333,0.049,-0.95,-0.97,0.795,1.1,1.133,1.272,-0.095,-0.437,0.002,0.296
Gene_02,0.136,0.441,0.915,-0.315,2.301,0.97,1.469,2.005,0.683,0.345,0.355,0.663
Gene_03,0.048,0.347,-0.346,-0.775,0.427,2.259,1.83,1.234,-0.324,-0.291,-0.609,-0.45
Gene_04,-0.231,0.513,0.148,-0.792,2.067,1.925,1.572,1.518,0.235,0.068,-0.382,0.919
Gene_05,0.443,0.192,-0.411,-0.556,1.961,1.651,1.758,0.982,0.021,-0.609,-0.213,-0.028
Gene_06,0.686,-0.369,-0.562,0.277,1.867,0.748,1.794,2.053,-0.163,0.09,0.415,0.343
Gene_07,-0.049,-0.139,0.128,0.266,1.373,1.117,1.794,1.885,0.472,-0.21,0.764,1.155
Gene_08,-0.388,0.137,0.283,-1.001,1.289,0.88,1.218,0.811,-0.299,-0.119,-0.212,0.53
Gene_09,-0.114,0.283,0.19,-0.09,1.391,1.884,1.814,2.062,-0.416,0.183,-0.069,0.041
Gene_10,0.364,0.792,-0.739,-0.409,1.986,1.702,2.304,1.942,0.097,0.274,1.044,-0.197
Gene_11,0.024,-0.702,-0.186,0.113,-0.098,0.118,-0.661,-0.157,1.49,1.495,2.241,0.632
Gene_12,0.477,0.336,-0.938,-0.507,0.241,0.823,-0.406,-0.125,1.554,0.938,1.684,2.204
Gene_13,-0.248,-0.648,0.135,-0.006,-0.914,0.526,0.482,0.098,1.582,1.544,1.466,1.645
Gene_14,-0.559,-0.084,-0.134,0.366,0.162,-0.048,-0.048,0.786,1.706,1.498,0.32,1.746
Gene_15,-0.588,0.242,0.398,-1.372,0.272,0.985,-0.097,0.839,0.849,1.016,1.754,1.085
Gene_16,0.787,0.595,-0.353,0.21,0.58,0.406,0.516,-0.069,1.223,1.862,0.814,1.578
Gene_17,0.327,-0.403,-0.251,0.717,-0.377,0.031,0.018,0.216,1.164,1.72,0.865,0.68
Gene_18,1.167,0.925,-0.756,-0.086,-0.389,-0.015,0.085,-0.21,2.224,1.002,0.823,1.59
Gene_19,0.636,-1.41,0.317,0.031,0.397,0.541,-0.258,0.457,1.572,1.465,1.209,1.044
Gene_20,0.754,-0.377,-0.092,0.287,-0.696,-0.267,-0.401,0.093,1.252,1.25,0.893,1.354
Gene_21,-0.02,0.101,-0.422,-0.207,-1.016,-1.18,-1.991,-1.618,-1.137,-1.16,-0.458,-1.193
Gene_22,-0.57,-0.39,0.053,-0.398,-1.333,-1.507,-1.181,-1.045,-1.215,-0.575,-2.12,-1.119
Gene_23,0.011,0.012,-0.522,-0.352,-0.421,-0.813,-0.96,-0.74,-1.882,-0.642,-1.885,-1.777
Gene_24,-0.171,0.457,-0.528,0.416,-0.381,-0.657,-1.036,-1.812,-1.49,-1.687,-1.338,-1.311
Gene_25,-0.31,0.792,0.782,0.145,-1.179,-0.843,-1.145,-2.385,-1.344,-1.176,-0.776,-0.775
Gene_26,-0.695,-0.656,-0.447,0.003,-2.432,-0.851,-1.568,-1.866,-1.637,-0.729,-1.632,-1.579
Gene_27,-0.479,0.056,0.157,-0.225,-0.822,-0.652,-0.856,-1.001,-1.319,-1.445,-0.485,-1.362
Gene_28,-0.044,1.066,-0.089,0.124,-1.291,-0.65,-1.566,-1.207,-0.779,-2.023,-0.859,-1.86
Gene_29,0.095,0.755,-0.241,0.607,-0.322,-1.298,-0.609,-1.163,-1.029,-1.528,-1.647,-1.25
Gene_30,0.357,-0.617,-0.518,0.339,-0.897,-1.095,-1.636,-0.887,-1.061,-1.99,-1.844,-0.814
