gene	Ctrl_1	Ctrl_2	Ctrl_3	Ctrl_4	TreatA_1	TreatA_2	TreatA_3	TreatA_4	TreatB_1	TreatB_2	TreatB_3	TreatB_4
Gene_01	1.794	2.437	1.971	1.544	0.426	-0.206	0.028	0.434	1.518	-0.288	0.318	0.533
Gene_02	2.36	2.886	3.217	2.807	0.3	0.847	0.271	0.338	0.192	0.443	0.005	0.88
Gene_03	2.232	2.86	2.278	1.827	-0.331	-0.078	-0.203	0.515	0.495	-0.499	-0.179	0.093
Gene_04	1.846	2.372	1.919	2.509	-0.212	1.13	-0.047	-0.002	0.554	-0.222	-0.261	0.201
Gene_05	3.067	1.584	2.314	2.211	0.251	-0.018	0.391	0.594	0.067	-0.07	0.534	0.557
Gene_06	1.4	2.26	2.419	3.14	-0.933	0.109	-0.488	0.092	-1.326	0.289	1.026	0.341
Gene_07	2.505	2.444	3.574	2.232	-0.767	0.041	0.383	0.341	0.271	-0.315	0.143	-0.131
Gene_08	1.379	2.779	3.08	2.684	1.163	0.244	0.577	-0.374	-1.151	-0.666	0.39	-0.323
Gene_09	1.23	2.081	3.616	3.301	0.839	0.173	-0.392	0.139	0.404	0.174	1.15	-0.18
Gene_10	2.044	2.178	1.416	2.377	-0.806	-0.107	-0.344	0.4	0.827	-1.152	0.447	-0.571
Gene_11	0.349	-0.592	0.707	0.991	2.267	1.684	2.069	1.428	0.21	0.674	-0.247	0.401
Gene_12	0.336	-0.001	0.735	0.264	2.164	2.493	2.503	2.584	0.042	0.513	0.145	0.648
Gene_13	1.169	1.154	-0.506	-0.157	1.01	1.353	1.391	2.366	0.163	-0.618	-0.759	-0.036
Gene_14	0.427	0.176	0.285	0.119	3.725	2.719	2.165	1.787	-0.444	0.002	-0.753	1.032
Gene_15	0.603	0.407	0.521	-0.076	2.314	1.765	1.541	1.435	0.604	-0.354	-0.076	-0.448
Gene_16	1.254	-0.305	-0.237	-0.548	2.047	2.035	3.174	1.357	0.792	0.21	-1.73	-0.408
Gene_17	0.712	0.216	-0.14	-0.386	2.022	2.628	2.096	2.952	1.049	0.073	0.649	-0.782
Gene_18	-0.257	0.733	0.422	0.827	2.477	2.621	2.108	1.725	0.907	0.412	1.156	0.008
Gene_19	1.133	-0.049	0.364	0.139	2.7	1.979	2.792	2.057	-0.442	-0.196	-0.231	0.414
Gene_20	0.242	0.445	-0.452	-1.267	3.409	1.905	1.936	2.022	-2.057	-0.188	0.044	0.736
Gene_21	0.956	-1.282	0.188	0.276	-0.77	-0.834	-0.501	0.071	1.676	2.888	2.4	2.75
Gene_22	0.7	1.096	-0.18	1.566	0.163	-0.107	0.348	0.285	1.041	2.164	2.989	2.162
Gene_23	0.28	0.794	-0.105	-0.036	0.356	0.236	-0.347	-0.273	1.576	1.787	2.595	2.324
Gene_24	0.213	-0.075	1.135	0.43	0.935	0.286	-0.815	-0.706	2.561	2.542	2.913	2.126
Gene_25	-0.78	0.164	0.47	0.454	0.37	-0.477	0.173	-0.413	2.019	2.196	1.999	3.618
Gene_26	0.056	0.389	-0.814	-0.825	-0.418	0.518	0.153	0.285	3.601	2.949	2.128	2.898
Gene_27	-0.551	-0.581	1.384	-0.014	-0.243	0.242	-0.157	-0.707	1.615	1.939	2.104	1.752
Gene_28	-0.159	-0.705	-0.339	-0.259	0.464	0.397	0.208	-0.32	2.025	0.953	2.69	1.136
Gene_29	0.154	-0.175	-0.636	0.937	0.91	0.332	0.046	0.237	3.081	1.962	2.815	2.473
Gene_30	-0.235	0.791	-0.126	-0.176	-0.336	-0.046	-0.648	0.455	2.164	2.293	2.852	1.658
