cell_id	group	replicate	measurement
WIL0001	Wildtype	R2	15.8617
WIL0002	Wildtype	R3	11.7998
WIL0003	Wildtype	R1	15.2301
WIL0004	Wildtype	R2	12.4094
WIL0005	Wildtype	R3	17.8922
WIL0006	Wildtype	R1	14.0221
WIL0007	Wildtype	R2	8.5484
WIL0008	Wildtype	R3	15.6518
WIL0009	Wildtype	R1	12.1978
WIL0010	Wildtype	R2	16.0293
WIL0011	Wildtype	R3	15.6812
WIL0012	Wildtype	R1	12.5887
WIL0013	Wildtype	R2	16.1282
WIL0014	Wildtype	R3	14.0354
WIL0015	Wildtype	R1	16.3989
WIL0016	Wildtype	R2	14.7463
WIL0017	Wildtype	R3	8.521
WIL0018	Wildtype	R1	14.028
WIL0019	Wildtype	R2	12.6594
WIL0020	Wildtype	R3	13.1852
WIL0021	Wildtype	R1	15.6983
WIL0022	Wildtype	R2	11.6495
WIL0023	Wildtype	R3	19.3384
WIL0024	Wildtype	R1	8.7303
WIL0025	Wildtype	R2	8.5428
WIL0026	Wildtype	R3	13.8033
WIL0027	Wildtype	R1	19.1221
WIL0028	Wildtype	R2	14.6797
WIL0029	Wildtype	R3	12.68
WIL0030	Wildtype	R1	14.9472
WIL0031	Wildtype	R2	14.6941
WIL0032	Wildtype	R3	14.5384
WIL0033	Wildtype	R1	14.909
WIL0034	Wildtype	R2	16.5535
WIL0035	Wildtype	R3	15.5753
WIL0036	Wildtype	R1	13.9101
WIL0037	Wildtype	R2	12.3494
WIL0038	Wildtype	R3	16.3399
WIL0039	Wildtype	R1	12.1799
WIL0040	Wildtype	R2	16.5298
WIL0041	Wildtype	R3	8.5152
WIL0042	Wildtype	R1	16.713
WIL0043	Wildtype	R2	15.6782
WIL0044	Wildtype	R3	12.6931
WIL0045	Wildtype	R1	14.8741
WIL0046	Wildtype	R2	14.9889
WIL0047	Wildtype	R3	8.6734
WIL0048	Wildtype	R1	19.1941
WIL0049	Wildtype	R2	18.329
WIL0050	Wildtype	R3	17.561
WIL0051	Wildtype	R1	14.816
WIL0052	Wildtype	R2	12.8874
WIL0053	Wildtype	R3	14.3136
WIL0054	Wildtype	R1	16.4982
WIL0055	Wildtype	R2	18.8707
WIL0056	Wildtype	R3	13.7938
WIL0057	Wildtype	R1	18.8344
WIL0058	Wildtype	R2	12.0495
WIL0059	Wildtype	R3	16.4285
WIL0060	Wildtype	R1	13.316
WIL0061	Wildtype	R2	13.2598
WIL0062	Wildtype	R3	13.5318
WIL0063	Wildtype	R1	12.072
WIL0064	Wildtype	R2	18.7865
WIL0065	Wildtype	R3	13.2806
WIL0066	Wildtype	R1	11.1172
WIL0067	Wildtype	R2	12.8781
WIL0068	Wildtype	R3	10.5207
WIL0069	Wildtype	R1	15.9549
WIL0070	Wildtype	R2	12.3934
WIL0071	Wildtype	R3	11.4812
WIL0072	Wildtype	R1	16.1962
WIL0073	Wildtype	R2	17.2367
WIL0074	Wildtype	R3	12.5402
WIL0075	Wildtype	R1	15.613
WIL0076	Wildtype	R2	10.6891
WIL0077	Wildtype	R3	13.8198
WIL0078	Wildtype	R1	15.3318
WIL0079	Wildtype	R2	21.885
WIL0080	Wildtype	R3	13.8938
WIL0081	Wildtype	R1	12.6945
WIL0082	Wildtype	R2	20.2207
WIL0083	Wildtype	R3	14.2082
WIL0084	Wildtype	R1	19.9012
WIL0085	Wildtype	R2	14.4399
WIL0086	Wildtype	R3	14.6071
WIL0087	Wildtype	R1	11.2786
WIL0088	Wildtype	R2	12.5955
WIL0089	Wildtype	R3	16.1604
WIL0090	Wildtype	R1	13.8545
WIL0091	Wildtype	R2	10.7112
WIL0092	Wildtype	R3	8.1588
WIL0093	Wildtype	R1	14.9553
WIL0094	Wildtype	R2	14.0942
WIL0095	Wildtype	R3	12.8775
WIL0096	Wildtype	R1	16.4757
WIL0097	Wildtype	R2	9.8495
WIL0098	Wildtype	R3	14.9765
WIL0099	Wildtype	R1	8.8109
WIL0100	Wildtype	R2	15.5408
WIL0101	Wildtype	R3	9.0828
WIL0102	Wildtype	R1	14.0386
WIL0103	Wildtype	R2	12.7481
WIL0104	Wildtype	R3	10.3259
WIL0105	Wildtype	R1	14.6856
WIL0106	Wildtype	R2	15.4829
WIL0107	Wildtype	R3	18.3224
WIL0108	Wildtype	R1	9.3784
WIL0109	Wildtype	R2	9.4365
WIL0110	Wildtype	R3	14.5422
WIL0111	Wildtype	R1	18.8616
WIL0112	Wildtype	R2	15.5582
WIL0113	Wildtype	R3	16.3293
WIL0114	Wildtype	R1	10.1352
WIL0115	Wildtype	R2	11.0378
WIL0116	Wildtype	R3	10.0782
WIL0117	Wildtype	R1	12.598
WIL0118	Wildtype	R2	16.231
WIL0119	Wildtype	R3	17.5059
WIL0120	Wildtype	R1	17.123
WIL0121	Wildtype	R2	11.1651
WIL0122	Wildtype	R3	13.8654
WIL0123	Wildtype	R1	12.1353
WIL0124	Wildtype	R2	14.1383
WIL0125	Wildtype	R3	10.9538
WIL0126	Wildtype	R1	15.7679
WIL0127	Wildtype	R2	20.0865
WIL0128	Wildtype	R3	16.3642
WIL0129	Wildtype	R1	11.4845
WIL0130	Wildtype	R2	12.9445
WIL0131	Wildtype	R3	9.3931
WIL0132	Wildtype	R1	17.4653
WIL0133	Wildtype	R2	16.2796
WIL0134	Wildtype	R3	15.4848
WIL0135	Wildtype	R1	12.6905
WIL0136	Wildtype	R2	21.1314
WIL0137	Wildtype	R3	15.4646
WIL0138	Wildtype	R1	17.0826
WIL0139	Wildtype	R2	19.0906
WIL0140	Wildtype	R3	13.2035
