time_hours,treatment,replicate,signal,unit
0,Vehicle,R1,0.975,fold_change
2,Vehicle,R1,1.097,fold_change
4,Vehicle,R1,1.058,fold_change
8,Vehicle,R1,1.181,fold_change
12,Vehicle,R1,1.158,fold_change
24,Vehicle,R1,1.361,fold_change
48,Vehicle,R1,1.863,fold_change
0,Vehicle,R2,0.978,fold_change
2,Vehicle,R2,1.04,fold_change
4,Vehicle,R2,1.098,fold_change
8,Vehicle,R2,1.16,fold_change
12,Vehicle,R2,1.198,fold_change
24,Vehicle,R2,1.386,fold_change
48,Vehicle,R2,1.811,fold_change
0,Vehicle,R3,1.012,fold_change
2,Vehicle,R3,1.122,fold_change
4,Vehicle,R3,1.072,fold_change
8,Vehicle,R3,1.084,fold_change
12,Vehicle,R3,1.207,fold_change
24,Vehicle,R3,1.472,fold_change
48,Vehicle,R3,1.874,fold_change
0,Vehicle,R4,0.937,fold_change
2,Vehicle,R4,1.037,fold_change
4,Vehicle,R4,1.099,fold_change
8,Vehicle,R4,1.186,fold_change
12,Vehicle,R4,1.116,fold_change
24,Vehicle,R4,1.411,fold_change
48,Vehicle,R4,1.889,fold_change
0,Drug_A,R1,1.097,fold_change
2,Drug_A,R1,1.276,fold_change
4,Drug_A,R1,1.341,fold_change
8,Drug_A,R1,1.709,fold_change
12,Drug_A,R1,1.817,fold_change
24,Drug_A,R1,2.085,fold_change
48,Drug_A,R1,2.174,fold_change
0,Drug_A,R2,1.015,fold_change
2,Drug_A,R2,1.302,fold_change
4,Drug_A,R2,1.347,fold_change
8,Drug_A,R2,1.704,fold_change
12,Drug_A,R2,1.842,fold_change
24,Drug_A,R2,2.132,fold_change
48,Drug_A,R2,2.233,fold_change
0,Drug_A,R3,0.995,fold_change
2,Drug_A,R3,1.251,fold_change
4,Drug_A,R3,1.457,fold_change
8,Drug_A,R3,1.605,fold_change
12,Drug_A,R3,1.904,fold_change
24,Drug_A,R3,2.108,fold_change
48,Drug_A,R3,2.267,fold_change
0,Drug_A,R4,0.897,fold_change
2,Drug_A,R4,1.216,fold_change
4,Drug_A,R4,1.371,fold_change
8,Drug_A,R4,1.628,fold_change
12,Drug_A,R4,1.742,fold_change
24,Drug_A,R4,2.079,fold_change
48,Drug_A,R4,2.176,fold_change
0,Drug_B,R1,1.274,fold_change
2,Drug_B,R1,1.432,fold_change
4,Drug_B,R1,1.684,fold_change
8,Drug_B,R1,1.955,fold_change
12,Drug_B,R1,2.151,fold_change
24,Drug_B,R1,1.439,fold_change
48,Drug_B,R1,1.0,fold_change
0,Drug_B,R2,1.33,fold_change
2,Drug_B,R2,1.398,fold_change
4,Drug_B,R2,1.544,fold_change
8,Drug_B,R2,1.949,fold_change
12,Drug_B,R2,2.063,fold_change
24,Drug_B,R2,1.362,fold_change
48,Drug_B,R2,1.049,fold_change
0,Drug_B,R3,1.319,fold_change
2,Drug_B,R3,1.494,fold_change
4,Drug_B,R3,1.6,fold_change
8,Drug_B,R3,1.978,fold_change
12,Drug_B,R3,2.014,fold_change
24,Drug_B,R3,1.347,fold_change
48,Drug_B,R3,1.05,fold_change
0,Drug_B,R4,1.221,fold_change
2,Drug_B,R4,1.428,fold_change
4,Drug_B,R4,1.671,fold_change
8,Drug_B,R4,1.978,fold_change
12,Drug_B,R4,2.113,fold_change
24,Drug_B,R4,1.273,fold_change
48,Drug_B,R4,1.07,fold_change
