AveExpr	logFC	adj.P.Val	gene
13.265	0.182	0.6031172283000976	GENE0000
7.803	0.463	0.23027878735407478	GENE0001
1.854	-0.58	0.651577214918476	GENE0002
5.141	-1.31	0.8185768721572677	GENE0003
12.159	0.205	0.32496419707489654	GENE0004
2.099	0.124	0.9699832497307372	GENE0005
13.81	-0.16	0.23955672771011394	GENE0006
9.13	-0.987	0.2566762183241149	GENE0007
2.957	-0.007	0.48197840857109786	GENE0008
1.44	-0.778	0.7943894606736068	GENE0009
6.436	-0.447	0.3629980043789891	GENE0010
8.223	-1.175	0.8750945647011359	GENE0011
10.019	-0.571	0.8082313258052272	GENE0012
1.614	-0.455	0.4170861212577959	GENE0013
13.48	-0.713	0.9410882934480136	GENE0014
8.267	-5.803	0.012037095203216842	GENE0015
7.564	0.789	0.43385636581604053	GENE0016
11.196	-0.807	0.8890569305751062	GENE0017
9.934	-5.212	0.010773116345773711	GENE0018
8.349	0.155	0.36877390071108107	GENE0019
8.375	-0.108	0.7571158462306984	GENE0020
11.219	-0.062	0.48528760361996554	GENE0021
11.775	-1.425	0.6951616209344637	GENE0022
1.385	0.975	0.8875318253918354	GENE0023
12.579	-0.007	0.8564720776418062	GENE0024
1.397	-0.704	0.5274626137927632	GENE0025
7.302	-0.122	0.31510678869627196	GENE0026
1.702	-0.433	0.5294515542474565	GENE0027
12.029	0.222	0.44310882350340386	GENE0028
4.125	-1.013	0.5014134206494593	GENE0029
12.822	-1.026	0.4154771019152949	GENE0030
1.576	-0.394	0.9813437163430023	GENE0031
8.402	0.788	0.630613566279812	GENE0032
7.212	1.02	0.6258851470868445	GENE0033
12.986	-3.153	0.018900398640046345	GENE0034
6.507	-1.362	0.8323549940428252	GENE0035
3.9	-3.715	0.0007918227891561678	GENE0036
7.014	0.077	0.8082746625935993	GENE0037
10.773	1.193	0.26145315720637746	GENE0038
12.021	-0.595	0.44706662827001414	GENE0039
6.119	0.221	0.30983584562349115	GENE0040
13.739	-0.458	0.954231647188863	GENE0041
1.956	1.256	0.32754790137288425	GENE0042
11.395	0.218	0.4105387866112438	GENE0043
2.716	-0.048	0.33184753701159664	GENE0044
1.27	0.375	0.6119055626681204	GENE0045
13.045	-1.3	0.9850715977140005	GENE0046
5.424	0.457	0.9407473089062361	GENE0047
4.235	-0.215	0.9153562076191757	GENE0048
4.627	-0.276	0.5852759056989407	GENE0049
8.511	0.652	0.9302657936360519	GENE0050
10.934	0.882	0.28941522569567485	GENE0051
10.047	0.123	0.7427221128207315	GENE0052
8.137	-1.222	0.2553736532770143	GENE0053
7.971	-1.818	0.7154586784591197	GENE0054
12.397	0.875	0.3507518074579132	GENE0055
3.928	1.549	0.3058953995488365	GENE0056
9.383	0.046	0.4506650655999743	GENE0057
12.426	1.096	0.5746973921301898	GENE0058
4.895	-1.074	0.8230722607695864	GENE0059
10.666	0.717	0.48277068163522235	GENE0060
11.49	-0.099	0.960284013927579	GENE0061
7.591	-3.646	0.018610009846345626	GENE0062
7.369	-0.248	0.37161564512133993	GENE0063
10.83	-4.483	0.01039021237097837	GENE0064
1.299	-0.208	0.4447645097197637	GENE0065
9.564	-1.628	0.41226641614641635	GENE0066
12.216	-5.263	0.0199822532664991	GENE0067
12.214	2.238	0.007265815099729589	GENE0068
4.591	4.254	0.013414591788329612	GENE0069
7.455	-0.393	0.6215956358566703	GENE0070
10.61	-3.791	0.016915110721337362	GENE0071
6.877	0.676	0.4868228871627136	GENE0072
4.696	0.034	0.8437369696052841	GENE0073
12.462	-0.371	0.24431254957665507	GENE0074
13.983	1.815	0.006283836776459412	GENE0075
9.436	-1.342	0.21482125910690553	GENE0076
8.405	0.662	0.7451767798000961	GENE0077
10.826	-0.482	0.7303529528354396	GENE0078
11.438	0.403	0.3056451557152986	GENE0079
12.549	-1.453	0.6590392162547831	GENE0080
6.171	-0.232	0.31096697306736093	GENE0081
9.342	0.851	0.9887395254257632	GENE0082
10.807	0.502	0.4787130120227516	GENE0083
13.551	-0.108	0.687856220009591	GENE0084
7.682	-0.163	0.34583832633193445	GENE0085
11.048	0.668	0.9700328311570106	GENE0086
3.513	-0.301	0.7793876481952204	GENE0087
12.679	-0.256	0.9612765604046851	GENE0088
8.765	1.536	0.9126062568395066	GENE0089
8.275	0.941	0.4346020878538247	GENE0090
7.6	-1.309	0.9023792441115812	GENE0091
11.544	0.136	0.5657173598483494	GENE0092
8.044	0.414	0.322441327608072	GENE0093
10.644	-1.178	0.4449132183098874	GENE0094
11.646	-1.077	0.4124990080534512	GENE0095
9.365	-0.454	0.7561972100126069	GENE0096
8.709	-0.557	0.37905223456128967	GENE0097
9.203	-1.718	0.8444419410409165	GENE0098
9.83	1.599	0.42875537340762726	GENE0099
13.205	3.953	0.005342387575741798	GENE0100
3.359	0.194	0.3576198231499758	GENE0101
4.199	0.451	0.36502728942484586	GENE0102
9.263	1.256	0.20892024622589223	GENE0103
6.605	0.892	0.3720512253409057	GENE0104
10.786	-0.126	0.24619982006679075	GENE0105
13.067	-0.687	0.7966483277822136	GENE0106
9.018	0.45	0.5233090374800262	GENE0107
4.786	-4.362	0.012036792961424935	GENE0108
12.514	-0.777	0.49771094576671776	GENE0109
8.845	0.46	0.3438722955582253	GENE0110
9.493	0.517	0.6442372354410081	GENE0111
2.319	-4.459	0.007352647393288747	GENE0112
7.52	-0.547	0.4052345390234915	GENE0113
9.531	0.767	0.34595875884187743	GENE0114
3.365	-0.63	0.8172198729384195	GENE0115
5.114	-0.305	0.9809981646424475	GENE0116
12.165	0.934	0.9367390919968315	GENE0117
3.49	-0.988	0.4430445569436272	GENE0118
1.244	-1.658	0.6031978553391977	GENE0119
8.307	-0.066	0.812190530794358	GENE0120
8.377	-0.53	0.7778570649835617	GENE0121
9.867	-3.699	0.007926105529500398	GENE0122
12.609	-0.139	0.24489960383652712	GENE0123
4.107	1.252	0.6644170766791567	GENE0124
11.662	0.912	0.8986948075888752	GENE0125
7.87	4.131	0.009937189958924893	GENE0126
12.733	3.386	0.010388093365211098	GENE0127
13.415	-0.075	0.7818749242769758	GENE0128
2.322	-0.132	0.4845014387086356	GENE0129
2.626	-1.594	0.2744669602491503	GENE0130
9.737	0.227	0.9846066319172901	GENE0131
11.897	0.727	0.6569639032666579	GENE0132
10.522	-0.029	0.9213399577518326	GENE0133
1.7	0.085	0.7478221711353166	GENE0134
9.936	-0.638	0.9154554014410774	GENE0135
5.333	0.491	0.2309284043561327	GENE0136
4.049	0.061	0.6560370400004631	GENE0137
9.582	0.671	0.47364312689338617	GENE0138
4.274	1.116	0.28891925393578594	GENE0139
7.946	-0.293	0.9933115374245491	GENE0140
10.687	1.216	0.30411533717032957	GENE0141
12.584	0.139	0.7431442454535011	GENE0142
6.039	0.522	0.3104492657253804	GENE0143
1.177	0.593	0.3836185674908918	GENE0144
1.463	0.507	0.2396349889865193	GENE0145
9.736	-0.308	0.9394988002450941	GENE0146
9.373	0.287	0.6957833856599229	GENE0147
10.412	-5.638	0.007543257582801826	GENE0148
11.637	0.335	0.7875808366949915	GENE0149
5.778	0.338	0.312438384522848	GENE0150
1.175	0.358	0.8851158151046687	GENE0151
11.5	1.184	0.2653082186238478	GENE0152
5.321	-0.135	0.6756260267415694	GENE0153
1.66	0.654	0.2062007844664776	GENE0154
2.139	-0.613	0.33170859793509133	GENE0155
9.727	-0.708	0.5720657441289614	GENE0156
10.355	-0.198	0.46024202465116454	GENE0157
5.706	2.189	0.006761305395371599	GENE0158
13.422	-0.855	0.36344251297117935	GENE0159
9.11	0.492	0.6631408210588059	GENE0160
6.187	-1.102	0.30346920746842926	GENE0161
11.137	0.345	0.22794991339346382	GENE0162
8.707	-0.378	0.4047333177916693	GENE0163
8.04	-0.532	0.9308745595342667	GENE0164
9.872	-0.608	0.3826461846085386	GENE0165
5.878	-0.587	0.6445159724617586	GENE0166
7.095	0.179	0.38889019504747974	GENE0167
9.867	0.359	0.28289436264705065	GENE0168
2.442	1.186	0.46221023567393643	GENE0169
2.731	-0.994	0.6321099988650216	GENE0170
8.863	-0.384	0.5146344282667659	GENE0171
5.512	0.037	0.9916908208869937	GENE0172
6.757	-1.028	0.5034171261864613	GENE0173
2.643	0.543	0.5181787317353022	GENE0174
9.028	1.102	0.9677175419147488	GENE0175
7.98	-0.483	0.5244111342490267	GENE0176
5.581	0.559	0.6179378793136735	GENE0177
13.646	-1.143	0.33515952656263115	GENE0178
6.24	-1.299	0.7197123898754867	GENE0179
7.353	0.678	0.9329642516277816	GENE0180
7.433	0.289	0.5817774284957984	GENE0181
13.329	-1.553	0.7385217015474248	GENE0182
10.763	-0.463	0.7346927814872439	GENE0183
9.397	-0.67	0.8074376613045775	GENE0184
6.983	-3.763	0.008182598147385011	GENE0185
11.021	-0.687	0.4757175497016972	GENE0186
8.182	-0.226	0.8926072571410335	GENE0187
3.648	2.355	0.009958353137706065	GENE0188
12.642	0.186	0.48387722245001125	GENE0189
11.807	0.691	0.4201049897104045	GENE0190
3.309	-0.832	0.6703740753676188	GENE0191
7.975	1.506	0.9385272769740742	GENE0192
7.515	-0.332	0.2479909855203049	GENE0193
1.573	-0.184	0.7333398004475475	GENE0194
11.653	-0.052	0.2770955291074965	GENE0195
10.502	0.078	0.7164753221070537	GENE0196
13.435	1.435	0.9634488708695821	GENE0197
12.075	0.98	0.8467905621173972	GENE0198
1.204	-0.27	0.8632517196446969	GENE0199
8.195	-1.478	0.6364529915011412	GENE0200
2.295	-1.708	0.3913305501750453	GENE0201
10.167	1.164	0.6300302792310715	GENE0202
13.58	-1.315	0.4695842158575609	GENE0203
9.666	-0.472	0.9965938407914812	GENE0204
9.702	-0.389	0.3215910414692248	GENE0205
6.713	-1.097	0.8028200130047403	GENE0206
6.857	0.151	0.5255816641152117	GENE0207
11.476	-0.744	0.5784018633808403	GENE0208
5.791	0.494	0.5345087607540882	GENE0209
7.326	-0.62	0.41987636958863395	GENE0210
7.942	-0.454	0.9913439712751082	GENE0211
6.284	0.781	0.5208262133208544	GENE0212
12.707	-0.269	0.35778257889984205	GENE0213
2.647	-1.535	0.9045188179488972	GENE0214
11.785	-0.489	0.46672052287524235	GENE0215
6.618	0.08	0.6586815166783122	GENE0216
1.744	-1.764	0.010748026329925414	GENE0217
4.128	-0.323	0.27548761040751374	GENE0218
8.009	-3.909	0.003857988403449169	GENE0219
9.229	-0.203	0.8392009595324073	GENE0220
3.237	-1.571	0.5781299575103271	GENE0221
3.833	-0.652	0.39803743500930866	GENE0222
1.894	-1.59	0.9862940662967836	GENE0223
9.511	-0.817	0.3761711875413951	GENE0224
4.001	-2.51	0.0033636769483171227	GENE0225
3.306	-0.364	0.6898010063036975	GENE0226
9.159	0.632	0.801780793731967	GENE0227
8.522	0.17	0.2151400034138	GENE0228
6.814	0.031	0.4692377638378406	GENE0229
11.791	0.679	0.6634961571967489	GENE0230
8.87	-1.757	0.5542056739246967	GENE0231
6.259	-0.251	0.5000200661779157	GENE0232
5.713	-0.785	0.23307944771084302	GENE0233
11.149	0.582	0.7413136967962564	GENE0234
4.662	-0.48	0.8327875431959322	GENE0235
6.419	0.234	0.7805307341361438	GENE0236
4.484	0.778	0.3039528498653229	GENE0237
2.615	0.921	0.5503974147764034	GENE0238
9.64	0.008	0.9773877983330361	GENE0239
4.546	0.542	0.3130984071288862	GENE0240
3.071	3.647	0.012454942348066588	GENE0241
11.339	2.498	0.003150133194575084	GENE0242
4.849	1.231	0.4416456068291241	GENE0243
11.365	0.82	0.24385326523222722	GENE0244
4.05	-1.853	0.3961680771024826	GENE0245
4.988	-0.562	0.8736442000068447	GENE0246
9.487	-0.312	0.8336300642192549	GENE0247
6.41	-0.373	0.9012622179358392	GENE0248
2.003	-1.186	0.44757810234523615	GENE0249
9.17	-1.819	0.936830930432075	GENE0250
7.923	5.885	0.014856698578791431	GENE0251
4.401	-0.72	0.8812019865582943	GENE0252
9.892	-0.25	0.5563101398927174	GENE0253
10.55	0.319	0.6752567141343617	GENE0254
5.319	-0.641	0.9172828409669234	GENE0255
2.573	-1.097	0.8022051356832118	GENE0256
6.319	-0.155	0.7629407308341956	GENE0257
12.357	1.053	0.6250797517478177	GENE0258
2.317	0.106	0.5392810083443678	GENE0259
13.663	-0.156	0.5096137136958199	GENE0260
1.795	0.607	0.3920258398190402	GENE0261
8.172	0.022	0.3442495180386865	GENE0262
13.027	0.76	0.2414107038142162	GENE0263
9.63	2.113	0.014257099739230927	GENE0264
13.32	-0.427	0.8144781809989767	GENE0265
9.699	-0.505	0.20423673667945225	GENE0266
11.212	0.084	0.8120980950021233	GENE0267
10.798	0.251	0.9702784809629776	GENE0268
11.603	-1.103	0.42678711147144033	GENE0269
3.359	-2.121	0.7625551435020674	GENE0270
6.762	0.747	0.00274193756502868	GENE0271
6.313	2.847	0.010531143756988093	GENE0272
4.947	-1.115	0.9523475431040502	GENE0273
12.716	1.135	0.23282428970279245	GENE0274
9.628	-0.215	0.9041772234044243	GENE0275
5.176	-1.476	0.28826746281215254	GENE0276
2.049	-1.745	0.8025879782515566	GENE0277
8.614	0.984	0.7400382332101783	GENE0278
7.078	-0.625	0.3991078069661799	GENE0279
9.904	0.844	0.8132178569812376	GENE0280
4.542	-1.003	0.41560442010206605	GENE0281
7.969	-0.787	0.8860083055264394	GENE0282
12.59	0.714	0.514927478626011	GENE0283
3.957	-0.961	0.35236530342241945	GENE0284
10.898	-1.119	0.7201886365803143	GENE0285
2.749	3.018	0.018146444266991805	GENE0286
13.557	1.04	0.9027423984893586	GENE0287
8.56	0.174	0.4401352551704421	GENE0288
9.557	0.375	0.20952602650823293	GENE0289
6.436	-0.69	0.6166831066398601	GENE0290
3.562	-0.584	0.5323631567973315	GENE0291
4.83	0.103	0.35841896124703326	GENE0292
12.534	0.735	0.2100326778358908	GENE0293
12.114	0.354	0.35286357997182	GENE0294
1.043	-0.782	0.5251047448726919	GENE0295
13.396	0.226	0.7902628528292535	GENE0296
5.873	0.758	0.756175596726723	GENE0297
10.745	-4.23	0.0052538036436444195	GENE0298
1.321	-0.824	0.556678126654508	GENE0299
13.514	-0.945	0.9342115360259717	GENE0300
3.467	-0.403	0.7960973875293667	GENE0301
9.394	0.373	0.6071487824688038	GENE0302
10.4	3.788	0.005122277590661002	GENE0303
9.892	0.5	0.32586744868321593	GENE0304
6.453	-0.084	0.24603848823303656	GENE0305
12.359	0.414	0.9055731433196195	GENE0306
3.407	4.72	0.017570551561508982	GENE0307
10.725	0.942	0.7068103479032506	GENE0308
6.261	-1.457	0.4369055108599078	GENE0309
10.914	2.115	0.006739104862150745	GENE0310
10.191	-0.602	0.7575489800656205	GENE0311
2.704	4.053	0.005991888653403826	GENE0312
12.477	-1.659	0.017683328174358918	GENE0313
2.242	0.762	0.8008726338179446	GENE0314
6.789	-0.375	0.580433738678664	GENE0315
2.174	-0.303	0.7682071287592502	GENE0316
5.143	-0.02	0.8286020308419781	GENE0317
5.561	-0.168	0.3084659346712137	GENE0318
8.297	0.382	0.6533526385418116	GENE0319
5.471	0.537	0.860634846678348	GENE0320
4.243	0.68	0.5481537801444515	GENE0321
11.983	-0.395	0.2843073607849886	GENE0322
7.283	-0.275	0.3938995426351086	GENE0323
8.609	-0.744	0.7181867566559228	GENE0324
8.503	0.341	0.2811954641547114	GENE0325
4.828	0.31	0.5585741917541482	GENE0326
2.09	-0.234	0.8339875942609283	GENE0327
11.652	1.327	0.6985960810925662	GENE0328
12.531	0.915	0.6508659758971382	GENE0329
6.627	-3.259	0.01442012849896321	GENE0330
3.399	-5.388	0.002398258541135037	GENE0331
11.057	-4.111	0.0012628291126335841	GENE0332
8.855	0.135	0.814804574977052	GENE0333
1.082	-0.245	0.3995319852600431	GENE0334
6.703	0.765	0.4689349700738856	GENE0335
7.558	0.364	0.7954429071924081	GENE0336
12.769	1.159	0.35157414413567456	GENE0337
13.858	0.375	0.715891216161306	GENE0338
6.304	-0.687	0.7932999992749692	GENE0339
4.564	2.852	0.016426489213875205	GENE0340
4.794	0.265	0.2811546332150684	GENE0341
11.217	0.44	0.8189363393413485	GENE0342
11.887	0.425	0.41833485114892355	GENE0343
1.116	0.214	0.7028945295124658	GENE0344
11.217	0.433	0.8750913729842544	GENE0345
10.04	-0.913	0.3467816147958092	GENE0346
12.808	0.625	0.7764527525022689	GENE0347
1.845	0.484	0.4435925600832241	GENE0348
2.59	0.343	0.5051511427759549	GENE0349
13.315	-0.984	0.2293056349161745	GENE0350
4.454	0.154	0.6528033727004924	GENE0351
13.237	-0.413	0.3084623348702281	GENE0352
6.522	0.882	0.6141086320811509	GENE0353
10.033	-3.338	0.004797111893411468	GENE0354
1.231	0.767	0.714921329075282	GENE0355
1.705	0.657	0.31176025253465145	GENE0356
2.627	0.93	0.21840666256148422	GENE0357
6.973	1.136	0.36207522152622734	GENE0358
7.62	1.103	0.7450190267606103	GENE0359
3.333	0.706	0.21813649835198712	GENE0360
11.172	1.026	0.6793315898569168	GENE0361
11.653	-0.09	0.569516871411631	GENE0362
7.557	-0.167	0.6926619143049175	GENE0363
4.292	-0.651	0.40076127424465363	GENE0364
4.227	1.087	0.39540320380834393	GENE0365
4.129	0.636	0.6825918995966187	GENE0366
10.033	-0.897	0.6344327649628676	GENE0367
12.064	-0.316	0.34460672992737174	GENE0368
9.85	-0.177	0.565508249273317	GENE0369
9.809	-1.266	0.32790453456623175	GENE0370
2.773	2.041	0.01355071063382928	GENE0371
1.815	-0.768	0.4678060047042487	GENE0372
6.334	-0.681	0.8140297952665076	GENE0373
1.445	1.154	0.8292424333701682	GENE0374
9.193	-0.607	0.8744503170497149	GENE0375
9.422	0.316	0.8482653453402538	GENE0376
11.684	1.2	0.7761655864520656	GENE0377
3.526	-0.076	0.8361986113089988	GENE0378
6.645	3.053	0.784969665746061	GENE0379
