node,GENE00,GENE01,GENE02,GENE03,GENE04,GENE05,GENE06,GENE07,GENE08,GENE09,GENE10,GENE11,GENE12,GENE13,GENE14,GENE15,GENE16,GENE17
GENE00,0.0,0.7,0.98,0.88,0.9,0.69,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GENE01,0.7,0.0,0.94,0.72,0.82,0.88,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GENE02,0.98,0.94,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GENE03,0.88,0.72,0.0,0.0,0.75,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GENE04,0.9,0.82,0.62,0.75,0.0,0.64,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0
GENE05,0.69,0.88,0.0,0.63,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GENE06,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.62,0.98,0.74,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GENE07,0.55,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.6,0.62,0.88,0.75,0.47,0.0,0.0,0.0,0.0,0.0
GENE08,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.6,0.0,0.89,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0
GENE09,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.62,0.89,0.0,0.66,0.91,0.0,0.0,0.0,0.0,0.0,0.0
GENE10,0.0,0.44,0.0,0.0,0.0,0.0,0.64,0.88,0.0,0.66,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0
GENE11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.96,0.91,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GENE12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.68,0.79,0.0,0.88,0.9
GENE13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.85,0.69,0.94
GENE14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.96,0.64,0.93
GENE15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.96,0.0,0.6,0.68
GENE16,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.69,0.64,0.6,0.0,0.58
GENE17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.94,0.93,0.68,0.58,0.0
