source,target,correlation
GENE00,GENE01,0.28
GENE00,GENE05,0.23
GENE00,GENE11,0.51
GENE00,GENE14,-0.05
GENE01,GENE06,0.02
GENE01,GENE07,0.42
GENE01,GENE12,0.07
GENE01,GENE13,0.22
GENE02,GENE05,0.04
GENE02,GENE07,-0.88
GENE02,GENE08,0.08
GENE02,GENE11,-0.84
GENE02,GENE14,-0.29
GENE02,GENE17,0.26
GENE03,GENE09,-0.35
GENE03,GENE11,0.27
GENE03,GENE12,0.11
GENE03,GENE14,-0.58
GENE03,GENE17,0.62
GENE04,GENE08,-0.29
GENE04,GENE09,0.92
GENE04,GENE15,-0.4
GENE04,GENE17,0.83
GENE05,GENE07,0.02
GENE05,GENE08,0.81
GENE05,GENE13,-0.57
GENE05,GENE15,-0.63
GENE06,GENE08,-0.75
GENE06,GENE12,-0.14
GENE06,GENE13,0.7
GENE07,GENE09,-0.52
GENE07,GENE15,-0.29
GENE08,GENE10,-0.67
GENE08,GENE11,0.29
GENE08,GENE12,-0.77
GENE08,GENE15,-0.92
GENE08,GENE16,0.27
GENE11,GENE14,0.7
GENE11,GENE16,-0.31
GENE15,GENE17,-0.39
GENE16,GENE17,0.82
