source,target,weight,interaction_type
GENE00,GENE01,0.7,activation
GENE00,GENE05,0.69,activation
GENE00,GENE04,0.9,activation
GENE01,GENE05,0.88,binding
GENE01,GENE04,0.82,binding
GENE00,GENE02,0.98,activation
GENE02,GENE04,0.62,binding
GENE01,GENE02,0.94,activation
GENE01,GENE03,0.72,binding
GENE03,GENE05,0.63,activation
GENE00,GENE03,0.88,activation
GENE03,GENE04,0.75,binding
GENE04,GENE05,0.64,activation
GENE06,GENE09,0.74,binding
GENE06,GENE08,0.98,binding
GENE06,GENE10,0.64,binding
GENE06,GENE07,0.62,binding
GENE07,GENE08,0.6,binding
GENE07,GENE11,0.75,activation
GENE08,GENE09,0.89,activation
GENE09,GENE10,0.66,activation
GENE09,GENE11,0.91,activation
GENE07,GENE09,0.62,binding
GENE07,GENE10,0.88,binding
GENE10,GENE11,0.57,activation
GENE08,GENE11,0.96,binding
GENE12,GENE16,0.88,binding
GENE12,GENE13,0.68,binding
GENE12,GENE17,0.9,binding
GENE13,GENE16,0.69,activation
GENE13,GENE17,0.94,binding
GENE13,GENE15,0.85,binding
GENE12,GENE14,0.79,activation
GENE14,GENE17,0.93,activation
GENE14,GENE15,0.96,binding
GENE15,GENE17,0.68,activation
GENE15,GENE16,0.6,activation
GENE16,GENE17,0.58,binding
GENE14,GENE16,0.64,activation
GENE04,GENE16,0.32,regulation
GENE04,GENE06,0.38,regulation
GENE00,GENE07,0.55,regulation
GENE01,GENE10,0.44,regulation
GENE07,GENE12,0.47,regulation
