gene	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12
Gene_001	5.084	4.755	5.714	4.657	4.091	5.811	7.355	7.721	7.384	7.022	6.021	7.162
Gene_002	5.464	5.453	4.441	5.258	5.212	4.476	6.009	5.726	7.721	7.269	6.187	7.462
Gene_003	5.14	4.962	5.023	5.295	7.913	4.611	4.072	7.313	5.239	5.581	7.385	5.986
Gene_004	3.942	5.415	3.988	5.993	4.365	5.475	7.505	8.316	4.485	6.3	5.975	7.382
Gene_005	4.649	4.655	6.211	6.473	5.105	3.691	6.187	5.575	7.958	7.111	6.602	7.418
Gene_006	5.587	4.413	5.508	5.684	2.912	6.367	6.658	6.624	6.742	6.028	7.167	6.391
Gene_007	3.965	7.095	5.684	5.471	5.241	5.85	7.53	7.32	7.45	6.175	5.704	6.904
Gene_008	5.383	5.377	4.325	5.163	5.742	6.087	5.358	7.39	6.699	7.02	7.079	6.95
Gene_009	6.446	5.007	4.25	5.653	5.399	4.55	6.723	6.959	5.394	6.468	7.209	7.506
Gene_010	4.124	6.048	5.066	7.159	4.853	5.931	5.035	7.631	6.287	6.261	5.9	6.585
Gene_011	4.541	5.897	4.613	5.173	7.418	5.364	6.709	6.949	6.255	6.814	5.222	7.3
Gene_012	5.199	5.522	4.087	6.169	3.873	5.327	5.739	5.55	7.55	7.847	7.33	6.695
Gene_013	4.288	5.547	4.887	3.941	5.963	6.069	5.794	5.868	6.239	6.869	8.057	7.031
Gene_014	4.174	5.928	4.015	4.558	5.409	5.223	5.14	6.133	5.913	5.859	5.906	6.803
Gene_015	4.784	4.696	5.596	6.666	5.706	4.524	5.643	6.776	6.446	5.937	6.687	6.717
Gene_016	4.015	3.982	5.005	4.864	6.568	4.64	5.821	8.968	5.357	7.53	6.455	6.461
Gene_017	4.135	5.515	6.263	6.114	5.006	6.152	6.019	6.864	7.272	6.775	7.015	6.818
Gene_018	4.159	6.476	4.437	6.498	5.882	6.563	6.945	6.579	5.578	6.291	5.889	7.556
Gene_019	3.676	6.199	4.799	5.769	5.75	5.912	7.165	6.156	5.963	5.638	6.141	6.611
Gene_020	5.331	5.884	5.993	6.459	4.543	5.253	5.995	6.472	7.212	7.95	6.9	7.165
Gene_021	4.324	4.997	4.93	3.535	5.333	5.277	6.486	5.309	3.662	5.518	4.893	5.629
Gene_022	4.112	5.445	3.567	5.717	4.88	3.576	5.589	6.283	5.947	5.986	4.531	4.828
Gene_023	5.424	6.318	7.256	5.684	3.601	5.153	5.694	5.931	5.863	4.689	4.672	5.975
Gene_024	5.35	5.734	4.52	5.024	5.423	6.137	3.981	5.579	5.482	5.656	5.281	5.338
Gene_025	4.412	6.339	3.979	5.634	4.068	4.89	4.88	4.55	5.057	6.076	5.948	5.028
Gene_026	5.235	4.995	4.091	4.924	6.611	4.558	4.511	5.106	5.781	5.483	4.538	4.886
Gene_027	5.165	5.561	3.547	5.455	5.121	5.673	4.683	5.778	4.064	5.567	7.214	5.742
Gene_028	4.254	5.882	5.795	6.005	4.737	5.496	5.235	7.991	3.481	5.105	4.783	5.133
Gene_029	5.07	6.311	3.997	5.251	4.211	5.897	6.5	4.597	4.88	5.093	4.229	5.049
Gene_030	4.951	4.37	5.608	4.649	3.262	5.49	4.793	5.952	4.969	5.64	5.427	4.392
Gene_031	6.229	6.135	5.969	4.81	5.07	5.559	3.912	5.873	5.398	5.803	5.175	6.262
Gene_032	5.408	5.69	5.65	5.24	4.688	6.061	4.916	5.657	3.828	5.602	3.599	4.902
Gene_033	4.843	7.341	4.795	6.007	4.55	5.154	3.685	6.264	5.45	6.035	5.304	5.341
Gene_034	5.493	5.348	6.171	5.854	4.718	4.474	4.854	4.515	5.344	5.341	3.671	6.334
Gene_035	4.495	3.893	6.081	5.136	4.559	4.957	5.056	5.325	4.01	5.408	5.01	5.716
Gene_036	3.709	5.089	3.878	4.895	4.026	5.702	4.886	5.274	5.136	4.671	3.936	4.412
Gene_037	5.856	5.143	6.928	6.032	5.065	6.095	4.454	5.552	4.972	6.152	3.775	4.62
Gene_038	5.409	6.08	6.233	5.359	5.105	4.323	5.416	5.906	4.799	5.679	5.169	5.789
Gene_039	5.084	6.597	6.674	5.275	4.916	4.38	4.976	6.427	4.223	4.775	6.34	4.001
Gene_040	5.884	5.9	5.025	4.909	5.247	6.508	3.994	6.709	5.748	4.983	5.007	6.123
Gene_041	3.998	4.16	4.1	4.477	5.096	6.14	4.356	4.253	5.041	4.821	4.736	5.525
Gene_042	5.471	5.591	5.313	5.34	6.036	4.702	7.389	5.464	5.515	5.682	4.119	5.521
Gene_043	5.763	6.206	5.484	5.233	4.496	4.577	6.095	6.672	4.668	5.753	4.868	5.388
Gene_044	4.794	6.398	5.18	5.095	6.026	4.289	5.424	5.617	4.234	3.981	3.672	5.017
Gene_045	4.395	3.738	4.756	4.908	4.751	5.096	4.662	4.753	5.19	5.144	6.048	5.47
Gene_046	4.075	7.129	5.265	6.134	4.954	4.383	5.529	5.794	3.574	4.549	5.588	4.945
Gene_047	4.687	5.883	6.722	5.532	6.393	4.427	5.707	5.393	3.319	5.335	4.484	4.875
Gene_048	7.229	3.694	5.106	3.728	5.301	5.261	5.79	5.707	5.086	4.847	4.715	6.392
Gene_049	5.713	4.498	4.809	6.238	5.714	7.051	4.354	5.932	4.799	5.822	4.999	6.045
Gene_050	6.009	4.84	2.988	5.879	5.024	5.013	5.68	7.252	5.382	4.822	4.744	5.009
