sample_id	true_label	score_model_a	score_model_b	cohort
S000	0	0.8054	0.4746	Discovery
S001	1	0.948	0.6247	Discovery
S002	1	0.904	0.8075	Discovery
S003	0	0.3047	0.8754	Validation
S004	1	0.9663	0.9324	Discovery
S005	1	0.9094	0.8443	Discovery
S006	0	0.2564	0.6827	Discovery
S007	0	0.5602	0.9574	Discovery
S008	0	0.5112	0.7161	Validation
S009	0	0.5505	0.5576	Validation
S010	0	0.8784	0.3197	Discovery
S011	1	0.9472	0.8753	Discovery
S012	1	0.9105	0.8592	Discovery
S013	0	0.8743	0.748	Discovery
S014	0	0.5442	0.3352	Validation
S015	0	0.7631	0.5767	Validation
S016	0	0.5214	0.5767	Validation
S017	0	0.3374	0.0946	Discovery
S018	0	0.5381	0.4373	Validation
S019	1	0.9123	0.6055	Discovery
S020	0	0.7397	0.6497	Validation
S021	0	0.8199	0.8823	Validation
S022	0	0.6938	0.457	Discovery
S023	0	0.1594	0.3844	Discovery
S024	0	0.6795	0.4896	Validation
S025	0	0.6679	0.5067	Discovery
S026	0	0.3946	0.3518	Validation
S027	0	0.2414	0.2816	Discovery
S028	0	0.4631	0.3815	Discovery
S029	0	0.6176	0.148	Validation
S030	0	0.6744	0.924	Validation
S031	0	0.6238	0.6111	Discovery
S032	1	0.8297	0.5114	Validation
S033	1	0.8384	0.9218	Discovery
S034	1	0.929	0.6555	Validation
S035	0	0.3241	0.6452	Validation
S036	0	0.5916	0.3917	Discovery
S037	0	0.6661	0.1665	Validation
S038	0	0.2036	0.4371	Discovery
S039	1	0.8901	0.6046	Validation
S040	0	0.3669	0.0438	Discovery
S041	0	0.2061	0.5032	Discovery
S042	0	0.5071	0.3047	Validation
S043	0	0.7206	0.1604	Discovery
S044	0	0.6525	0.9652	Discovery
S045	0	0.3598	0.3788	Discovery
S046	0	0.6509	0.5381	Validation
S047	0	0.5641	0.6972	Discovery
S048	0	0.6509	0.5111	Validation
S049	1	0.8569	0.2006	Discovery
S050	0	0.8027	0.4737	Discovery
S051	1	0.8457	0.6021	Validation
S052	0	0.2883	0.4812	Validation
S053	1	0.4386	0.6722	Discovery
S054	0	0.6144	0.9293	Validation
S055	0	0.4229	0.4703	Discovery
S056	1	0.8776	0.6826	Discovery
S057	0	0.5237	0.3386	Validation
S058	1	0.9499	0.6007	Validation
S059	1	0.809	0.5894	Discovery
S060	0	0.6392	0.9031	Discovery
S061	0	0.5763	0.5889	Validation
S062	0	0.7395	0.268	Validation
S063	0	0.8337	0.6937	Discovery
S064	1	0.7148	0.9363	Validation
S065	0	0.497	0.3523	Validation
S066	0	0.5793	0.1826	Validation
S067	0	0.6159	0.2334	Discovery
S068	0	0.2292	0.763	Validation
S069	1	0.6045	0.851	Discovery
S070	0	0.8504	0.3127	Validation
S071	1	0.9481	0.648	Validation
S072	1	0.8743	0.2882	Validation
S073	0	0.2987	0.5766	Validation
S074	0	0.3426	0.0789	Discovery
S075	1	0.8365	0.942	Validation
S076	1	0.8986	0.8304	Validation
S077	0	0.5855	0.6723	Validation
S078	0	0.4663	0.4715	Discovery
S079	0	0.5518	0.7355	Discovery
S080	0	0.4803	0.5143	Discovery
S081	1	0.791	0.7305	Discovery
S082	0	0.6363	0.2834	Validation
