group	value	batch
Healthy	4.089	B1
Healthy	3.863	B2
Healthy	4.365	B3
Healthy	4.387	B1
Healthy	4.141	B2
Healthy	4.454	B3
Healthy	4.477	B1
Healthy	3.57	B2
Healthy	4.003	B3
Healthy	4.495	B1
Healthy	4.073	B2
Healthy	4.414	B3
Healthy	5.274	B1
Healthy	4.077	B2
Healthy	4.568	B3
Healthy	4.838	B1
Healthy	4.398	B2
Healthy	4.536	B3
Healthy	4.842	B1
Healthy	4.201	B2
Healthy	6.143	B3
Healthy	4.753	B1
Healthy	4.96	B2
Healthy	4.824	B3
Healthy	3.831	B1
Healthy	4.888	B2
Healthy	4.366	B3
Healthy	5.07	B1
Healthy	4.856	B2
Healthy	4.84	B3
Healthy	4.206	B1
Healthy	4.315	B2
Healthy	4.459	B3
Healthy	4.712	B1
Healthy	4.714	B2
Disease	7.239	B1
Disease	5.838	B2
Disease	6.452	B3
Disease	7.46	B1
Disease	5.865	B2
Disease	8.024	B3
Disease	6.031	B1
Disease	6.573	B2
Disease	5.669	B3
Disease	6.795	B1
Disease	6.887	B2
Disease	6.517	B3
Disease	4.552	B1
Disease	6.225	B2
Disease	5.399	B3
Disease	5.773	B1
Disease	4.223	B2
Disease	5.5	B3
Disease	6.538	B1
Disease	6.152	B2
Disease	6.345	B3
Disease	7.236	B1
Disease	7.468	B2
Disease	6.878	B3
Disease	7.019	B1
Disease	7.131	B2
Disease	5.041	B3
Disease	4.122	B1
Disease	5.182	B2
Disease	6.748	B3
Disease	7.099	B1
Disease	4.721	B2
Disease	7.117	B3
Disease	7.575	B1
Disease	5.36	B2
Treated	4.986	B1
Treated	5.122	B2
Treated	5.705	B3
Treated	5.197	B1
Treated	5.092	B2
Treated	4.652	B3
Treated	4.049	B1
Treated	5.699	B2
Treated	4.915	B3
Treated	4.77	B1
Treated	4.77	B2
Treated	4.537	B3
Treated	5.36	B1
Treated	4.924	B2
Treated	4.589	B3
Treated	5.974	B1
Treated	6.0	B2
Treated	5.893	B3
Treated	4.83	B1
Treated	5.379	B2
Treated	6.348	B3
Treated	5.351	B1
Treated	5.496	B2
Treated	5.869	B3
Treated	6.145	B1
Treated	4.622	B2
Treated	5.659	B3
Treated	5.049	B1
Treated	5.836	B2
Treated	5.543	B3
Treated	5.451	B1
Treated	5.167	B2
Treated	5.276	B3
Treated	5.342	B1
Treated	5.401	B2
