cell_id,sample_id,condition,pseudotime,score
C0001,Con_S2,Control,0.2465,2.015
C0002,Con_S3,Control,0.0985,2.667
C0003,Con_S1,Control,0.31,3.699
C0004,Con_S1,Control,0.2732,3.324
C0005,Con_S2,Control,0.3108,3.066
C0006,Con_S1,Control,0.2185,3.392
C0007,Con_S3,Control,0.2996,3.715
C0008,Con_S3,Control,0.4001,3.365
C0009,Con_S1,Control,0.2788,4.373
C0010,Con_S1,Control,0.0918,2.944
C0011,Con_S3,Control,0.7445,3.529
C0012,Con_S1,Control,0.4217,3.791
C0013,Con_S3,Control,0.4879,3.768
C0014,Con_S1,Control,0.4802,3.538
C0015,Con_S1,Control,0.2039,4.028
C0016,Con_S3,Control,0.0607,3.025
C0017,Con_S3,Control,0.6129,3.751
C0018,Con_S2,Control,0.6206,5.539
C0019,Con_S2,Control,0.1405,1.446
C0020,Con_S3,Control,0.3193,2.893
C0021,Con_S3,Control,0.5342,4.611
C0022,Con_S3,Control,0.6095,4.1
C0023,Con_S3,Control,0.7702,5.058
C0024,Con_S3,Control,0.1238,3.872
C0025,Con_S3,Control,0.6743,4.939
C0026,Con_S1,Control,0.5482,3.691
C0027,Con_S3,Control,0.4553,4.012
C0028,Con_S3,Control,0.4651,3.207
C0029,Con_S2,Control,0.366,3.324
C0030,Con_S1,Control,0.3145,4.286
C0031,Con_S2,Control,0.3901,3.292
C0032,Con_S2,Control,0.577,3.92
C0033,Con_S3,Control,0.1372,3.645
C0034,Con_S1,Control,0.1826,3.799
C0035,Con_S3,Control,0.1166,3.38
C0036,Con_S2,Control,0.3899,4.542
C0037,Con_S3,Control,0.2482,2.637
C0038,Con_S1,Control,0.6128,4.419
C0039,Con_S3,Control,0.4185,3.44
C0040,Con_S1,Control,0.2852,3.931
C0041,Con_S3,Control,0.5296,3.395
C0042,Con_S3,Control,0.1624,3.689
C0043,Con_S3,Control,0.3755,5.045
C0044,Con_S1,Control,0.2555,2.415
C0045,Con_S1,Control,0.732,4.206
C0046,Con_S3,Control,0.1422,3.291
C0047,Con_S3,Control,0.5084,4.769
C0048,Con_S2,Control,0.2916,4.055
C0049,Con_S3,Control,0.1645,2.521
C0050,Con_S1,Control,0.0,3.114
C0051,Con_S2,Control,0.2731,3.089
C0052,Con_S3,Control,0.7026,4.666
C0053,Con_S1,Control,0.3877,5.356
C0054,Con_S1,Control,0.2576,3.754
C0055,Con_S1,Control,0.2136,2.441
C0056,Con_S2,Control,0.4352,3.455
C0057,Con_S1,Control,0.4252,3.919
C0058,Con_S2,Control,0.0792,2.401
C0059,Con_S2,Control,0.5679,3.887
C0060,Con_S2,Control,0.4107,3.207
C0061,Con_S2,Control,0.5373,4.898
C0062,Con_S3,Control,0.5538,3.178
C0063,Con_S2,Control,0.5243,3.473
C0064,Con_S3,Control,0.4059,3.716
C0065,Con_S3,Control,0.1116,3.992
C0066,Con_S1,Control,0.2657,2.961
C0067,Con_S3,Control,0.5211,2.741
C0068,Con_S3,Control,0.2878,2.147
C0069,Con_S3,Control,0.1822,2.337
C0070,Con_S1,Control,0.3583,2.681
C0071,Con_S1,Control,0.186,2.72
C0072,Con_S3,Control,0.3332,3.218
C0073,Con_S2,Control,0.377,4.432
C0074,Con_S2,Control,0.1521,2.909
C0075,Con_S2,Control,0.1957,2.704
C0076,Con_S2,Control,0.0,2.435
C0077,Con_S1,Control,0.4899,4.704
C0078,Con_S1,Control,0.7978,3.981
C0079,Con_S2,Control,0.2821,3.451
C0080,Con_S2,Control,0.2601,2.921
C0081,Con_S2,Control,0.1199,3.475
C0082,Con_S1,Control,0.4885,3.787
C0083,Con_S2,Control,0.4462,4.353
C0084,Con_S2,Control,0.3097,4.425
C0085,Con_S1,Control,0.2479,3.802
C0086,Con_S2,Control,0.3247,4.123
C0087,Con_S1,Control,0.0,4.084
C0088,Con_S2,Control,0.5317,4.237
C0089,Con_S2,Control,0.311,3.166
C0090,Con_S1,Control,0.2387,3.21
C0091,Con_S1,Control,0.8081,3.643
C0092,Con_S3,Control,0.3848,3.406
C0093,Con_S1,Control,0.2335,3.895
C0094,Con_S3,Control,0.4623,4.334
C0095,Con_S3,Control,0.4474,3.381
C0096,Con_S3,Control,0.3923,4.253
C0097,Con_S3,Control,0.3696,3.256
C0098,Con_S1,Control,0.5324,4.807
C0099,Con_S1,Control,0.5446,4.589
C0100,Con_S2,Control,0.4996,3.683
C0101,Con_S2,Control,0.2613,3.407
C0102,Con_S1,Control,0.2424,2.825
C0103,Con_S1,Control,0.4444,4.061
