sample_id,true_label,score_model_a,score_model_b,cohort
S001,0,0.2395,0.5079,Validation
S002,0,0.5826,0.6083,Discovery
S003,0,0.3983,0.7178,Validation
S004,0,0.4447,0.8246,Discovery
S005,0,0.1762,0.4726,Validation
S006,0,0.4207,0.3287,Discovery
S007,0,0.3526,0.2595,Validation
S008,0,0.1748,0.6696,Discovery
S009,0,0.038,0.1698,Validation
S010,0,0.2961,0.2691,Discovery
S011,0,0.476,0.5664,Validation
S012,0,0.3847,0.7285,Discovery
S013,0,0.5029,0.657,Validation
S014,0,0.3994,0.4563,Discovery
S015,0,0.464,0.6262,Validation
S016,0,0.3978,0.4814,Discovery
S017,0,0.4195,0.6133,Validation
S018,0,0.4786,0.305,Discovery
S019,0,0.3136,0.5847,Validation
S020,0,0.3672,0.4465,Discovery
S021,0,0.4744,0.4347,Validation
S022,0,0.4323,0.2425,Discovery
S023,0,0.5746,0.3433,Validation
S024,0,0.3043,0.888,Discovery
S025,0,0.537,0.5381,Validation
S026,0,0.2985,0.3676,Discovery
S027,0,0.1435,0.3213,Validation
S028,0,0.0,0.5216,Discovery
S029,0,0.3703,0.2582,Validation
S030,0,0.3601,0.1567,Discovery
S031,0,0.2945,0.5225,Validation
S032,0,0.48,0.5138,Discovery
S033,0,0.2427,0.3615,Validation
S034,0,0.5777,0.0994,Discovery
S035,0,0.5071,0.0729,Validation
S036,0,0.2206,0.5864,Discovery
S037,0,0.3104,0.2942,Validation
S038,0,0.4545,0.6188,Discovery
S039,0,0.263,0.4959,Validation
S040,0,0.6004,0.4455,Discovery
S041,0,0.3923,0.4957,Validation
S042,0,0.3908,0.4912,Discovery
S043,0,0.2989,0.5172,Validation
S044,0,0.2231,0.402,Discovery
S045,0,0.274,0.4347,Validation
S046,0,0.4296,0.3497,Discovery
S047,0,0.3218,0.5683,Validation
S048,0,0.2544,0.5363,Discovery
S049,0,0.2328,0.6524,Validation
S050,0,0.3929,0.4467,Discovery
S051,0,0.3311,0.3901,Validation
S052,0,0.6483,0.4076,Discovery
S053,0,0.4655,0.5791,Validation
S054,0,0.3288,0.3402,Discovery
S055,0,0.4985,0.6748,Validation
S056,0,0.4659,0.2634,Discovery
S057,0,0.3991,0.4233,Validation
S058,0,0.4388,0.3973,Discovery
S059,0,0.2206,0.4948,Validation
S060,0,0.2222,0.7042,Discovery
S061,1,0.695,0.681,Validation
S062,1,0.843,1.0,Discovery
S063,1,0.7662,0.3549,Validation
S064,1,0.5126,0.3623,Discovery
S065,1,0.7422,0.5258,Validation
S066,1,0.8276,0.5383,Discovery
S067,1,0.5679,0.8501,Validation
S068,1,0.7133,0.7257,Discovery
S069,1,0.626,0.679,Validation
S070,1,0.9137,0.6096,Discovery
S071,1,0.6027,0.9047,Validation
S072,1,0.8363,0.489,Discovery
S073,1,0.5375,0.6589,Validation
S074,1,0.8928,0.8259,Discovery
S075,1,0.6476,0.6667,Validation
S076,1,0.8453,0.7249,Discovery
S077,1,0.6029,0.6119,Validation
S078,1,0.894,0.8785,Discovery
S079,1,0.695,0.6883,Validation
S080,1,0.7617,0.7258,Discovery
S081,1,0.4705,0.8602,Validation
S082,1,0.8183,0.482,Discovery
S083,1,0.8489,0.3917,Validation
S084,1,0.5298,0.364,Discovery
S085,1,0.8073,0.5508,Validation
S086,1,0.5293,0.7769,Discovery
S087,1,0.6989,0.3237,Validation
S088,1,0.564,0.3361,Discovery
S089,1,0.6713,0.7733,Validation
S090,1,0.8342,0.6006,Discovery
S091,1,0.7977,0.3962,Validation
S092,1,0.6491,0.5719,Discovery
S093,1,0.8744,0.5843,Validation
S094,1,0.9705,0.4946,Discovery
S095,1,0.5399,0.1298,Validation
S096,1,0.7092,0.7304,Discovery
S097,1,0.7223,0.7006,Validation
S098,1,0.7768,0.509,Discovery
S099,1,0.7215,0.8142,Validation
S100,1,0.7706,0.6389,Discovery
S101,1,0.4829,0.4194,Validation
S102,1,0.6444,0.4608,Discovery
S103,1,0.4694,0.5453,Validation
S104,1,0.8433,0.7899,Discovery
S105,1,0.6853,0.7114,Validation
S106,1,0.9035,0.6363,Discovery
S107,1,0.6435,0.7023,Validation
S108,1,0.8309,0.5732,Discovery
S109,1,0.8962,0.6562,Validation
S110,1,0.7211,0.7711,Discovery
S111,1,0.7348,0.6878,Validation
S112,1,0.6174,0.5971,Discovery
S113,1,0.5653,0.7741,Validation
S114,1,0.3499,0.4434,Discovery
S115,1,0.7079,0.4981,Validation
S116,1,0.6854,0.4286,Discovery
S117,1,0.8722,0.3432,Validation
S118,1,0.7068,0.6085,Discovery
S119,1,0.761,0.4867,Validation
S120,1,0.7309,0.3743,Discovery
