sample_id,x_marker,y_response,group,label
S001,5.585,8.196,Responder,
S002,7.494,11.342,Responder,
S003,7.369,12.006,Responder,
S004,6.37,9.901,Responder,
S005,6.793,10.283,Responder,
S006,4.75,7.714,Responder,S006
S007,1.439,3.755,Responder,
S008,1.353,1.371,Responder,
S009,3.955,6.309,Responder,
S010,2.003,3.417,Responder,
S011,6.678,9.504,Responder,
S012,8.683,12.01,Responder,S012
S013,4.963,8.406,Responder,
S014,8.94,11.655,Responder,
S015,2.683,4.982,Responder,
S016,6.787,9.682,Responder,
S017,3.553,6.619,Responder,
S018,7.994,11.156,Responder,
S019,7.006,11.798,Responder,
S020,2.13,3.91,Responder,
S021,1.774,4.359,Responder,
S022,1.913,2.958,Responder,
S023,4.27,5.232,Responder,
S024,1.609,1.992,Responder,
S025,4.33,7.344,Responder,
S026,7.312,10.071,Responder,
S027,6.546,10.467,Responder,
S028,3.475,6.291,Responder,
S029,5.135,7.791,Responder,
S030,4.581,5.646,Responder,
S031,2.667,4.912,Responder,S031
S032,4.178,6.296,Responder,
S033,4.545,6.26,Responder,
S034,2.547,4.174,Responder,
S035,1.937,5.666,Responder,
S036,4.805,6.319,Non_responder,
S037,2.189,2.685,Non_responder,
S038,2.108,3.643,Non_responder,
S039,5.055,4.439,Non_responder,
S040,4.973,4.498,Non_responder,
S041,5.732,5.989,Non_responder,
S042,8.507,8.34,Non_responder,
S043,4.408,4.412,Non_responder,
S044,1.865,2.965,Non_responder,
S045,7.547,6.613,Non_responder,
S046,8.184,7.009,Non_responder,
S047,7.291,6.945,Non_responder,
S048,6.948,8.093,Non_responder,
S049,3.972,5.717,Non_responder,
S050,2.789,2.864,Non_responder,
S051,5.883,5.585,Non_responder,
S052,8.062,6.764,Non_responder,
S053,7.326,8.661,Non_responder,
S054,6.375,6.853,Non_responder,
S055,4.123,7.7,Non_responder,
S056,4.341,5.109,Non_responder,
S057,2.711,5.811,Non_responder,
S058,7.313,6.165,Non_responder,
S059,6.082,6.492,Non_responder,
S060,3.8,4.266,Non_responder,
