sample_id	group	cell_type	fraction
S01	Control	T_cell	0.295
S01	Control	B_cell	0.2852
S01	Control	Myeloid	0.2064
S01	Control	Stromal	0.0803
S01	Control	Epithelial	0.1332
S02	Control	T_cell	0.2022
S02	Control	B_cell	0.1896
S02	Control	Myeloid	0.1314
S02	Control	Stromal	0.3371
S02	Control	Epithelial	0.1397
S03	Control	T_cell	0.2204
S03	Control	B_cell	0.0632
S03	Control	Myeloid	0.098
S03	Control	Stromal	0.2613
S03	Control	Epithelial	0.3571
S04	Control	T_cell	0.1491
S04	Control	B_cell	0.2412
S04	Control	Myeloid	0.0634
S04	Control	Stromal	0.1235
S04	Control	Epithelial	0.4228
S05	Control	T_cell	0.3167
S05	Control	B_cell	0.102
S05	Control	Myeloid	0.3669
S05	Control	Stromal	0.0537
S05	Control	Epithelial	0.1607
S06	Control	T_cell	0.1289
S06	Control	B_cell	0.112
S06	Control	Myeloid	0.4027
S06	Control	Stromal	0.2297
S06	Control	Epithelial	0.1266
S07	Control	T_cell	0.1821
S07	Control	B_cell	0.1392
S07	Control	Myeloid	0.1725
S07	Control	Stromal	0.2061
S07	Control	Epithelial	0.3
S08	Control	T_cell	0.7616
S08	Control	B_cell	0.0217
S08	Control	Myeloid	0.0213
S08	Control	Stromal	0.1453
S08	Control	Epithelial	0.05
S09	Control	T_cell	0.5819
S09	Control	B_cell	0.2304
S09	Control	Myeloid	0.0959
S09	Control	Stromal	0.0565
S09	Control	Epithelial	0.0353
S10	Control	T_cell	0.3348
S10	Control	B_cell	0.1027
S10	Control	Myeloid	0.1028
S10	Control	Stromal	0.3694
S10	Control	Epithelial	0.0903
S11	Control	T_cell	0.2463
S11	Control	B_cell	0.0569
S11	Control	Myeloid	0.1653
S11	Control	Stromal	0.5222
S11	Control	Epithelial	0.0094
S12	Control	T_cell	0.4131
S12	Control	B_cell	0.0473
S12	Control	Myeloid	0.1971
S12	Control	Stromal	0.233
S12	Control	Epithelial	0.1095
S13	Control	T_cell	0.3343
S13	Control	B_cell	0.1176
S13	Control	Myeloid	0.1562
S13	Control	Stromal	0.1293
S13	Control	Epithelial	0.2627
S14	Control	T_cell	0.4777
S14	Control	B_cell	0.126
S14	Control	Myeloid	0.3616
S14	Control	Stromal	0.0304
S14	Control	Epithelial	0.0043
S15	Control	T_cell	0.2173
S15	Control	B_cell	0.5154
S15	Control	Myeloid	0.1688
S15	Control	Stromal	0.0578
S15	Control	Epithelial	0.0408
S16	Treated	T_cell	0.2636
S16	Treated	B_cell	0.0929
S16	Treated	Myeloid	0.3413
S16	Treated	Stromal	0.0334
S16	Treated	Epithelial	0.2688
S17	Treated	T_cell	0.1747
S17	Treated	B_cell	0.4987
S17	Treated	Myeloid	0.1253
S17	Treated	Stromal	0.0817
S17	Treated	Epithelial	0.1196
S18	Treated	T_cell	0.0926
S18	Treated	B_cell	0.145
S18	Treated	Myeloid	0.1804
S18	Treated	Stromal	0.3002
S18	Treated	Epithelial	0.2818
S19	Treated	T_cell	0.0351
S19	Treated	B_cell	0.1604
S19	Treated	Myeloid	0.4625
S19	Treated	Stromal	0.0496
S19	Treated	Epithelial	0.2924
S20	Treated	T_cell	0.4916
S20	Treated	B_cell	0.1167
S20	Treated	Myeloid	0.1117
S20	Treated	Stromal	0.1677
S20	Treated	Epithelial	0.1123
S21	Treated	T_cell	0.1487
S21	Treated	B_cell	0.0022
S21	Treated	Myeloid	0.342
S21	Treated	Stromal	0.1574
S21	Treated	Epithelial	0.3498
S22	Treated	T_cell	0.222
S22	Treated	B_cell	0.0922
S22	Treated	Myeloid	0.3498
S22	Treated	Stromal	0.3214
S22	Treated	Epithelial	0.0147
S23	Treated	T_cell	0.3028
S23	Treated	B_cell	0.262
S23	Treated	Myeloid	0.108
S23	Treated	Stromal	0.1115
S23	Treated	Epithelial	0.2156
S24	Treated	T_cell	0.171
S24	Treated	B_cell	0.0402
S24	Treated	Myeloid	0.3644
S24	Treated	Stromal	0.2269
S24	Treated	Epithelial	0.1974
S25	Treated	T_cell	0.126
S25	Treated	B_cell	0.1427
S25	Treated	Myeloid	0.3291
S25	Treated	Stromal	0.0715
S25	Treated	Epithelial	0.3307
S26	Treated	T_cell	0.1876
S26	Treated	B_cell	0.0688
S26	Treated	Myeloid	0.3643
S26	Treated	Stromal	0.0886
S26	Treated	Epithelial	0.2907
S27	Treated	T_cell	0.3039
S27	Treated	B_cell	0.0788
S27	Treated	Myeloid	0.196
S27	Treated	Stromal	0.1461
S27	Treated	Epithelial	0.2751
S28	Treated	T_cell	0.3375
S28	Treated	B_cell	0.075
S28	Treated	Myeloid	0.1145
S28	Treated	Stromal	0.29
S28	Treated	Epithelial	0.1831
S29	Treated	T_cell	0.0657
S29	Treated	B_cell	0.0392
S29	Treated	Myeloid	0.4927
S29	Treated	Stromal	0.2842
S29	Treated	Epithelial	0.1181
S30	Treated	T_cell	0.0796
S30	Treated	B_cell	0.1899
S30	Treated	Myeloid	0.2932
S30	Treated	Stromal	0.038
S30	Treated	Epithelial	0.3993
