gene	DEG_up	DEG_down	Promoter_peak	Conserved
GENE0000	0	1	1	1
GENE0001	1	0	1	1
GENE0002	1	0	1	1
GENE0003	1	0	0	0
GENE0004	0	1	0	0
GENE0005	1	0	1	1
GENE0006	0	0	1	1
GENE0007	1	1	0	0
GENE0008	1	0	0	0
GENE0009	0	0	0	0
GENE0010	0	1	1	1
GENE0011	1	0	1	1
GENE0012	0	0	1	0
GENE0013	0	0	0	0
GENE0014	0	1	1	0
GENE0015	0	0	0	1
GENE0016	0	0	0	0
GENE0017	0	0	0	0
GENE0018	0	0	1	0
GENE0019	1	1	0	0
GENE0020	0	1	1	0
GENE0021	1	0	0	0
GENE0022	0	1	1	1
GENE0023	0	0	1	0
GENE0024	1	0	0	0
GENE0025	0	0	1	1
GENE0026	0	0	1	1
GENE0027	0	0	1	1
GENE0028	1	1	0	1
GENE0029	1	0	0	0
GENE0030	0	0	1	1
GENE0031	1	1	0	0
GENE0032	0	0	1	1
GENE0033	0	0	0	0
GENE0034	1	1	1	1
GENE0035	1	0	1	0
GENE0036	0	1	0	1
GENE0037	0	0	0	0
GENE0038	1	0	1	0
GENE0039	0	0	0	0
GENE0040	1	0	0	0
GENE0041	0	0	1	0
GENE0042	0	0	0	0
GENE0043	0	0	0	0
GENE0044	1	0	0	1
GENE0045	1	1	1	1
GENE0046	0	0	0	1
GENE0047	0	0	1	1
GENE0048	1	1	0	0
GENE0049	1	1	0	1
GENE0050	0	0	0	1
GENE0051	0	0	0	0
GENE0052	0	0	0	0
GENE0053	1	0	0	0
GENE0054	0	1	1	0
GENE0055	0	1	0	0
GENE0056	0	0	0	0
GENE0057	0	1	1	0
GENE0058	0	0	1	0
GENE0059	1	0	1	0
GENE0060	0	0	0	0
GENE0061	1	1	0	0
GENE0062	1	0	0	1
GENE0063	0	0	1	0
GENE0064	0	0	1	0
GENE0065	0	1	1	0
GENE0066	1	1	0	1
GENE0067	0	0	1	0
GENE0068	1	0	1	0
GENE0069	0	0	0	0
GENE0070	0	0	0	1
GENE0071	0	1	1	0
GENE0072	1	0	1	1
GENE0073	0	0	1	0
GENE0074	1	1	0	0
GENE0075	1	0	1	0
GENE0076	1	0	0	1
GENE0077	1	0	0	1
GENE0078	0	0	1	1
GENE0079	1	0	1	1
GENE0080	0	0	1	0
GENE0081	1	0	0	1
GENE0082	1	0	0	1
GENE0083	0	0	1	0
GENE0084	0	0	1	1
GENE0085	0	1	0	0
GENE0086	1	1	0	0
GENE0087	1	1	1	0
GENE0088	0	1	1	0
GENE0089	0	0	1	0
GENE0090	0	0	0	0
GENE0091	0	0	0	0
GENE0092	1	1	0	0
GENE0093	1	0	0	0
GENE0094	0	0	1	0
GENE0095	0	0	1	0
GENE0096	1	0	1	1
GENE0097	0	0	1	0
GENE0098	0	0	0	0
GENE0099	0	0	0	1
GENE0100	1	0	0	0
GENE0101	0	0	0	0
GENE0102	0	1	1	0
GENE0103	0	0	0	0
GENE0104	1	0	0	1
GENE0105	1	1	1	0
GENE0106	0	1	0	0
GENE0107	0	0	1	0
GENE0108	1	0	0	1
GENE0109	1	1	0	0
GENE0110	1	0	0	1
GENE0111	1	0	0	0
GENE0112	0	0	1	0
GENE0113	0	0	0	1
GENE0114	1	0	1	0
GENE0115	1	1	1	0
GENE0116	0	0	0	0
GENE0117	1	1	1	0
GENE0118	0	1	0	0
GENE0119	0	0	0	1
GENE0120	0	1	1	1
GENE0121	1	0	1	0
GENE0122	1	0	0	0
GENE0123	1	0	1	0
GENE0124	0	1	0	1
GENE0125	1	1	1	0
GENE0126	1	0	0	1
GENE0127	0	0	1	1
GENE0128	0	1	1	0
GENE0129	1	0	1	0
GENE0130	0	0	1	1
GENE0131	0	0	0	0
GENE0132	1	0	0	0
GENE0133	0	1	1	0
GENE0134	0	1	0	1
GENE0135	0	1	0	0
GENE0136	0	0	0	0
GENE0137	0	0	1	1
GENE0138	0	0	0	0
GENE0139	1	0	0	1
GENE0140	1	0	1	0
GENE0141	0	0	1	0
GENE0142	1	0	1	0
GENE0143	0	0	1	1
GENE0144	1	0	0	1
GENE0145	1	0	0	1
GENE0146	0	1	0	0
GENE0147	1	0	1	0
GENE0148	0	0	1	0
GENE0149	1	1	1	0
GENE0150	0	0	1	1
GENE0151	1	0	0	1
GENE0152	0	0	1	0
GENE0153	1	0	1	1
GENE0154	1	0	1	1
GENE0155	0	0	0	0
GENE0156	0	0	0	0
GENE0157	1	0	1	1
GENE0158	0	0	0	0
GENE0159	1	0	0	0
GENE0160	0	1	1	0
GENE0161	0	1	0	0
GENE0162	1	0	0	1
GENE0163	1	0	1	0
GENE0164	1	0	0	1
GENE0165	0	0	1	1
GENE0166	1	1	1	0
GENE0167	1	0	1	0
GENE0168	0	0	0	0
GENE0169	1	0	0	0
GENE0170	1	0	1	1
GENE0171	0	1	0	0
GENE0172	0	0	0	0
GENE0173	0	0	0	0
GENE0174	1	1	0	0
GENE0175	0	1	0	1
GENE0176	0	0	0	1
GENE0177	0	0	1	0
GENE0178	1	0	1	0
GENE0179	0	1	0	0
GENE0180	0	1	1	0
GENE0181	0	0	0	0
GENE0182	1	0	1	1
GENE0183	0	0	0	0
GENE0184	0	1	0	1
GENE0185	0	0	0	0
GENE0186	0	0	1	0
GENE0187	1	0	1	1
GENE0188	0	1	0	0
GENE0189	0	1	0	0
GENE0190	0	0	0	0
GENE0191	1	1	0	0
GENE0192	0	0	1	1
GENE0193	0	0	0	0
GENE0194	1	0	1	0
