gene,log2_fold_change,p_value,adjusted_p_value,gene_class,label
GENE0001,1.7005,0.05437,0.27185,metabolic,
GENE0002,5.2102,0.0030486,0.015243,immune,
GENE0003,2.2378,0.024846,0.12423,other,
GENE0004,3.7089,0.018931,0.094653,other,
GENE0005,2.8601,0.0035238,0.017619,metabolic,
GENE0006,2.7063,0.023417,0.11708,immune,
GENE0007,4.1131,0.011406,0.05703,other,
GENE0008,1.7539,0.15876,0.79382,other,
GENE0009,2.906,0.044327,0.22163,other,
GENE0010,2.7901,0.029126,0.14563,other,
GENE0011,4.0877,0.012886,0.06443,metabolic,
GENE0012,1.9522,0.098119,0.49059,other,
GENE0013,1.3608,0.020729,0.10364,other,
GENE0014,3.4914,0.015698,0.078488,metabolic,
GENE0015,2.4517,0.04316,0.2158,other,
GENE0016,5.3646,0.001868,0.0093398,metabolic,
GENE0017,2.266,0.089029,0.44515,other,
GENE0018,4.9407,0.0051852,0.025926,metabolic,
GENE0019,3.3126,0.0097967,0.048983,metabolic,GENE0019
GENE0020,3.021,0.019533,0.097666,other,
GENE0021,1.0189,0.34944,1.0,immune,
GENE0022,3.028,0.024726,0.12363,other,
GENE0023,2.4338,0.071276,0.35638,other,
GENE0024,3.0366,0.029889,0.14945,other,
GENE0025,3.8382,0.011434,0.05717,immune,
GENE0026,2.6492,0.012793,0.063963,other,
GENE0027,2.6953,0.0089252,0.044626,metabolic,GENE0027
GENE0028,2.7261,0.016615,0.083074,other,
GENE0029,3.7013,0.013861,0.069306,other,
GENE0030,5.2762,0.0045772,0.022886,other,GENE0030
GENE0031,3.0073,0.011532,0.057661,immune,
GENE0032,4.482,0.0052206,0.026103,other,GENE0032
GENE0033,0.5907,0.12097,0.60487,metabolic,
GENE0034,2.8244,0.022181,0.11091,immune,
GENE0035,3.1577,0.036242,0.18121,other,
GENE0036,4.1756,0.0080814,0.040407,other,GENE0036
GENE0037,2.1995,0.10007,0.50037,other,
GENE0038,2.4309,0.025705,0.12852,other,
GENE0039,3.4579,0.014036,0.070182,other,
GENE0040,5.194,0.00064135,0.0032068,other,
GENE0041,-4.9219,0.0017787,0.0088933,metabolic,GENE0041
GENE0042,-3.4077,0.028556,0.14278,other,
GENE0043,-1.5469,0.097805,0.48902,other,
GENE0044,-0.9673,0.10413,0.52063,other,
GENE0045,-0.1381,0.43597,1.0,other,
GENE0046,-2.1232,0.035534,0.17767,other,
GENE0047,-2.6925,0.036674,0.18337,immune,
GENE0048,-2.0107,0.086053,0.43026,other,
GENE0049,-4.2087,0.010078,0.050389,metabolic,
GENE0050,-2.6904,0.0077392,0.038696,other,GENE0050
GENE0051,-2.7158,0.059281,0.2964,other,
GENE0052,-0.1494,0.27142,1.0,immune,
GENE0053,-0.837,0.31827,1.0,other,
GENE0054,-4.2099,0.0095192,0.047596,immune,
GENE0055,-2.3101,0.020519,0.1026,other,
GENE0056,-2.6837,0.064293,0.32146,other,
GENE0057,-1.9746,0.036575,0.18287,other,
GENE0058,-2.7897,0.033829,0.16915,other,
GENE0059,-3.7299,0.010167,0.050833,other,
GENE0060,0.3239,0.020821,0.1041,other,
GENE0061,-3.8805,0.014714,0.073568,other,
GENE0062,-5.0982,0.0046146,0.023073,metabolic,
GENE0063,0.2088,0.26367,1.0,other,
GENE0064,-2.4311,0.016582,0.082909,metabolic,
GENE0065,-3.1478,0.010755,0.053775,immune,
GENE0066,-3.1714,0.0054137,0.027069,other,GENE0066
GENE0067,-3.5914,0.0189,0.094499,metabolic,
GENE0068,-2.0895,0.10241,0.51207,other,
GENE0069,-4.5846,0.0043346,0.021673,other,
GENE0070,-5.5098,0.00077916,0.0038958,other,
GENE0071,-1.1466,0.15275,0.76377,immune,
GENE0072,-1.1548,0.28297,1.0,other,
GENE0073,-2.6968,0.015773,0.078867,immune,
GENE0074,-3.3201,0.027495,0.13748,metabolic,
GENE0075,-0.6519,0.011936,0.059682,other,
GENE0076,-1.0252,0.1384,0.69201,other,
GENE0077,-2.9619,0.039447,0.19724,other,
GENE0078,-3.2433,0.019795,0.098974,metabolic,
GENE0079,-3.104,0.0093476,0.046738,immune,
GENE0080,-4.0699,0.01318,0.065899,other,
GENE0081,-0.2213,0.37475,1.0,immune,
GENE0082,-0.382,0.54925,1.0,immune,
GENE0083,-1.0747,0.19464,0.97321,other,
GENE0084,0.8996,0.14715,0.73577,other,
GENE0085,-1.0213,0.2111,1.0,other,
GENE0086,-0.2924,0.052704,0.26352,metabolic,
GENE0087,0.7491,0.15113,0.75567,other,
GENE0088,0.2006,0.63179,1.0,other,
GENE0089,1.1913,0.033969,0.16985,immune,
GENE0090,1.4996,0.056605,0.28303,metabolic,
GENE0091,1.8561,0.13554,0.67769,metabolic,
GENE0092,0.2341,0.39905,1.0,immune,
GENE0093,-0.2793,0.6395,1.0,other,
GENE0094,-0.184,0.65477,1.0,immune,
GENE0095,-0.4469,0.31565,1.0,other,
GENE0096,-0.9107,0.22281,1.0,immune,
GENE0097,1.8328,0.0045241,0.02262,other,
GENE0098,0.5741,0.23631,1.0,other,
GENE0099,1.5046,0.17003,0.85017,other,
GENE0100,1.6974,0.13049,0.65245,immune,
GENE0101,-0.4184,0.63853,1.0,metabolic,
GENE0102,-0.1339,0.16344,0.81718,other,
GENE0103,-1.0915,0.087502,0.43751,immune,
GENE0104,-0.0281,0.63123,1.0,metabolic,
GENE0105,-0.8355,0.093053,0.46526,immune,
