feature_id	feature_name	logFC	AveExpr	P.Value	adj.P.Val
FEAT00000	Feature0	1.7686954266991703	7.126545196157593	0.00022045076319959913	0.002543662652303067
FEAT00001	Feature1	2.2342143840832875	7.458635362659628	3.4203044793189236e-05	0.0007348436811199791
FEAT00002	Feature2	1.8045595554619709	6.461068677130818	0.00028124851082942694	0.002909467353407865
FEAT00003	Feature3	2.595133100970787	5.895647637559931	7.310094835357582e-05	0.0010965142253036373
FEAT00004	Feature4	3.0864824425134936	6.508391069133403	3.3210975227058986e-06	0.0004981646284058848
FEAT00005	Feature5	1.2012479328751242	4.7897326496601105	0.016015358742934686	0.12011519057201014
FEAT00006	Feature6	1.866985274982608	7.181990223023522	0.0004230464328954455	0.0039660603083948014
FEAT00007	Feature7	1.9071398771087473	9.950791402693849	3.079481916174619e-05	0.0007348436811199791
FEAT00008	Feature8	1.754325072200512	5.819579729085639	0.00032790945908983996	0.0032790945908983994
FEAT00009	Feature9	2.3386392574481984	6.075384994986936	0.0005206385050701228	0.004733077318819298
FEAT00010	Feature10	1.683390349445511	7.71276529456879	0.0009763295710240319	0.0081360797585336
FEAT00011	Feature11	2.025697629119059	7.465263413727222	2.8210476659798782e-05	0.0007348436811199791
FEAT00012	Feature12	1.8412784412884475	7.202601172583872	7.101412191039485e-05	0.0010965142253036373
FEAT00013	Feature13	2.524760912676847	5.187543911797149	4.371399197173628e-05	0.0008196373494700552
FEAT00014	Feature14	1.8917581583983987	6.642259417092805	0.0010443185380324402	0.008467447605668435
FEAT00015	Feature15	1.851156016800263	8.445366651676188	0.0003519238155107307	0.0034057143436522323
FEAT00016	Feature16	2.6086009831044947	4.2435907541862115	0.00027586862016744726	0.002909467353407865
FEAT00017	Feature17	2.2603665664711814	5.937988867408758	1.702008631676784e-05	0.0007348436811199791
FEAT00018	Feature18	2.8860391392031244	3.5954142155494773	8.071287688071985e-06	0.0004991502340137745
FEAT00019	Feature19	1.6589676979238637	4.027230297517812	8.064627946759392e-05	0.0011520897066799132
FEAT00020	Feature20	-1.9758822907346696	1.159589399345086	7.0651827155829e-07	0.000211955481467487
FEAT00021	Feature21	-2.3578296510493044	4.251949045800658	7.26718717960217e-06	0.0004991502340137745
FEAT00022	Feature22	-2.836938487810741	2.2109678101083525	5.6838629605495445e-05	0.0010030346400969785
FEAT00023	Feature23	-2.714208244553355	5.2843551856291775	3.173959443466663e-05	0.0007348436811199791
FEAT00024	Feature24	-1.7594425809216343	5.574137793370202	2.4668947865860974e-05	0.0007348436811199791
FEAT00025	Feature25	-1.7128614152682764	4.482875738544273	0.0007817613084215511	0.006897893897837216
FEAT00026	Feature26	-1.8920607973366763	-0.19962749664511334	0.000934572102325547	0.008010618019933259
FEAT00027	Feature27	-2.107660264206934	4.07643419352591	6.612976386026102e-05	0.0010965142253036373
FEAT00028	Feature28	-2.803382829868517	4.455895838187195	8.31917056689624e-06	0.0004991502340137745
FEAT00029	Feature29	-1.9794894629488056	5.269300875085655	3.864654671964026e-05	0.0007729309343928051
FEAT00030	Feature30	-2.3064905057653657	2.315777787043805	0.00012695417128438368	0.001586927141054796
FEAT00031	Feature31	-2.4431128123087533	3.4675829692298734	1.729732364054791e-05	0.0007348436811199791
FEAT00032	Feature32	-1.9052266367090898	2.9530360344455353	0.0018003941454459997	0.013849185734199998
FEAT00033	Feature33	-1.415756088924359	3.975798046143549	0.0011932561498264984	0.009420443288103934
FEAT00034	Feature34	-2.0458002258058636	7.108945500556932	0.0001236373850334786	0.001586927141054796
FEAT00035	Feature35	-2.8272168300985614	2.903930977873079	9.93167371543896e-05	0.0013543191430144036
FEAT00036	Feature36	-1.9330515887218427	4.678176162620182	0.00013824209674050147	0.0016589051608860176
