feature_id	feature_name	bioType	annotationLevel	SAMPLE_01	SAMPLE_02	SAMPLE_03	SAMPLE_04	SAMPLE_05	SAMPLE_06	SAMPLE_07	SAMPLE_08	SAMPLE_09	SAMPLE_10	SAMPLE_11	SAMPLE_12
FEAT00000	Feature0	protein_coding	1	60	92	41	17	32	15	22	131	10	8	40	33
FEAT00001	Feature1	protein_coding	2	70	16	58	159	9	32	1	3	2	14	3	29
FEAT00002	Feature2	protein_coding	2	75	46	2	28	56	71	2	10	5	6	89	6
FEAT00003	Feature3	protein_coding	1	58	208	27	52	70	66	4	22	135	2	67	24
FEAT00004	Feature4	protein_coding	2	25	991	175	11	67	135	15	52	18	51	150	8
FEAT00005	Feature5	protein_coding	1	80	31	72	11	27	46	71	100	3	7	50	1
FEAT00006	Feature6	protein_coding	3	32	53	350	158	38	36	14	170	11	13	33	17
FEAT00007	Feature7	protein_coding	3	46	13	59	32	308	150	19	51	12	88	20	45
FEAT00008	Feature8	protein_coding	1	10	98	6	3	39	17	25	465	6	8	27	40
FEAT00009	Feature9	protein_coding	3	47	45	161	125	14	54	21	5	29	6	78	26
FEAT00010	Feature10	protein_coding	3	68	26	51	4	12	100	1	66	2	58	6	60
FEAT00011	Feature11	protein_coding	1	72	7	346	454	55	41	16	5	94	9	19	7
FEAT00012	Feature12	protein_coding	2	25	10	350	49	233	61	8	13	9	20	12	13
FEAT00013	Feature13	protein_coding	2	9	19	611	24	14	97	144	3	15	8	2	56
FEAT00014	Feature14	protein_coding	2	58	67	21	114	28	49	4	4	130	10	30	19
FEAT00015	Feature15	protein_coding	1	32	30	146	39	49	62	104	52	34	9	3	76
FEAT00016	Feature16	protein_coding	1	233	49	129	180	193	219	11	167	4	67	40	68
FEAT00017	Feature17	protein_coding	3	836	481	12	6	189	15	20	65	2	1	29	21
FEAT00018	Feature18	protein_coding	1	43	64	18	7	48	15	2	41	18	35	5	8
FEAT00019	Feature19	protein_coding	1	15	17	79	20	99	97	342	3	70	18	20	3
FEAT00020	Feature20	protein_coding	3	32	171	54	67	40	303	19	1	8	1	0	10
FEAT00021	Feature21	protein_coding	1	390	64	12	16	293	75	21	19	21	62	44	27
FEAT00022	Feature22	protein_coding	3	14	123	23	279	10	50	20	3	224	155	10	59
FEAT00023	Feature23	protein_coding	3	102	2	86	55	68	13	14	16	106	32	20	171
FEAT00024	Feature24	protein_coding	1	28	35	5	542	232	218	51	23	27	14	15	22
FEAT00025	Feature25	protein_coding	3	500	131	56	27	25	568	41	22	12	4	18	68
FEAT00026	Feature26	protein_coding	2	35	44	44	70	6	43	6	69	7	45	170	13
FEAT00027	Feature27	protein_coding	3	26	79	60	15	115	1013	14	15	5	31	4	4
FEAT00028	Feature28	protein_coding	2	361	17	274	509	87	131	309	15	9	3	21	159
FEAT00029	Feature29	protein_coding	1	231	16	18	30	91	45	27	30	13	19	27	18
FEAT00030	Feature30	protein_coding	2	122	827	138	65	6	104	1	3	66	54	16	2
FEAT00031	Feature31	protein_coding	2	36	23	147	1421	82	20	4	19	16	4	24	4
FEAT00032	Feature32	protein_coding	3	286	267	275	31	124	50	12	12	3	3	61	15
FEAT00033	Feature33	protein_coding	2	82	245	5	20	77	104	12	85	27	4	5	62
FEAT00034	Feature34	protein_coding	2	115	4	398	139	395	35	13	4	700	16	185	8
FEAT00035	Feature35	protein_coding	3	76	6	35	239	10	270	32	5	10	11	19	9
FEAT00036	Feature36	protein_coding	2	19	39	14	10	56	207	2	20	8	5	66	10
FEAT00037	Feature37	protein_coding	3	491	20	104	44	21	137	16	47	19	4	17	22
FEAT00038	Feature38	protein_coding	1	231	17	57	5	150	13	2	18	94	2	4	7
FEAT00039	Feature39	protein_coding	1	12	102	19	22	136	21	37	5	4	2	272	13
FEAT00040	Feature40	protein_coding	2	85	58	75	65	871	14	2	5	3	57	63	5
FEAT00041	Feature41	protein_coding	2	9	37	422	1	126	13	86	4	13	2	5	140
FEAT00042	Feature42	protein_coding	2	190	34	18	4	35	58	18	18	4	18	19	122
FEAT00043	Feature43	protein_coding	3	822	50	21	55	26	21	19	5	47	17	29	16
FEAT00044	Feature44	protein_coding	2	22	16	43	28	84	60	3	22	3	8	13	1
FEAT00045	Feature45	protein_coding	2	68	74	48	33	36	15	14	9	23	4	28	25
FEAT00046	Feature46	protein_coding	3	49	33	131	6	115	85	30	34	8	14	49	37
FEAT00047	Feature47	protein_coding	3	80	7	128	310	248	84	2	75	16	1	34	2
FEAT00048	Feature48	protein_coding	3	10	25	358	36	88	696	187	17	14	3	8	36
FEAT00049	Feature49	protein_coding	3	105	70	243	20	56	168	46	90	35	13	33	5
FEAT00050	Feature50	protein_coding	3	6	136	56	93	6	36	9	6	1	13	71	34
FEAT00051	Feature51	protein_coding	3	26	59	174	1	51	129	52	217	98	31	31	60
FEAT00052	Feature52	protein_coding	1	28	57	214	934	48	56	27	132	19	157	5	15
FEAT00053	Feature53	protein_coding	3	46	181	260	7	17	97	8	2	86	40	40	10
FEAT00054	Feature54	protein_coding	3	254	43	280	17	18	80	8	52	29	6	22	12
FEAT00055	Feature55	protein_coding	2	217	25	33	328	1384	990	22	27	172	17	5	24
FEAT00056	Feature56	protein_coding	1	113	19	6	8	153	21	16	27	48	13	40	6
FEAT00057	Feature57	protein_coding	1	36	14	294	58	21	37	15	54	2	5	12	696
FEAT00058	Feature58	protein_coding	3	230	52	163	1074	43	36	110	40	51	10	297	220
FEAT00059	Feature59	protein_coding	1	133	157	4	147	46	111	52	12	2	34	7	13
FEAT00060	Feature60	protein_coding	2	26	37	2	331	86	286	321	21	2	6	4	10
FEAT00061	Feature61	protein_coding	1	67	4	97	7	91	52	13	18	9	9	2	19
FEAT00062	Feature62	protein_coding	3	798	964	383	162	23	454	19	18	13	23	11	18
FEAT00063	Feature63	protein_coding	2	13	36	1468	55	43	127	54	4	15	73	29	24
FEAT00064	Feature64	protein_coding	1	531	23	68	29	485	4	8	10	51	47	142	2
FEAT00065	Feature65	protein_coding	3	172	40	24	128	17	3	12	2	8	34	31	185
FEAT00066	Feature66	protein_coding	1	46	7	21	17	11	111	8	1	53	17	33	23
FEAT00067	Feature67	protein_coding	3	146	64	340	109	104	107	3	16	14	27	3	198
FEAT00068	Feature68	protein_coding	2	70	11	6	41	53	22	23	8	43	7	19	79
FEAT00069	Feature69	protein_coding	3	2206	15	31	19	181	12	10	19	5	5	10	1
FEAT00070	Feature70	protein_coding	1	8	34	74	46	5	31	61	44	18	6	49	9
FEAT00071	Feature71	protein_coding	1	12	20	458	82	305	31	75	9	16	653	59	10
FEAT00072	Feature72	protein_coding	1	54	95	328	30	5	41	21	23	127	31	63	4
FEAT00073	Feature73	protein_coding	2	203	1134	178	86	75	736	5	17	38	57	11	31
FEAT00074	Feature74	protein_coding	3	41	71	50	12	59	206	5	14	51	4	26	5
FEAT00075	Feature75	protein_coding	1	295	1535	1022	44	170	71	23	175	3	88	19	144
FEAT00076	Feature76	protein_coding	3	78	23	89	169	63	119	10	1	71	53	25	22
FEAT00077	Feature77	protein_coding	2	257	32	22	46	318	9	107	8	4	117	18	3
FEAT00078	Feature78	protein_coding	1	36	222	320	33	106	164	8	33	19	9	10	22
FEAT00079	Feature79	protein_coding	3	63	27	33	286	81	208	108	46	483	6	62	13
FEAT00080	Feature80	protein_coding	2	810	651	4	16	153	182	56	18	38	50	18	85
FEAT00081	Feature81	protein_coding	3	3	146	14	231	44	17	34	6	6	2	19	40
FEAT00082	Feature82	protein_coding	2	252	49	261	62	53	135	88	12	14	16	23	6
FEAT00083	Feature83	protein_coding	2	254	34	115	19	100	104	11	340	34	242	77	8
FEAT00084	Feature84	protein_coding	1	35	111	66	65	40	5	15	1	34	7	7	15
FEAT00085	Feature85	protein_coding	1	88	8	5	14	3	16	186	5	50	3	31	13
FEAT00086	Feature86	protein_coding	2	55	134	704	79	72	15	45	14	64	19	230	1
FEAT00087	Feature87	protein_coding	3	40	207	37	20	42	9	24	612	100	4	6	11
FEAT00088	Feature88	protein_coding	2	246	19	23	208	202	36	4	2	8	1	57	8
FEAT00089	Feature89	protein_coding	3	118	824	311	12	203	305	7	5	17	2	157	1
FEAT00090	Feature90	protein_coding	3	13	41	44	76	88	45	99	1	20	7	24	27
FEAT00091	Feature91	protein_coding	3	17	25	183	98	23	1048	509	3	31	674	60	27
FEAT00092	Feature92	protein_coding	3	45	28	45	28	171	35	11	4	19	6	16	86
FEAT00093	Feature93	protein_coding	1	101	122	99	65	50	39	58	4	131	21	7	10
FEAT00094	Feature94	protein_coding	1	23	75	22	298	20	3	7	1	19	88	50	3
FEAT00095	Feature95	protein_coding	2	21	727	94	61	264	1868	123	24	33	48	9	5
