treatment_arm	response	count
Arm_B	Non_responder	1
Arm_A	Responder	1
Arm_A	Responder	1
Arm_A	Non_responder	1
Arm_B	Responder	1
Arm_B	Non_responder	1
Arm_B	Non_responder	1
Arm_B	Non_responder	1
Arm_B	Responder	1
Arm_A	Responder	1
Arm_B	Non_responder	1
Arm_B	Responder	1
Arm_B	Non_responder	1
Arm_A	Responder	1
Arm_A	Responder	1
Arm_A	Responder	1
Arm_A	Non_responder	1
Arm_B	Responder	1
Arm_B	Responder	1
Arm_A	Responder	1
Arm_B	Non_responder	1
Arm_A	Responder	1
Arm_B	Non_responder	1
Arm_A	Responder	1
Arm_A	Responder	1
Arm_A	Non_responder	1
Arm_B	Non_responder	1
Arm_A	Non_responder	1
Arm_B	Non_responder	1
Arm_A	Responder	1
Arm_B	Responder	1
Arm_A	Responder	1
Arm_B	Non_responder	1
Arm_A	Responder	1
Arm_B	Responder	1
Arm_A	Responder	1
Arm_B	Responder	1
Arm_A	Responder	1
Arm_A	Non_responder	1
Arm_B	Non_responder	1
Arm_A	Responder	1
Arm_A	Responder	1
Arm_A	Responder	1
Arm_A	Responder	1
Arm_B	Non_responder	1
Arm_A	Non_responder	1
Arm_A	Responder	1
Arm_B	Responder	1
Arm_A	Non_responder	1
Arm_B	Non_responder	1
Arm_A	Responder	1
Arm_B	Non_responder	1
Arm_B	Non_responder	1
Arm_B	Responder	1
Arm_A	Responder	1
Arm_B	Non_responder	1
Arm_B	Responder	1
Arm_A	Non_responder	1
Arm_B	Non_responder	1
Arm_B	Responder	1
