subtype,grade,count
TypeIII,Grade3,1
TypeIII,Grade3,1
TypeI,Grade1,1
TypeIII,Grade3,1
TypeIII,Grade3,1
TypeIII,Grade2,1
TypeI,Grade1,1
TypeIII,Grade3,1
TypeI,Grade1,1
TypeIII,Grade3,1
TypeI,Grade2,1
TypeIII,Grade3,1
TypeII,Grade3,1
TypeII,Grade2,1
TypeII,Grade2,1
TypeI,Grade3,1
TypeII,Grade2,1
TypeI,Grade1,1
TypeI,Grade3,1
TypeIII,Grade3,1
TypeIII,Grade2,1
TypeII,Grade3,1
TypeII,Grade2,1
TypeI,Grade1,1
TypeII,Grade1,1
TypeI,Grade2,1
TypeIII,Grade3,1
TypeI,Grade2,1
TypeII,Grade3,1
TypeII,Grade3,1
TypeI,Grade1,1
TypeIII,Grade2,1
TypeIII,Grade3,1
TypeII,Grade1,1
TypeII,Grade2,1
TypeIII,Grade3,1
TypeI,Grade1,1
TypeIII,Grade3,1
TypeII,Grade1,1
TypeI,Grade2,1
TypeIII,Grade2,1
TypeI,Grade1,1
TypeI,Grade1,1
TypeIII,Grade3,1
TypeII,Grade3,1
TypeIII,Grade2,1
TypeI,Grade2,1
TypeI,Grade1,1
TypeIII,Grade3,1
TypeI,Grade3,1
TypeII,Grade2,1
TypeII,Grade1,1
TypeIII,Grade1,1
TypeII,Grade1,1
TypeIII,Grade3,1
TypeIII,Grade3,1
TypeII,Grade2,1
TypeII,Grade2,1
TypeI,Grade1,1
TypeII,Grade2,1
TypeII,Grade1,1
TypeIII,Grade3,1
TypeI,Grade1,1
TypeIII,Grade1,1
TypeI,Grade2,1
TypeI,Grade1,1
TypeIII,Grade2,1
TypeII,Grade2,1
TypeI,Grade1,1
TypeIII,Grade2,1
TypeII,Grade3,1
TypeII,Grade3,1
TypeI,Grade1,1
TypeIII,Grade1,1
TypeI,Grade1,1
TypeIII,Grade3,1
TypeII,Grade2,1
TypeIII,Grade1,1
TypeII,Grade3,1
TypeII,Grade3,1
TypeII,Grade2,1
TypeII,Grade1,1
TypeIII,Grade2,1
TypeII,Grade1,1
TypeIII,Grade2,1
TypeIII,Grade2,1
TypeI,Grade2,1
TypeI,Grade2,1
TypeI,Grade1,1
TypeIII,Grade3,1
TypeI,Grade2,1
TypeIII,Grade1,1
TypeIII,Grade3,1
TypeI,Grade1,1
TypeII,Grade2,1
TypeII,Grade2,1
TypeII,Grade2,1
TypeIII,Grade2,1
TypeII,Grade2,1
TypeI,Grade2,1
TypeI,Grade3,1
