dose,supplement,tooth_length
0.5,VC,9.62
0.5,VC,9.17
0.5,VC,6.39
0.5,VC,5.05
0.5,VC,7.64
0.5,VC,11.01
0.5,VC,11.33
0.5,VC,10.27
0.5,VC,8.87
0.5,VC,12.0
0.5,OJ,16.08
0.5,OJ,12.45
0.5,OJ,10.35
0.5,OJ,12.09
0.5,OJ,11.95
0.5,OJ,14.72
0.5,OJ,8.25
0.5,OJ,12.52
0.5,OJ,17.18
0.5,OJ,10.7
1.0,VC,14.6
1.0,VC,16.29
1.0,VC,12.96
1.0,VC,16.18
1.0,VC,16.46
1.0,VC,16.49
1.0,VC,14.03
1.0,VC,15.59
1.0,VC,18.13
1.0,VC,14.71
1.0,OJ,23.37
1.0,OJ,23.64
1.0,OJ,18.43
1.0,OJ,20.39
1.0,OJ,23.64
1.0,OJ,23.23
1.0,OJ,22.45
1.0,OJ,21.13
1.0,OJ,22.27
1.0,OJ,26.69
2.0,VC,25.45
2.0,VC,27.45
2.0,VC,24.96
2.0,VC,25.5
2.0,VC,27.62
2.0,VC,23.68
2.0,VC,25.39
2.0,VC,24.47
2.0,VC,23.85
2.0,VC,26.44
2.0,OJ,29.6
2.0,OJ,27.05
2.0,OJ,25.55
2.0,OJ,22.87
2.0,OJ,28.55
2.0,OJ,27.03
2.0,OJ,24.92
2.0,OJ,28.65
2.0,OJ,30.44
2.0,OJ,22.42
