dose_group	measurement
Low	4.648
Low	4.469
Low	3.357
Low	2.822
Low	3.855
Low	5.203
Low	5.334
Low	4.908
Low	4.347
Low	5.6
Low	5.233
Low	3.78
Low	2.938
Low	3.635
Low	3.58
Low	4.688
Medium	3.301
Medium	5.009
Medium	6.871
Medium	4.28
Medium	4.442
Medium	5.116
Medium	3.782
Medium	5.07
Medium	5.184
Medium	5.195
Medium	4.211
Medium	4.834
Medium	5.854
Medium	4.485
Medium	5.747
Medium	5.856
High	5.373
High	6.155
High	7.455
High	7.293
High	6.979
High	6.451
High	6.909
High	8.675
High	6.579
High	7.38
High	6.383
High	6.602
High	7.448
High	5.871
High	6.558
High	6.19
