biomarker	outcome
7.918	10.403
5.809	7.425
4.149	7.295
9.47	15.596
1.427	4.111
4.641	6.882
5.987	6.573
5.407	9.962
7.909	11.87
7.32	9.647
3.61	7.883
1.481	6.611
7.481	8.04
9.736	14.746
9.536	14.966
7.922	12.551
0.476	5.454
1.894	5.399
5.978	7.548
0.08	8.937
7.082	10.761
3.549	8.927
0.408	6.028
1.531	5.424
2.404	1.649
0.227	-0.795
5.011	6.794
6.264	9.578
0.945	0.634
1.534	2.154
9.245	12.292
6.736	9.228
1.697	4.376
2.49	5.119
0.032	1.969
8.483	11.068
4.071	5.387
2.361	1.393
6.719	12.345
8.962	13.106
9.644	14.238
2.974	2.478
2.492	6.343
5.359	8.272
4.398	9.021
3.418	4.867
8.851	14.419
0.865	5.629
7.901	11.176
2.698	4.69
