group,subject,response
Control,C1,5.713
Control,C2,5.516
Control,C3,4.293
Control,C4,3.704
Control,C5,4.841
Control,C6,6.324
Control,C7,6.467
Control,C8,5.999
Control,C9,5.381
Control,C10,6.76
Control,C11,6.356
Control,C12,4.758
Control,C13,3.832
Control,C14,4.599
Control,C15,4.538
Control,C16,5.756
Control,C17,2.911
Control,C18,4.789
Treated,T1,8.238
Treated,T2,5.388
Treated,T3,5.566
Treated,T4,6.307
Treated,T5,4.84
Treated,T6,6.257
Treated,T7,6.383
Treated,T8,6.395
Treated,T9,5.313
Treated,T10,5.998
Treated,T11,7.119
Treated,T12,5.614
Treated,T13,7.002
Treated,T14,7.121
Treated,T15,4.83
Treated,T16,5.69
Treated,T17,7.121
Treated,T18,6.943
