genotype,treatment,expression
WT,Vehicle,1.117
WT,Vehicle,1.084
WT,Vehicle,0.884
WT,Vehicle,0.788
WT,Vehicle,0.974
WT,Vehicle,1.217
WT,Vehicle,1.24
WT,Vehicle,1.163
WT,Drug,1.962
WT,Drug,2.188
WT,Drug,2.122
WT,Drug,1.86
WT,Drug,1.709
WT,Drug,1.834
WT,Drug,1.824
WT,Drug,2.024
KO,Vehicle,0.558
KO,Vehicle,0.866
KO,Vehicle,1.201
KO,Vehicle,0.734
KO,Vehicle,0.763
KO,Vehicle,0.885
KO,Vehicle,0.645
KO,Vehicle,0.877
KO,Drug,1.097
KO,Drug,1.099
KO,Drug,0.922
KO,Drug,1.034
KO,Drug,1.218
KO,Drug,0.971
KO,Drug,1.198
KO,Drug,1.218
