group,journal_family,field,kind,n,median,q1,q3,mode_or_min,share_or_max
all_quantitative,Nature,typeset_width_mm,numeric,401,173.32,158.3,182.83,83.61,192.4
all_quantitative,Nature,smallest_cluster_pt,numeric,398,5.03,4.36,5.53,2.01,7.04
all_quantitative,Nature,dominant_cluster_pt,numeric,398,5.69,5.36,6.03,2.18,9.04
all_quantitative,Nature,largest_cluster_pt,numeric,398,6.53,6.03,7.04,5.02,21.77
all_quantitative,Nature,stroke_pt_inferred,numeric,231,2.88,1.92,4.08,0.24,9.96
all_quantitative,Cell,coloured_fraction,numeric,605,0.051,0.03,0.083,0.0,0.405
all_quantitative,Nature,coloured_fraction,numeric,462,0.078,0.049,0.138,0.0,0.415
all_quantitative,Science,coloured_fraction,numeric,569,0.045,0.024,0.084,0.0,0.348
all_quantitative,Cell,n_hue_clusters,numeric,605,3.0,2.0,4.0,0.0,7.0
all_quantitative,Nature,n_hue_clusters,numeric,462,3.0,2.0,4.0,0.0,7.0
all_quantitative,Science,n_hue_clusters,numeric,569,3.0,2.0,4.0,1.0,7.0
all_quantitative,Cell,mean_saturation,numeric,605,0.57,0.491,0.673,0.0,0.956
all_quantitative,Nature,mean_saturation,numeric,462,0.677,0.565,0.754,0.0,0.896
all_quantitative,Science,mean_saturation,numeric,569,0.594,0.51,0.696,0.333,0.973
all_quantitative,Cell,figure_aspect,numeric,605,0.877,0.774,1.132,0.539,4.36
all_quantitative,Nature,figure_aspect,numeric,462,1.075,0.841,1.397,0.614,3.614
all_quantitative,Science,figure_aspect,numeric,569,0.901,0.783,1.182,0.398,4.372
all_quantitative,Cell,n_panels_detected,numeric,605,6.0,1.0,9.0,1.0,18.0
all_quantitative,Nature,n_panels_detected,numeric,462,6.0,1.0,9.0,1.0,22.0
all_quantitative,Science,n_panels_detected,numeric,569,4.0,1.0,8.0,1.0,14.0
all_quantitative,Cell,legend_entries,numeric,315,2.0,2.0,4.0,1.0,16.0
all_quantitative,Nature,legend_entries,numeric,234,3.0,2.0,5.0,1.0,19.0
all_quantitative,Science,legend_entries,numeric,248,3.0,2.0,4.0,1.0,20.0
all_quantitative,Cell,n_categorical_colours,numeric,603,2.0,1.0,3.0,0.0,16.0
all_quantitative,Nature,n_categorical_colours,numeric,538,2.0,1.0,4.0,0.0,20.0
all_quantitative,Science,n_categorical_colours,numeric,559,2.0,2.0,4.0,0.0,20.0
all_quantitative,Cell,spines,categorical,600,,,,LB,0.625
all_quantitative,Nature,spines,categorical,536,,,,LB,0.604
all_quantitative,Science,spines,categorical,558,,,,LB,0.722
all_quantitative,Cell,tick_direction,categorical,583,,,,out,0.804
all_quantitative,Nature,tick_direction,categorical,386,,,,out,0.705
all_quantitative,Science,tick_direction,categorical,554,,,,out,0.854
all_quantitative,Cell,grid,categorical,602,,,,none,0.957
all_quantitative,Nature,grid,categorical,536,,,,none,0.961
all_quantitative,Science,grid,categorical,559,,,,none,0.937
all_quantitative,Cell,background,categorical,603,,,,white,0.985
all_quantitative,Nature,background,categorical,538,,,,white,0.991
all_quantitative,Science,background,categorical,559,,,,white,0.989
all_quantitative,Cell,error_bar_style,categorical,499,,,,none,0.413
all_quantitative,Nature,error_bar_style,categorical,425,,,,none,0.593
all_quantitative,Science,error_bar_style,categorical,526,,,,none,0.47
all_quantitative,Cell,points_overlaid,categorical,288,,,,yes,0.646
all_quantitative,Nature,points_overlaid,categorical,246,,,,no,0.63
all_quantitative,Science,points_overlaid,categorical,250,,,,yes,0.776
all_quantitative,Cell,marker_fill,categorical,368,,,,filled,0.826
all_quantitative,Nature,marker_fill,categorical,262,,,,filled,0.79
all_quantitative,Science,marker_fill,categorical,365,,,,filled,0.737
all_quantitative,Cell,marker_size_class,categorical,368,,,,small,0.679
all_quantitative,Nature,marker_size_class,categorical,262,,,,small,0.74
all_quantitative,Science,marker_size_class,categorical,368,,,,small,0.812
all_quantitative,Cell,line_weight_class,categorical,95,,,,regular,0.568
all_quantitative,Nature,line_weight_class,categorical,131,,,,regular,0.847
all_quantitative,Science,line_weight_class,categorical,182,,,,regular,0.824
all_quantitative,Cell,axis_line_weight_class,categorical,85,,,,regular,0.812
all_quantitative,Nature,axis_line_weight_class,categorical,21,,,,regular,0.857
all_quantitative,Science,axis_line_weight_class,categorical,219,,,,regular,1.0
all_quantitative,Cell,legend_position,categorical,586,,,,none,0.459
all_quantitative,Nature,legend_position,categorical,532,,,,none,0.506
all_quantitative,Science,legend_position,categorical,559,,,,none,0.521
all_quantitative,Cell,legend_frame,categorical,312,,,,no,0.946
all_quantitative,Nature,legend_frame,categorical,304,,,,no,0.957
all_quantitative,Science,legend_frame,categorical,268,,,,no,0.858
all_quantitative,Cell,palette_class,categorical,603,,,,saturated,0.318
all_quantitative,Nature,palette_class,categorical,538,,,,saturated,0.387
all_quantitative,Science,palette_class,categorical,559,,,,mixed,0.403
all_quantitative,Cell,sequential_cmap_class,categorical,80,,,,other,0.487
all_quantitative,Nature,sequential_cmap_class,categorical,87,,,,other,0.425
all_quantitative,Science,sequential_cmap_class,categorical,43,,,,other,0.442
all_quantitative,Cell,colourbar_position,categorical,84,,,,right,0.417
all_quantitative,Nature,colourbar_position,categorical,90,,,,right,0.644
all_quantitative,Science,colourbar_position,categorical,39,,,,right,0.513
all_quantitative,Cell,panel_label_case,categorical,603,,,,upper,0.987
all_quantitative,Nature,panel_label_case,categorical,538,,,,lower,0.877
all_quantitative,Science,panel_label_case,categorical,559,,,,upper,0.998
all_quantitative,Cell,panel_label_weight,categorical,595,,,,bold,1.0
all_quantitative,Nature,panel_label_weight,categorical,522,,,,bold,0.973
all_quantitative,Science,panel_label_weight,categorical,558,,,,bold,1.0
all_quantitative,Cell,panel_label_size_class,categorical,595,,,,larger,0.943
all_quantitative,Nature,panel_label_size_class,categorical,522,,,,larger,0.833
all_quantitative,Science,panel_label_size_class,categorical,558,,,,much_larger,0.971
all_quantitative,Cell,font_class,categorical,603,,,,sans,1.0
all_quantitative,Nature,font_class,categorical,538,,,,sans,0.989
all_quantitative,Science,font_class,categorical,559,,,,sans,1.0
all_quantitative,Cell,axis_label_weight,categorical,603,,,,regular,0.934
all_quantitative,Nature,axis_label_weight,categorical,538,,,,regular,0.901
all_quantitative,Science,axis_label_weight,categorical,559,,,,regular,0.93
all_quantitative,Cell,title_present,categorical,603,,,,no,0.557
all_quantitative,Nature,title_present,categorical,538,,,,no,0.697
all_quantitative,Science,title_present,categorical,559,,,,no,0.61
all_quantitative,Cell,significance_style,categorical,546,,,,none,0.5
all_quantitative,Nature,significance_style,categorical,407,,,,none,0.683
all_quantitative,Science,significance_style,categorical,559,,,,none,0.496
all_quantitative,Cell,brackets,categorical,541,,,,no,0.68
all_quantitative,Nature,brackets,categorical,404,,,,no,0.837
all_quantitative,Science,brackets,categorical,455,,,,no,0.585
all_quantitative,Cell,n_stated_in_panel,categorical,603,,,,no,0.909
all_quantitative,Nature,n_stated_in_panel,categorical,538,,,,no,0.903
