paper_id,journal,journal_family,year,figure_number,image_path,route,image_width_px,image_height_px,figure_aspect,typeset_width_mm,width_evidence,width_assumption,n_panels_detected,n_text_lines,text_size_clusters_pt,smallest_cluster_pt,dominant_cluster_pt,largest_cluster_pt,text_evidence,stroke_pt_inferred,line_widths_pt_observed,coloured_fraction,n_hue_clusters,mean_saturation,dark_fraction,license_url
PMC10028007,Cell Metabolism,Cell,2023,1,PRIVATE_REFERENCE_ONLY/corpus/PMC10028007/figures/Fig1.jpg,web_jpeg,673,812,0.829,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",15,197,"[{""pt"": 2.0, ""n_lines"": 27}, {""pt"": 3.0, ""n_lines"": 158}]",2.0,3.0,3.0,ESTIMATED,,,0.0315,2,0.918,0.2226,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC10028007,Cell Metabolism,Cell,2023,2,PRIVATE_REFERENCE_ONLY/corpus/PMC10028007/figures/Fig2.jpg,web_jpeg,746,559,1.335,174.0,ESTIMATED,"assumed full width 174.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect > 1.25",10,132,"[{""pt"": 6.46, ""n_lines"": 119}]",6.46,6.46,6.46,ESTIMATED,,,0.0056,1,0.501,0.063,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC10028007,Cell Metabolism,Cell,2023,3,PRIVATE_REFERENCE_ONLY/corpus/PMC10028007/figures/Fig3.gif,web_jpeg,100,127,0.787,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,0,[],,,,ESTIMATED,,,0.0534,4,0.617,0.0987,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC10028007,Cell Metabolism,Cell,2023,4,PRIVATE_REFERENCE_ONLY/corpus/PMC10028007/figures/Fig4.jpg,web_jpeg,747,710,1.052,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",18,168,"[{""pt"": 2.25, ""n_lines"": 42}, {""pt"": 3.15, ""n_lines"": 123}]",2.25,3.15,3.15,ESTIMATED,3.55,,0.0473,3,0.63,0.1705,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC10028007,Cell Metabolism,Cell,2023,5,PRIVATE_REFERENCE_ONLY/corpus/PMC10028007/figures/Fig5.jpg,web_jpeg,749,854,0.877,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",10,216,"[{""pt"": 2.7, ""n_lines"": 190}]",2.7,2.7,2.7,ESTIMATED,4.18,,0.0565,2,0.663,0.1645,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC10028007,Cell Metabolism,Cell,2023,6,PRIVATE_REFERENCE_ONLY/corpus/PMC10028007/figures/Fig6.jpg,web_jpeg,790,1189,0.664,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",13,38,"[{""pt"": 2.56, ""n_lines"": 11}, {""pt"": 3.83, ""n_lines"": 23}]",2.56,3.83,3.83,ESTIMATED,,,0.1133,6,0.779,0.5605,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC10028007,Cell Metabolism,Cell,2023,7,PRIVATE_REFERENCE_ONLY/corpus/PMC10028007/figures/Fig7.gif,web_jpeg,100,136,0.735,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,0,[],,,,ESTIMATED,,,0.0515,3,0.6,0.1462,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC10171335,Cancer Cell,Cell,2023,1,PRIVATE_REFERENCE_ONLY/corpus/PMC10171335/figures/Fig1.jpg,web_jpeg,722,925,0.781,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",7,218,"[{""pt"": 2.33, ""n_lines"": 23}, {""pt"": 3.26, ""n_lines"": 61}, {""pt"": 4.19, ""n_lines"": 67}, {""pt"": 5.13, ""n_lines"": 33}]",2.33,4.19,5.13,ESTIMATED,,,0.1885,4,0.558,0.0581,http://creativecommons.org/licenses/by/4.0/
PMC10171335,Cancer Cell,Cell,2023,2,PRIVATE_REFERENCE_ONLY/corpus/PMC10171335/figures/Fig2.gif,web_jpeg,100,140,0.714,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,0,[],,,,ESTIMATED,,,0.1064,6,0.458,0.0112,http://creativecommons.org/licenses/by/4.0/
PMC10171335,Cancer Cell,Cell,2023,3,PRIVATE_REFERENCE_ONLY/corpus/PMC10171335/figures/Fig3.jpg,web_jpeg,729,999,0.73,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",5,198,"[{""pt"": 3.69, ""n_lines"": 145}, {""pt"": 4.62, ""n_lines"": 21}]",3.69,3.69,4.62,ESTIMATED,0.66,,0.0869,4,0.598,0.1214,http://creativecommons.org/licenses/by/4.0/
PMC10171335,Cancer Cell,Cell,2023,4,PRIVATE_REFERENCE_ONLY/corpus/PMC10171335/figures/Fig4.jpg,web_jpeg,794,1190,0.667,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",9,273,"[{""pt"": 2.12, ""n_lines"": 68}, {""pt"": 2.97, ""n_lines"": 100}, {""pt"": 3.81, ""n_lines"": 60}]",2.12,2.97,3.81,ESTIMATED,,,0.0749,3,0.746,0.0803,http://creativecommons.org/licenses/by/4.0/
PMC10171335,Cancer Cell,Cell,2023,5,PRIVATE_REFERENCE_ONLY/corpus/PMC10171335/figures/Fig5.gif,web_jpeg,100,132,0.758,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,1,[],,,,ESTIMATED,,,0.09,6,0.615,0.3536,http://creativecommons.org/licenses/by/4.0/
PMC10171335,Cancer Cell,Cell,2023,6,PRIVATE_REFERENCE_ONLY/corpus/PMC10171335/figures/Fig6.gif,web_jpeg,100,134,0.746,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",2,0,[],,,,ESTIMATED,,,0.119,3,0.551,0.0027,http://creativecommons.org/licenses/by/4.0/
PMC10171335,Cancer Cell,Cell,2023,7,PRIVATE_REFERENCE_ONLY/corpus/PMC10171335/figures/Fig7.gif,web_jpeg,100,120,0.833,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",2,0,[],,,,ESTIMATED,,,0.0406,4,0.433,0.1472,http://creativecommons.org/licenses/by/4.0/
PMC10206407,Cell Systems,Cell,2023,1,PRIVATE_REFERENCE_ONLY/corpus/PMC10206407/figures/Fig1.jpg,web_jpeg,748,921,0.812,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",7,184,"[{""pt"": 2.7, ""n_lines"": 111}, {""pt"": 3.6, ""n_lines"": 25}]",2.7,2.7,3.6,ESTIMATED,,,0.0469,3,0.671,0.1443,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC10206407,Cell Systems,Cell,2023,2,PRIVATE_REFERENCE_ONLY/corpus/PMC10206407/figures/Fig2.gif,web_jpeg,100,109,0.917,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,0,[],,,,ESTIMATED,,,0.0646,2,0.418,0.0111,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC10206407,Cell Systems,Cell,2023,3,PRIVATE_REFERENCE_ONLY/corpus/PMC10206407/figures/Fig3.jpg,web_jpeg,740,907,0.816,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",6,144,"[{""pt"": 2.27, ""n_lines"": 24}, {""pt"": 3.18, ""n_lines"": 100}]",2.27,3.18,3.18,ESTIMATED,0.33,,0.0438,3,0.45,0.087,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC10206407,Cell Systems,Cell,2023,4,PRIVATE_REFERENCE_ONLY/corpus/PMC10206407/figures/Fig4.jpg,web_jpeg,749,916,0.818,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",13,292,"[{""pt"": 2.25, ""n_lines"": 47}, {""pt"": 3.15, ""n_lines"": 213}]",2.25,3.15,3.15,ESTIMATED,1.61,,0.0605,4,0.568,0.055,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC10206407,Cell Systems,Cell,2023,5,PRIVATE_REFERENCE_ONLY/corpus/PMC10206407/figures/Fig5.gif,web_jpeg,100,105,0.952,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",3,0,[],,,,ESTIMATED,,,0.075,2,0.577,0.0898,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC10206407,Cell Systems,Cell,2023,6,PRIVATE_REFERENCE_ONLY/corpus/PMC10206407/figures/Fig6.gif,web_jpeg,100,94,1.064,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,0,[],,,,ESTIMATED,,,0.0397,6,0.584,0.0024,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC10206407,Cell Systems,Cell,2023,7,PRIVATE_REFERENCE_ONLY/corpus/PMC10206407/figures/Fig7.gif,web_jpeg,102,80,1.275,174.0,ESTIMATED,"assumed full width 174.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect > 1.25",4,0,[],,,,ESTIMATED,,,0.0061,3,0.574,0.0042,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC10432853,Cell Metabolism,Cell,2023,1,PRIVATE_REFERENCE_ONLY/corpus/PMC10432853/figures/Fig1.jpg,web_jpeg,762,1042,0.731,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",14,139,"[{""pt"": 1.77, ""n_lines"": 17}, {""pt"": 2.65, ""n_lines"": 74}, {""pt"": 3.53, ""n_lines"": 36}]",1.77,2.65,3.53,ESTIMATED,3.16,,0.039,3,0.663,0.054,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC10432853,Cell Metabolism,Cell,2023,2,PRIVATE_REFERENCE_ONLY/corpus/PMC10432853/figures/Fig2.gif,web_jpeg,100,142,0.704,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",7,0,[],,,,ESTIMATED,,,0.0668,3,0.547,0.031,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC10432853,Cell Metabolism,Cell,2023,3,PRIVATE_REFERENCE_ONLY/corpus/PMC10432853/figures/Fig3.gif,web_jpeg,100,134,0.746,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",4,0,[],,,,ESTIMATED,,,0.0801,3,0.458,0.0201,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC10432853,Cell Metabolism,Cell,2023,4,PRIVATE_REFERENCE_ONLY/corpus/PMC10432853/figures/Fig4.jpg,web_jpeg,761,1190,0.639,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",13,168,"[{""pt"": 2.65, ""n_lines"": 31}, {""pt"": 3.54, ""n_lines"": 108}]",2.65,3.54,3.54,ESTIMATED,,,0.0432,2,0.801,0.0721,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC10432853,Cell Metabolism,Cell,2023,5,PRIVATE_REFERENCE_ONLY/corpus/PMC10432853/figures/Fig5.jpg,web_jpeg,733,1019,0.719,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",12,158,"[{""pt"": 2.3, ""n_lines"": 23}, {""pt"": 3.21, ""n_lines"": 121}]",2.3,3.21,3.21,ESTIMATED,1.31,,0.0354,2,0.448,0.0427,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC10432853,Cell Metabolism,Cell,2023,6,PRIVATE_REFERENCE_ONLY/corpus/PMC10432853/figures/Fig6.gif,web_jpeg,100,142,0.704,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",4,1,[],,,,ESTIMATED,,,0.0142,3,0.418,0.0408,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC10487638,Cell Metabolism,Cell,2023,1,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig1.jpg,web_jpeg,726,1033,0.703,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,233,"[{""pt"": 1.85, ""n_lines"": 36}, {""pt"": 2.78, ""n_lines"": 165}]",1.85,2.78,2.78,ESTIMATED,,,0.02,7,0.711,0.0513,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC10487638,Cell Metabolism,Cell,2023,2,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig2.jpg,web_jpeg,738,899,0.821,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",5,246,"[{""pt"": 1.82, ""n_lines"": 40}, {""pt"": 2.74, ""n_lines"": 199}]",1.82,2.74,2.74,ESTIMATED,1.63,,0.0085,6,0.67,0.0343,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC10487638,Cell Metabolism,Cell,2023,3,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig3.gif,web_jpeg,100,127,0.787,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",6,0,[],,,,ESTIMATED,,,0.0044,4,0.442,0.0,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC10487638,Cell Metabolism,Cell,2023,4,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig4.jpg,web_jpeg,738,706,1.045,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",13,92,"[{""pt"": 3.19, ""n_lines"": 79}]",3.19,3.19,3.19,ESTIMATED,,,0.0143,3,0.549,0.0342,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC10487638,Cell Metabolism,Cell,2023,5,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig5.jpg,web_jpeg,710,1039,0.683,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",8,127,"[{""pt"": 2.37, ""n_lines"": 18}, {""pt"": 3.32, ""n_lines"": 90}]",2.37,3.32,3.32,ESTIMATED,,,0.0548,2,0.615,0.0488,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC10487638,Cell Metabolism,Cell,2023,6,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig6.jpg,web_jpeg,726,1015,0.715,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",10,263,"[{""pt"": 2.78, ""n_lines"": 217}]",2.78,2.78,2.78,ESTIMATED,,,0.0149,4,0.616,0.0384,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC10487638,Cell Metabolism,Cell,2023,7,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig7.gif,web_jpeg,100,145,0.69,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",3,1,[],,,,ESTIMATED,,,0.0063,2,0.445,0.0034,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC10507381,Cancer Cell,Cell,2023,1,PRIVATE_REFERENCE_ONLY/corpus/PMC10507381/figures/Fig1.jpg,web_jpeg,737,576,1.28,174.0,ESTIMATED,"assumed full width 174.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect > 1.25",8,126,"[{""pt"": 6.54, ""n_lines"": 103}]",6.54,6.54,6.54,ESTIMATED,,,0.0912,4,0.449,0.0779,http://creativecommons.org/licenses/by/4.0/
PMC10507381,Cancer Cell,Cell,2023,2,PRIVATE_REFERENCE_ONLY/corpus/PMC10507381/figures/Fig2.jpg,web_jpeg,747,344,2.172,174.0,ESTIMATED,"assumed full width 174.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect > 1.25",1,1,[],,,,ESTIMATED,,,0.2482,1,0.726,0.0909,http://creativecommons.org/licenses/by/4.0/
PMC10507381,Cancer Cell,Cell,2023,3,PRIVATE_REFERENCE_ONLY/corpus/PMC10507381/figures/Fig3.jpg,web_jpeg,755,787,0.959,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,64,"[{""pt"": 2.23, ""n_lines"": 22}, {""pt"": 3.12, ""n_lines"": 9}, {""pt"": 4.01, ""n_lines"": 16}]",2.23,2.23,4.01,ESTIMATED,3.83,,0.2904,3,0.504,0.1591,http://creativecommons.org/licenses/by/4.0/
PMC10507381,Cancer Cell,Cell,2023,4,PRIVATE_REFERENCE_ONLY/corpus/PMC10507381/figures/Fig4.jpg,web_jpeg,758,386,1.964,174.0,ESTIMATED,"assumed full width 174.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect > 1.25",1,24,"[{""pt"": 2.73, ""n_lines"": 3}, {""pt"": 4.54, ""n_lines"": 10}, {""pt"": 8.18, ""n_lines"": 5}]",2.73,4.54,8.18,ESTIMATED,,,0.069,3,0.471,0.0258,http://creativecommons.org/licenses/by/4.0/
PMC10507381,Cancer Cell,Cell,2023,5,PRIVATE_REFERENCE_ONLY/corpus/PMC10507381/figures/Fig5.jpg,web_jpeg,748,231,3.238,174.0,ESTIMATED,"assumed full width 174.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect > 1.25",15,22,"[{""pt"": 8.29, ""n_lines"": 13}, {""pt"": 17.5, ""n_lines"": 9}]",8.29,8.29,17.5,ESTIMATED,,,0.1106,1,0.468,0.0712,http://creativecommons.org/licenses/by/4.0/
PMC10659931,Molecular Cell,Cell,2023,1,PRIVATE_REFERENCE_ONLY/corpus/PMC10659931/figures/Fig1.jpg,web_jpeg,746,786,0.949,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",8,223,"[{""pt"": 2.26, ""n_lines"": 34}, {""pt"": 3.16, ""n_lines"": 175}]",2.26,3.16,3.16,ESTIMATED,,,0.0139,4,0.544,0.0497,http://creativecommons.org/licenses/by/4.0/
PMC10659931,Molecular Cell,Cell,2023,2,PRIVATE_REFERENCE_ONLY/corpus/PMC10659931/figures/Fig2.gif,web_jpeg,100,98,1.02,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,0,[],,,,ESTIMATED,,,0.0137,3,0.508,0.0377,http://creativecommons.org/licenses/by/4.0/
PMC10659931,Molecular Cell,Cell,2023,3,PRIVATE_REFERENCE_ONLY/corpus/PMC10659931/figures/Fig3.jpg,web_jpeg,746,840,0.888,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",10,181,"[{""pt"": 2.26, ""n_lines"": 41}, {""pt"": 3.16, ""n_lines"": 133}]",2.26,3.16,3.16,ESTIMATED,0.32,,0.0257,5,0.599,0.139,http://creativecommons.org/licenses/by/4.0/
PMC10659931,Molecular Cell,Cell,2023,4,PRIVATE_REFERENCE_ONLY/corpus/PMC10659931/figures/Fig4.jpg,web_jpeg,743,504,1.474,174.0,ESTIMATED,"assumed full width 174.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect > 1.25",6,141,"[{""pt"": 3.71, ""n_lines"": 21}, {""pt"": 6.49, ""n_lines"": 116}]",3.71,6.49,6.49,ESTIMATED,1.33,,0.0147,4,0.561,0.0378,http://creativecommons.org/licenses/by/4.0/
PMC10659931,Molecular Cell,Cell,2023,5,PRIVATE_REFERENCE_ONLY/corpus/PMC10659931/figures/Fig5.gif,web_jpeg,100,84,1.19,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,0,[],,,,ESTIMATED,,,0.0289,3,0.583,0.2332,http://creativecommons.org/licenses/by/4.0/
