journal,paper_id,year,DOI,figure_number,panel,representation,number_of_groups,approximate_n_per_group,raw_points_visible,summary,summary_source,error,error_source,marker_size_relative,marker_edge,marker_fill,jitter_style,bar_width,box_width,palette_type,control_color_behavior,statistical_annotation,p_display,axis_style,legend_style,n_label,zero_baseline,physical_panel_size,confidence_of_measurement,notes,image_path,reviewer,journal_family,n_class
Cancer Cell,PMC11913779,2023,10.1016/j.ccell.2023.06.006,6,C,dot_strip+summary,3x2,~10 each,yes,median,caption,none,none,small,none,filled,centered,na,na,multi_categorical,coloured,none,none,box,none,none,no,small,medium,paired points connected by lines with black median crossbar; two ggplot facets; log y,PRIVATE_REFERENCE_ONLY/corpus/PMC11913779/figures/Fig6.jpg,gc_cell,Cell,small
Cancer Cell,PMC11913779,2023,10.1016/j.ccell.2023.06.006,6,F_top,box,2x2,unknown,no,median,inferred,IQR_whiskers,inferred,na,na,na,na,na,medium,outline_only,white_or_open,p_value_only,exact,box,none,none,yes,small,medium,ggplot facets (PreTx / ICI-4W) with grey strip; white boxes; p as facet text; significant p in bold,PRIVATE_REFERENCE_ONLY/corpus/PMC11913779/figures/Fig6.jpg,gc_cell,Cell,unknown
Cancer Cell,PMC11913779,2023,10.1016/j.ccell.2023.06.006,6,F_bottom,box,2x2,unknown,no,median,inferred,IQR_whiskers,inferred,na,na,na,na,na,medium,outline_only,white_or_open,p_value_only,exact,box,none,none,yes,small,medium,,PRIVATE_REFERENCE_ONLY/corpus/PMC11913779/figures/Fig6.jpg,gc_cell,Cell,unknown
Cell Systems,PMC11922821,2025,10.1016/j.cels.2025.101198,1,E_right,bar+points,2,4/7,yes,mean,caption,SEM,caption,medium,none,filled,jitter,medium,na,single_accent,black,line+p_value,exact,LB,none,in_caption,yes,small,high,negative bar (delta EF); black vs red,PRIVATE_REFERENCE_ONLY/corpus/PMC11922821/figures/Fig1.jpg,gc_cell,Cell,small
Cell Systems,PMC11922821,2025,10.1016/j.cels.2025.101198,1,G,violin+points,6,4-13 each,yes,median,caption,IQR_whiskers,caption,small,none,filled,jitter,na,medium,multi_categorical,grey,bracket+p_value,exact,LB,none,in_caption,yes,small,medium,min-max violins with median and quartile lines; stacked brackets with exact p; rotated labels,PRIVATE_REFERENCE_ONLY/corpus/PMC11922821/figures/Fig1.jpg,gc_cell,Cell,medium
Cell Systems,PMC11922821,2025,10.1016/j.cels.2025.101198,1,N,dot_strip+summary,6,~5-10 each,yes,mean,inferred,SEM,inferred,medium,dark,open,jitter,na,na,monochrome_black,black,bracket+p_value,exact,LB,none,none,yes,small,medium,open black circles with mean line and SEM; flow cytometry time course,PRIVATE_REFERENCE_ONLY/corpus/PMC11922821/figures/Fig1.jpg,gc_cell,Cell,small
Cell Systems,PMC11922821,2025,10.1016/j.cels.2025.101198,1,O,dot_strip+summary,6,~5-10 each,yes,mean,inferred,SEM,inferred,medium,dark,open,jitter,na,na,monochrome_black,black,bracket+p_value,exact,LB,none,none,yes,small,medium,,PRIVATE_REFERENCE_ONLY/corpus/PMC11922821/figures/Fig1.jpg,gc_cell,Cell,small
Cell Systems,PMC11922821,2025,10.1016/j.cels.2025.101198,1,P,dot_strip+summary,6,~5-10 each,yes,mean,inferred,SEM,inferred,medium,dark,open,jitter,na,na,monochrome_black,black,bracket+p_value,exact,LB,none,none,yes,small,medium,,PRIVATE_REFERENCE_ONLY/corpus/PMC11922821/figures/Fig1.jpg,gc_cell,Cell,small
Cell Systems,PMC11922821,2025,10.1016/j.cels.2025.101198,1,Q,dot_strip+summary,6,~5-10 each,yes,mean,inferred,SEM,inferred,medium,dark,open,jitter,na,na,monochrome_black,black,bracket+p_value,exact,LB,none,none,yes,small,medium,,PRIVATE_REFERENCE_ONLY/corpus/PMC11922821/figures/Fig1.jpg,gc_cell,Cell,small
Cell Systems,PMC11922821,2025,10.1016/j.cels.2025.101198,3,B_myeloid,box+points,3,10/6/6,yes,median,inferred,IQR_whiskers,inferred,medium,none,filled,jitter,na,medium,outline_only,white_or_open,bracket+p_value,exact,LB,none,in_caption,yes,small,high,white boxes with black points; three stacked brackets with exact p incl non-significant,PRIVATE_REFERENCE_ONLY/corpus/PMC11922821/figures/Fig3.jpg,gc_cell,Cell,small
Cell Systems,PMC11922821,2025,10.1016/j.cels.2025.101198,3,B_fibroblast,box+points,3,10/6/6,yes,median,inferred,IQR_whiskers,inferred,medium,none,filled,jitter,na,medium,outline_only,white_or_open,bracket+p_value,exact,LB,none,in_caption,yes,small,high,,PRIVATE_REFERENCE_ONLY/corpus/PMC11922821/figures/Fig3.jpg,gc_cell,Cell,small
Cell Systems,PMC11922821,2025,10.1016/j.cels.2025.101198,3,B_myofibroblast,box+points,3,10/6/6,yes,median,inferred,IQR_whiskers,inferred,medium,none,filled,jitter,na,medium,outline_only,white_or_open,bracket+p_value,exact,LB,none,in_caption,yes,small,high,,PRIVATE_REFERENCE_ONLY/corpus/PMC11922821/figures/Fig3.jpg,gc_cell,Cell,small
Cell Systems,PMC11922821,2025,10.1016/j.cels.2025.101198,3,D,bar+points,2,3/4,yes,mean,caption,SD,caption,medium,none,filled,jitter,medium,na,multi_categorical,coloured,line+p_value,ns_text,LB,none,in_caption,yes,small,medium,red saline vs blue rhAgrin; dashed FC=1 line; n.s text,PRIVATE_REFERENCE_ONLY/corpus/PMC11922821/figures/Fig3.jpg,gc_cell,Cell,small
Cell Systems,PMC11922821,2025,10.1016/j.cels.2025.101198,3,E,bar+points,2,3/4,yes,mean,caption,SD,caption,medium,none,filled,jitter,medium,na,multi_categorical,coloured,line+p_value,exact,LB,none,in_caption,yes,small,medium,,PRIVATE_REFERENCE_ONLY/corpus/PMC11922821/figures/Fig3.jpg,gc_cell,Cell,small
