journal,paper_id,year,DOI,figure_number,panel,representation,number_of_groups,approximate_n_per_group,raw_points_visible,summary,summary_source,error,error_source,marker_size_relative,marker_edge,marker_fill,jitter_style,bar_width,box_width,palette_type,control_color_behavior,statistical_annotation,p_display,axis_style,legend_style,n_label,zero_baseline,physical_panel_size,confidence_of_measurement,notes,image_path,reviewer
Cancer Cell,PMC11913779,2023,10.1016/j.ccell.2023.06.006,6,C,dot_strip+summary,3x2,~10 each,yes,median,caption,none,none,small,none,filled,centered,na,na,multi_categorical,coloured,none,none,box,none,none,no,small,medium,paired points connected by lines with black median crossbar; two ggplot facets; log y,PRIVATE_REFERENCE_ONLY/corpus/PMC11913779/figures/Fig6.jpg,gc_cell
Cancer Cell,PMC11913779,2023,10.1016/j.ccell.2023.06.006,6,F_top,box,2x2,unknown,no,median,inferred,IQR_whiskers,inferred,na,na,na,na,na,medium,outline_only,white_or_open,p_value_only,exact,box,none,none,yes,small,medium,ggplot facets (PreTx / ICI-4W) with grey strip; white boxes; p as facet text; significant p in bold,PRIVATE_REFERENCE_ONLY/corpus/PMC11913779/figures/Fig6.jpg,gc_cell
Cancer Cell,PMC11913779,2023,10.1016/j.ccell.2023.06.006,6,F_bottom,box,2x2,unknown,no,median,inferred,IQR_whiskers,inferred,na,na,na,na,na,medium,outline_only,white_or_open,p_value_only,exact,box,none,none,yes,small,medium,,PRIVATE_REFERENCE_ONLY/corpus/PMC11913779/figures/Fig6.jpg,gc_cell
Cell Systems,PMC11922821,2025,10.1016/j.cels.2025.101198,1,E_right,bar+points,2,4/7,yes,mean,caption,SEM,caption,medium,none,filled,jitter,medium,na,single_accent,black,line+p_value,exact,LB,none,in_caption,yes,small,high,negative bar (delta EF); black vs red,PRIVATE_REFERENCE_ONLY/corpus/PMC11922821/figures/Fig1.jpg,gc_cell
Cell Systems,PMC11922821,2025,10.1016/j.cels.2025.101198,1,G,violin+points,6,4-13 each,yes,median,caption,IQR_whiskers,caption,small,none,filled,jitter,na,medium,multi_categorical,grey,bracket+p_value,exact,LB,none,in_caption,yes,small,medium,min-max violins with median and quartile lines; stacked brackets with exact p; rotated labels,PRIVATE_REFERENCE_ONLY/corpus/PMC11922821/figures/Fig1.jpg,gc_cell
Cell Systems,PMC11922821,2025,10.1016/j.cels.2025.101198,1,N,dot_strip+summary,6,~5-10 each,yes,mean,inferred,SEM,inferred,medium,dark,open,jitter,na,na,monochrome_black,black,bracket+p_value,exact,LB,none,none,yes,small,medium,open black circles with mean line and SEM; flow cytometry time course,PRIVATE_REFERENCE_ONLY/corpus/PMC11922821/figures/Fig1.jpg,gc_cell
Cell Systems,PMC11922821,2025,10.1016/j.cels.2025.101198,1,O,dot_strip+summary,6,~5-10 each,yes,mean,inferred,SEM,inferred,medium,dark,open,jitter,na,na,monochrome_black,black,bracket+p_value,exact,LB,none,none,yes,small,medium,,PRIVATE_REFERENCE_ONLY/corpus/PMC11922821/figures/Fig1.jpg,gc_cell
Cell Systems,PMC11922821,2025,10.1016/j.cels.2025.101198,1,P,dot_strip+summary,6,~5-10 each,yes,mean,inferred,SEM,inferred,medium,dark,open,jitter,na,na,monochrome_black,black,bracket+p_value,exact,LB,none,none,yes,small,medium,,PRIVATE_REFERENCE_ONLY/corpus/PMC11922821/figures/Fig1.jpg,gc_cell
Cell Systems,PMC11922821,2025,10.1016/j.cels.2025.101198,1,Q,dot_strip+summary,6,~5-10 each,yes,mean,inferred,SEM,inferred,medium,dark,open,jitter,na,na,monochrome_black,black,bracket+p_value,exact,LB,none,none,yes,small,medium,,PRIVATE_REFERENCE_ONLY/corpus/PMC11922821/figures/Fig1.jpg,gc_cell
Cell Systems,PMC11922821,2025,10.1016/j.cels.2025.101198,3,B_myeloid,box+points,3,10/6/6,yes,median,inferred,IQR_whiskers,inferred,medium,none,filled,jitter,na,medium,outline_only,white_or_open,bracket+p_value,exact,LB,none,in_caption,yes,small,high,white boxes with black points; three stacked brackets with exact p incl non-significant,PRIVATE_REFERENCE_ONLY/corpus/PMC11922821/figures/Fig3.jpg,gc_cell
Cell Systems,PMC11922821,2025,10.1016/j.cels.2025.101198,3,B_fibroblast,box+points,3,10/6/6,yes,median,inferred,IQR_whiskers,inferred,medium,none,filled,jitter,na,medium,outline_only,white_or_open,bracket+p_value,exact,LB,none,in_caption,yes,small,high,,PRIVATE_REFERENCE_ONLY/corpus/PMC11922821/figures/Fig3.jpg,gc_cell
Cell Systems,PMC11922821,2025,10.1016/j.cels.2025.101198,3,B_myofibroblast,box+points,3,10/6/6,yes,median,inferred,IQR_whiskers,inferred,medium,none,filled,jitter,na,medium,outline_only,white_or_open,bracket+p_value,exact,LB,none,in_caption,yes,small,high,,PRIVATE_REFERENCE_ONLY/corpus/PMC11922821/figures/Fig3.jpg,gc_cell
Cell Systems,PMC11922821,2025,10.1016/j.cels.2025.101198,3,D,bar+points,2,3/4,yes,mean,caption,SD,caption,medium,none,filled,jitter,medium,na,multi_categorical,coloured,line+p_value,ns_text,LB,none,in_caption,yes,small,medium,red saline vs blue rhAgrin; dashed FC=1 line; n.s text,PRIVATE_REFERENCE_ONLY/corpus/PMC11922821/figures/Fig3.jpg,gc_cell
Cell Systems,PMC11922821,2025,10.1016/j.cels.2025.101198,3,E,bar+points,2,3/4,yes,mean,caption,SD,caption,medium,none,filled,jitter,medium,na,multi_categorical,coloured,line+p_value,exact,LB,none,in_caption,yes,small,medium,,PRIVATE_REFERENCE_ONLY/corpus/PMC11922821/figures/Fig3.jpg,gc_cell
Cell Systems,PMC11922821,2025,10.1016/j.cels.2025.101198,3,J_myofibroblasts,dot_strip+summary,2x2,3-4 each,yes,mean,caption,SEM,caption,medium,none,filled,jitter,na,na,multi_categorical,coloured,p_value_only,exact,LB,inside,in_caption,yes,small,medium,red vs blue points with mean and SEM; p and FC text above each pair,PRIVATE_REFERENCE_ONLY/corpus/PMC11922821/figures/Fig3.jpg,gc_cell
Cell Systems,PMC11922821,2025,10.1016/j.cels.2025.101198,3,J_macrophages,dot_strip+summary,2x2,3-4 each,yes,mean,caption,SEM,caption,medium,none,filled,jitter,na,na,multi_categorical,coloured,p_value_only,exact,LB,inside,in_caption,yes,small,medium,,PRIVATE_REFERENCE_ONLY/corpus/PMC11922821/figures/Fig3.jpg,gc_cell
Cell Metabolism,PMC12137002,2025,10.1016/j.cmet.2025.03.009,2,A,bar+points,5,3 each,yes,mean,caption,SEM,caption,medium,none,filled,jitter,medium,na,single_accent,coloured,none,none,LB,none,in_caption,yes,small,high,orange bar with blue points; four near-zero groups,PRIVATE_REFERENCE_ONLY/corpus/PMC12137002/figures/Fig2.jpg,gc_cell
Cell Metabolism,PMC12137002,2025,10.1016/j.cmet.2025.03.009,2,B,bar+points,3,3 each,yes,mean,caption,SEM,caption,medium,none,filled,jitter,medium,na,multi_categorical,coloured,line+p_value,exact,LB,none,in_caption,yes,small,high,orange/blue-grey/red bars; italic P over line,PRIVATE_REFERENCE_ONLY/corpus/PMC12137002/figures/Fig2.jpg,gc_cell
Cell Metabolism,PMC12137002,2025,10.1016/j.cmet.2025.03.009,2,D,bar+points,2,3/3,yes,mean,caption,SEM,caption,medium,none,filled,jitter,medium,na,multi_categorical,coloured,line+p_value,exact,LB,none,in_caption,yes,small,high,orange control vs teal CRISPRi,PRIVATE_REFERENCE_ONLY/corpus/PMC12137002/figures/Fig2.jpg,gc_cell
Cell Metabolism,PMC12137002,2025,10.1016/j.cmet.2025.03.009,2,F,bar+points,2,5/5,yes,mean,caption,SEM,caption,medium,none,filled,jitter,medium,na,multi_categorical,coloured,line+p_value,exact,LB,none,in_caption,yes,small,high,,PRIVATE_REFERENCE_ONLY/corpus/PMC12137002/figures/Fig2.jpg,gc_cell
Cell Metabolism,PMC12137002,2025,10.1016/j.cmet.2025.03.009,2,G,bar+points,2,5/5,yes,mean,caption,SEM,caption,medium,none,filled,jitter,medium,na,multi_categorical,coloured,line+p_value,exact,LB,none,in_caption,yes,small,high,,PRIVATE_REFERENCE_ONLY/corpus/PMC12137002/figures/Fig2.jpg,gc_cell
Cell Metabolism,PMC12137002,2025,10.1016/j.cmet.2025.03.009,2,H,bar+points,2,5/5,yes,mean,caption,SEM,caption,medium,none,filled,jitter,medium,na,multi_categorical,coloured,line+p_value,exact,LB,none,in_caption,yes,small,high,,PRIVATE_REFERENCE_ONLY/corpus/PMC12137002/figures/Fig2.jpg,gc_cell
Cell Metabolism,PMC12137002,2025,10.1016/j.cmet.2025.03.009,2,I_right,bar+points,2,5/5,yes,mean,caption,SEM,caption,medium,none,filled,jitter,medium,na,multi_categorical,coloured,line+p_value,exact,LB,none,in_caption,yes,small,high,paired with time trace on the left,PRIVATE_REFERENCE_ONLY/corpus/PMC12137002/figures/Fig2.jpg,gc_cell
Cell Metabolism,PMC12137002,2025,10.1016/j.cmet.2025.03.009,2,J,bar+points,2,4/4,yes,mean,caption,SEM,caption,medium,none,filled,jitter,medium,na,multi_categorical,grey,line+p_value,exact,LB,none,in_caption,yes,small,high,grey control vs pink; red points on pink bar,PRIVATE_REFERENCE_ONLY/corpus/PMC12137002/figures/Fig2.jpg,gc_cell
Cell Metabolism,PMC12137002,2025,10.1016/j.cmet.2025.03.009,2,K_right,bar+points,2,4/4,yes,mean,caption,SEM,caption,medium,none,filled,jitter,medium,na,multi_categorical,grey,line+p_value,exact,LB,none,in_caption,yes,small,high,non-significant P = 0.083 shown,PRIVATE_REFERENCE_ONLY/corpus/PMC12137002/figures/Fig2.jpg,gc_cell
Cell Metabolism,PMC12137002,2025,10.1016/j.cmet.2025.03.009,5,D,bar+points,3x2,7 each,yes,mean,inferred,SEM,inferred,small,none,filled,jitter,medium,na,multi_categorical,coloured,bracket+p_value,exact,LB,outside,in_caption,no,small,medium,dark vs light teal; y axis truncated (0.7-0.85); exact P over brackets incl 0.051/0.056,PRIVATE_REFERENCE_ONLY/corpus/PMC12137002/figures/Fig5.jpg,gc_cell
Cell Systems,PMC12332847,2025,10.1016/j.cels.2025.101324,2,N,dot_strip+summary,6,~10-60 each,yes,mean,caption,SD,caption,small,none,filled,jitter,na,na,multi_categorical,na,none,none,LB,inside,in_caption,no,small,medium,points coloured by biological replicate; large black circle mean with SD bar; dashed zero line; polar inset,PRIVATE_REFERENCE_ONLY/corpus/PMC12332847/figures/Fig2.jpg,gc_cell
Cell Systems,PMC12332847,2025,10.1016/j.cels.2025.101324,3,K,violin,4,unknown,no,median,inferred,none,none,na,na,na,na,na,medium,greys,grey,none,none,LB,above,none,yes,small,medium,light grey violins; dashed 90th percentile line with value text inside each violin; ggplot,PRIVATE_REFERENCE_ONLY/corpus/PMC12332847/figures/Fig3.jpg,gc_cell
Cell Systems,PMC12332847,2025,10.1016/j.cels.2025.101324,3,L,violin,4,unknown,no,median,inferred,none,none,na,na,na,na,na,medium,greys,grey,none,none,LB,above,none,no,small,medium,,PRIVATE_REFERENCE_ONLY/corpus/PMC12332847/figures/Fig3.jpg,gc_cell
Cell Systems,PMC12332847,2025,10.1016/j.cels.2025.101324,4,H,dot_strip+summary,4,~2000 each,yes,mean,inferred,SD,inferred,small,none,filled,jitter,na,na,multi_categorical,coloured,line+stars,mixed,LB,none,none,no,small,medium,dense coloured jitter clouds with black mean dot and SD bar; dashed zero line; horizontal lines below with ns/*** and test name text,PRIVATE_REFERENCE_ONLY/corpus/PMC12332847/figures/Fig4.jpg,gc_cell
Cell Systems,PMC12332847,2025,10.1016/j.cels.2025.101324,5,G,box+points,2,~1000/~1000,yes,median,inferred,IQR_whiskers,inferred,small,none,filled,jitter,na,narrow,greys,grey,none,none,LB,none,none,yes,small,medium,grey point clouds behind small white boxes; three similar panels G-I,PRIVATE_REFERENCE_ONLY/corpus/PMC12332847/figures/Fig5.jpg,gc_cell
Cell Systems,PMC12332847,2025,10.1016/j.cels.2025.101324,5,H,box+points,2,~1000/~1000,yes,median,inferred,IQR_whiskers,inferred,small,none,filled,jitter,na,narrow,greys,grey,none,none,LB,none,none,yes,small,medium,,PRIVATE_REFERENCE_ONLY/corpus/PMC12332847/figures/Fig5.jpg,gc_cell
Cell Systems,PMC12332847,2025,10.1016/j.cels.2025.101324,5,I,box+points,2,~1000/~1000,yes,median,inferred,IQR_whiskers,inferred,small,none,filled,jitter,na,narrow,greys,grey,none,none,LB,none,none,yes,small,medium,,PRIVATE_REFERENCE_ONLY/corpus/PMC12332847/figures/Fig5.jpg,gc_cell
Cell Systems,PMC12332847,2025,10.1016/j.cels.2025.101324,7,I,dot_strip+summary,4,~500 each,yes,mean,caption,SD,caption,small,none,filled,jitter,na,na,greys,grey,line+stars,mixed,LB,none,none,yes,small,medium,grey point clouds with black mean line and SD caps; lines with ns / *** above,PRIVATE_REFERENCE_ONLY/corpus/PMC12332847/figures/Fig7.jpg,gc_cell
Cell Systems,PMC12332847,2025,10.1016/j.cels.2025.101324,7,M,dot_strip+summary,2x2,3-8 each,yes,mean,caption,SEM,caption,medium,none,filled,jitter,na,na,single_accent,black,none,none,LB,inside,in_caption,yes,small,medium,black WT vs magenta mutant points with diamond mean and SEM bars; legend as coloured text,PRIVATE_REFERENCE_ONLY/corpus/PMC12332847/figures/Fig7.jpg,gc_cell
Cell Systems,PMC12332847,2025,10.1016/j.cels.2025.101324,7,N,dot_strip+summary,2x2,3-4 each,yes,mean,caption,SEM,caption,medium,none,filled,jitter,na,na,single_accent,black,none,none,LB,none,in_caption,yes,small,medium,,PRIVATE_REFERENCE_ONLY/corpus/PMC12332847/figures/Fig7.jpg,gc_cell
