journal,paper_id,year,DOI,figure_number,panel,representation,number_of_groups,approximate_n_per_group,raw_points_visible,summary,summary_source,error,error_source,marker_size_relative,marker_edge,marker_fill,jitter_style,bar_width,box_width,palette_type,control_color_behavior,statistical_annotation,p_display,axis_style,legend_style,n_label,zero_baseline,physical_panel_size,confidence_of_measurement,notes,image_path,reviewer
Nature Biotechnology,PMC13050621,2026,10.1038/s41587-025-02833-3,3,d,bar+points,3x7,2/3/3,yes,mean,caption,SD,caption,small,dark,open,centered,wide,na,multi_categorical,coloured,none,none,LB,inside,in_caption,yes,medium,high,Grouped FPKM bars for 7 pluripotency genes x 3 sample types; open circle/triangle replicate markers sit on top of each bar; bars within a group touch,PRIVATE_REFERENCE_ONLY/corpus/PMC13050621/figures/Fig3.webp,gc_nature
Nature Biotechnology,PMC13050621,2026,10.1038/s41587-025-02833-3,3,f,violin,3,unknown,no,none,none,none,none,na,na,na,na,na,na,multi_categorical,coloured,bracket+p_value,exact,LB,none,none,no,medium,high,"Violin only, no interior box or median line; three brackets with exact Wilcoxon P values (P = 8 x 10-15, P = 0.1); y axis extends below zero",PRIVATE_REFERENCE_ONLY/corpus/PMC13050621/figures/Fig3.webp,gc_nature
Nature Biotechnology,PMC13050621,2026,10.1038/s41587-025-02833-3,3,g,bar+points,2x5,3/3,yes,mean,caption,SD,caption,small,dark,open,centered,wide,na,multi_categorical,coloured,none,none,LB,outside,in_caption,yes,medium,high,Two-colour grouped bars for hypoblast and area opaca markers; small open replicate markers over bars; legend to the right of the panel,PRIVATE_REFERENCE_ONLY/corpus/PMC13050621/figures/Fig3.webp,gc_nature
Nature Communications,PMC13562594,2026,10.1038/s41467-026-77485-1,3,b/1,dot_strip+summary,5,1/4/4/4/4,yes,mean,caption,none,none,medium,same_colour,open,jitter,na,na,monochrome_black,black,bracket+p_value,exact,LB,none,in_caption,yes,medium,medium,"open diamonds black, thick horizontal bar = mean; -Chx reference group has single point at 100%; 4 independent experiments",PRIVATE_REFERENCE_ONLY/corpus/PMC13562594/figures/Fig3.webp,gc_nature
Nature Communications,PMC13562594,2026,10.1038/s41467-026-77485-1,3,b/2,dot_strip+summary,5,1/4/4/4/4,yes,mean,caption,none,none,medium,same_colour,open,jitter,na,na,single_accent,coloured,bracket+p_value,exact,LB,none,in_caption,yes,medium,medium,"open diamonds orange, thick horizontal bar = mean; -Chx reference group has single point at 100%; 4 independent experiments",PRIVATE_REFERENCE_ONLY/corpus/PMC13562594/figures/Fig3.webp,gc_nature
Nature Communications,PMC13562594,2026,10.1038/s41467-026-77485-1,3,b/3,dot_strip+summary,5,1/4/4/4/4,yes,mean,caption,none,none,medium,same_colour,open,jitter,na,na,single_accent,coloured,bracket+p_value,exact,LB,none,in_caption,yes,medium,medium,"open diamonds green, thick horizontal bar = mean; -Chx reference group has single point at 100%; 4 independent experiments",PRIVATE_REFERENCE_ONLY/corpus/PMC13562594/figures/Fig3.webp,gc_nature
Nature Communications,PMC13562594,2026,10.1038/s41467-026-77485-1,4,c/1,dot_strip+summary,2,32/30,yes,mean,caption,SD,caption,small,none,filled,jitter,na,na,multi_categorical,grey,bracket+p_value,exact,box,none,below_category,yes,small,high,"each dot = one mouse; grey vs olive points; horizontal line mean, vertical line SD",PRIVATE_REFERENCE_ONLY/corpus/PMC13562594/figures/Fig4.webp,gc_nature
Nature Communications,PMC13562594,2026,10.1038/s41467-026-77485-1,4,c/2,dot_strip+summary,2,13/13,yes,mean,caption,SD,caption,small,none,filled,jitter,na,na,single_accent,coloured,bracket+p_value,exact,box,none,below_category,yes,small,high,"each dot = one mouse; orange points; horizontal line mean, vertical line SD",PRIVATE_REFERENCE_ONLY/corpus/PMC13562594/figures/Fig4.webp,gc_nature
Nature Communications,PMC13562594,2026,10.1038/s41467-026-77485-1,4,c/3,dot_strip+summary,2,17/18,yes,mean,caption,SD,caption,small,none,filled,jitter,na,na,single_accent,coloured,bracket+p_value,exact,box,none,below_category,yes,small,high,"each dot = one mouse; orange points; horizontal line mean, vertical line SD",PRIVATE_REFERENCE_ONLY/corpus/PMC13562594/figures/Fig4.webp,gc_nature
Nature Communications,PMC13562594,2026,10.1038/s41467-026-77485-1,4,c/4,dot_strip+summary,2,12/13,yes,mean,caption,SD,caption,small,none,filled,jitter,na,na,single_accent,coloured,bracket+p_value,exact,box,none,below_category,yes,small,high,"each dot = one mouse; green points; horizontal line mean, vertical line SD",PRIVATE_REFERENCE_ONLY/corpus/PMC13562594/figures/Fig4.webp,gc_nature
