journal,paper_id,year,DOI,figure_number,panel,representation,number_of_groups,approximate_n_per_group,raw_points_visible,summary,summary_source,error,error_source,marker_size_relative,marker_edge,marker_fill,jitter_style,bar_width,box_width,palette_type,control_color_behavior,statistical_annotation,p_display,axis_style,legend_style,n_label,zero_baseline,physical_panel_size,confidence_of_measurement,notes,image_path,reviewer
Science Translational Medicine,PMC12490786,2025,10.1126/scitranslmed.adn2601,3,C,other,3x2,unknown,no,none,none,none,none,na,na,na,na,medium,na,greys,na,none,none,LB,outside,none,yes,medium,medium,Stacked composition bars of HSPC subsets (CD34+CD90+ black / CD34+CD90- grey / CD34+CD45RA+ white) compared at 3 vs 6 months within each of 3 animals; dashed vertical separators between animals,PRIVATE_REFERENCE_ONLY/corpus/PMC12490786/figures/Fig3.jpg,gc_science
Science Translational Medicine,PMC12490786,2025,10.1126/scitranslmed.adn2601,3,D,other,18,unknown,no,none,none,none,none,na,na,na,na,medium,na,multi_categorical,na,none,none,LB,outside,none,yes,large,medium,Stacked CFU-composition bars; 3 animals x 2 timepoints x 3 FACS-purified HSPC subsets on the categorical axis; patterned/checkered fills,PRIVATE_REFERENCE_ONLY/corpus/PMC12490786/figures/Fig3.jpg,gc_science
Science Translational Medicine,PMC12490786,2025,10.1126/scitranslmed.adn2601,5,A1,bar+points,6x4,~3 each,yes,mean,inferred,unknown,inferred,medium,none,filled,jitter,medium,na,multi_categorical,na,none,none,LB,none,none,yes,medium,medium,Top row (3 months) of panel A; 6 BM lineages x 4 protospacer adenines; 3 animal points overlaid per bar; dashed vertical separators between lineages; error bars undefined in caption,PRIVATE_REFERENCE_ONLY/corpus/PMC12490786/figures/Fig5.jpg,gc_science
Science Translational Medicine,PMC12490786,2025,10.1126/scitranslmed.adn2601,5,A2,bar+points,6x4,~3 each,yes,mean,inferred,unknown,inferred,medium,none,filled,jitter,medium,na,multi_categorical,na,none,none,LB,none,none,yes,medium,medium,Bottom row (6 months) of panel A; same layout as A1,PRIVATE_REFERENCE_ONLY/corpus/PMC12490786/figures/Fig5.jpg,gc_science
Science Translational Medicine,PMC12490786,2025,10.1126/scitranslmed.adn2601,5,B1,other,3x6,unknown,no,none,none,none,none,na,na,na,na,wide,na,multi_categorical,na,none,none,LB,outside,none,yes,medium,medium,Top row (3 months); stacked composition bars of editing-event combinations across 6 BM lineages in each of 3 animals; bars sum to 100%,PRIVATE_REFERENCE_ONLY/corpus/PMC12490786/figures/Fig5.jpg,gc_science
Science Translational Medicine,PMC12490786,2025,10.1126/scitranslmed.adn2601,5,B2,other,3x6,unknown,no,none,none,none,none,na,na,na,na,wide,na,multi_categorical,na,none,none,LB,outside,none,yes,medium,medium,Bottom row (6 months); same stacked composition layout as B1,PRIVATE_REFERENCE_ONLY/corpus/PMC12490786/figures/Fig5.jpg,gc_science
Science Translational Medicine,PMC12490786,2025,10.1126/scitranslmed.adn2601,7,A1,dot_strip,4,~15/~35/~34/~36,yes,none,none,none,none,small,dark,open,jitter,na,na,monochrome_black,na,none,none,LB,none,none,no,small,medium,Left subplot of panel A (Cumulative indels); x-shaped markers; log10 y axis; control group vs three animals; no summary line drawn,PRIVATE_REFERENCE_ONLY/corpus/PMC12490786/figures/Fig7.jpg,gc_science
Science Translational Medicine,PMC12490786,2025,10.1126/scitranslmed.adn2601,7,B1,dot_strip,4,0/4/5/8,yes,none,none,none,none,small,dark,open,jitter,na,na,monochrome_black,na,none,none,LB,none,above_category,no,small,medium,A9 subplot of panel B; log10 y axis; only samples with detectable indels plotted; fraction above each column gives samples-with-indels/total analysed (0/15 4/35 5/34 8/36),PRIVATE_REFERENCE_ONLY/corpus/PMC12490786/figures/Fig7.jpg,gc_science
Science Translational Medicine,PMC12490786,2025,10.1126/scitranslmed.adn2601,7,B2,dot_strip,4,0/10/10/14,yes,none,none,none,none,small,dark,open,jitter,na,na,monochrome_black,na,none,none,LB,none,above_category,no,small,medium,A12 subplot of panel B; log10 y axis; counts above columns 0/15 10/35 10/34 14/36,PRIVATE_REFERENCE_ONLY/corpus/PMC12490786/figures/Fig7.jpg,gc_science
Science Translational Medicine,PMC12490786,2025,10.1126/scitranslmed.adn2601,7,B3,dot_strip,4,3/9/7/9,yes,none,none,none,none,small,dark,open,jitter,na,na,monochrome_black,na,none,none,LB,none,above_category,no,small,medium,A16 subplot of panel B; log10 y axis; counts above columns 3/15 9/35 7/34 9/36,PRIVATE_REFERENCE_ONLY/corpus/PMC12490786/figures/Fig7.jpg,gc_science
Science Translational Medicine,PMC12490786,2025,10.1126/scitranslmed.adn2601,7,B4,dot_strip,4,0/2/3/4,yes,none,none,none,none,small,dark,open,jitter,na,na,monochrome_black,na,none,none,LB,none,above_category,no,small,medium,A18 subplot of panel B; log10 y axis; counts above columns 0/15 2/35 3/34 4/36,PRIVATE_REFERENCE_ONLY/corpus/PMC12490786/figures/Fig7.jpg,gc_science
Science advances,PMC12716425,2025,10.1126/sciadv.aeb1017,3,A,bar+points,3,~12/3/0,yes,mean,caption,SEM,caption,small,same_colour,filled,jitter,medium,na,multi_categorical,coloured,bracket+stars,stars,LB,none,none,no,medium,medium,Log10 y axis (Kd) so no zero baseline; third group (basic helix mt) has no bar and is labelled Not Detectable; ** over a bracket between WT and K93A/R95A,../make_my_plot/figure_library/science/2025_Yudin_mechanism_of_cotranslational_modificatio/figures/fig03_F3.jpg,gc_science
Science advances,PMC12716425,2025,10.1126/sciadv.aeb1017,3,B,bar+points,3,3/~10/3,yes,mean,caption,SEM,caption,small,same_colour,filled,jitter,medium,na,multi_categorical,grey,none,none,LB,none,none,no,medium,medium,Log10 y axis (Kd); first category (no NAC) drawn grey; WT red; dUBA green,../make_my_plot/figure_library/science/2025_Yudin_mechanism_of_cotranslational_modificatio/figures/fig03_F3.jpg,gc_science
Science advances,PMC12716425,2025,10.1126/sciadv.aeb1017,3,C,bar+points,3,3/2/2,yes,mean,caption,SEM,caption,small,same_colour,filled,jitter,medium,na,multi_categorical,coloured,none,none,LB,none,none,no,medium,medium,Log10 y axis (Ki); only 2-3 replicate dots per bar,../make_my_plot/figure_library/science/2025_Yudin_mechanism_of_cotranslational_modificatio/figures/fig03_F3.jpg,gc_science
Science advances,PMC12716425,2025,10.1126/sciadv.aeb1017,3,D,bar+points,3,~11/4/4,yes,mean,caption,SEM,caption,small,same_colour,filled,jitter,medium,na,multi_categorical,coloured,none,none,LB,none,none,no,medium,medium,Log10 y axis (Kd) spanning ~4 decades; H4 nascent-chain N-terminal sequence variants,../make_my_plot/figure_library/science/2025_Yudin_mechanism_of_cotranslational_modificatio/figures/fig03_F3.jpg,gc_science
