paper_id,authors,year,journal,journal_family,DOI,article_type,figure_number,panel,plot_family,local_source,license,usable_for_measurement,notes
PMC10791582,Gao L et al.,2024,Nature Cell Biology,Nature-family,10.1038/s41556-023-01317-3,research-article,Fig. 4,c (hiPSC),scatter/regression,/mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/PRIVATE_REFERENCE_ONLY/Figure2_published_panels/Panel_A_published_figure_full.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/PRIVATE_REFERENCE_ONLY/Figure2_published_panels/Panel_A_published_reference_panel.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_submission_final/03_supplementary_figures/Supplementary_Figure_1_redesign/PRIVATE_REFERENCE_ONLY/untouched_originals/Panel_A_published_figure_full.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_submission_final/03_supplementary_figures/Supplementary_Figure_1_redesign/published_crops/Panel_A_published_crop.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/04_figure_evidence/Figure2/supplementary_comparison/Panel_A_comparison.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/make_my_plot_task2/manuscriptv3/Figure2/reference_panels/Panel_A/published_figure_full.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/04_figure_evidence/Figure2/data/Panel_A/metadata/PMC10791582_fullTextXML.xml; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/04_figure_evidence/Figure2/reference_panels/Panel_A/paper_metadata.json; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/04_figure_evidence/Figure2/data/Panel_A/download_manifest.json; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/make_my_plot_task2/manuscriptv3/Figure2/data/Panel_A/raw/41556_2023_1317_MOESM7_ESM.xlsx,"CC BY 4.0 (creativecommons.org/licenses/by/4.0/, from article full-text XML <license>)",yes,"Figure 2a reference. Publisher PNG 2168x1738 + clean crop 870x415 of whole Fig. 4c (both sub-panels, r2 annotations). Best-quality Nature Cell Biology scatter exemplar."
PMC11078746,Ferretti S et al.,2024,Nature,Nature-family,10.1038/s41586-024-07350-y,research-article,Fig. 4,a (left),line/time-course,/mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/PRIVATE_REFERENCE_ONLY/Figure2_published_panels/Panel_B_published_figure_full.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/PRIVATE_REFERENCE_ONLY/Figure2_published_panels/Panel_B_published_reference_panel.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_submission_final/03_supplementary_figures/Supplementary_Figure_1_redesign/PRIVATE_REFERENCE_ONLY/untouched_originals/Panel_B_published_figure_full.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_submission_final/03_supplementary_figures/Supplementary_Figure_1_redesign/published_crops/Panel_B_published_crop.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/04_figure_evidence/Figure2/supplementary_comparison/Panel_B_comparison.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/make_my_plot_task2/manuscriptv3/Figure2/reference_panels/Panel_B/published_figure_full.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/04_figure_evidence/Figure2/data/Panel_B/metadata/PMC11078746_fullTextXML.xml; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/04_figure_evidence/Figure2/reference_panels/Panel_B/paper_metadata.json; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/04_figure_evidence/Figure2/data/Panel_B/download_manifest.json; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/make_my_plot_task2/manuscriptv3/Figure2/data/Panel_B/raw/41586_2024_7350_MOESM4_ESM.xlsx,"CC BY 4.0 (creativecommons.org/licenses/by/4.0/, from article full-text XML <license>)",yes,Figure 2b reference. Publisher PNG 2148x1934 + crop 635x346. Only flagship-Nature panel image in the whole corpus; 5-arm xenograft time course with error bars + legend.
PMC11779630,Link JM et al.,2025,Nature Cancer,Nature-family,10.1038/s43018-024-00881-3,research-article,Fig. 2,h,oncoprint/categorical,/mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/PRIVATE_REFERENCE_ONLY/Figure2_published_panels/Panel_C_published_figure_full.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/PRIVATE_REFERENCE_ONLY/Figure2_published_panels/Panel_C_published_reference_panel.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_submission_final/03_supplementary_figures/Supplementary_Figure_1_redesign/PRIVATE_REFERENCE_ONLY/untouched_originals/Panel_C_published_figure_full.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_submission_final/03_supplementary_figures/Supplementary_Figure_1_redesign/published_crops/Panel_C_published_crop.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/04_figure_evidence/Figure2/supplementary_comparison/Panel_C_comparison.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/make_my_plot_task2/manuscriptv3/Figure2/reference_panels/Panel_C/published_figure_full.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/04_figure_evidence/Figure2/data/Panel_C/metadata/PMC11779630_fullTextXML.xml; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/04_figure_evidence/Figure2/reference_panels/Panel_C/paper_metadata.json; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/04_figure_evidence/Figure2/data/Panel_C/download_manifest.json; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/make_my_plot_task2/manuscriptv3/Figure2/data/Panel_C/raw/43018_2024_881_MOESM3_ESM.xlsx,"CC BY 4.0 (creativecommons.org/licenses/by/4.0/, from article full-text XML <license>)",yes,"Figure 2c reference. Crop 561x487 keeps per-sample bars, oncoprint, per-gene % labels. Stored full Fig. 2 PNG also contains 2a/2g/2i/2j (survival + other families) usable as extra style samples."
PMC11779630,Link JM et al.,2025,Nature Cancer,Nature-family,10.1038/s43018-024-00881-3,research-article,Fig. 2,a (left),survival,/mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/04_figure_evidence/Figure2/audits/v2_candidate_panel_search.csv; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/PRIVATE_REFERENCE_ONLY/Figure2_published_panels/Panel_C_published_figure_full.png,"CC BY 4.0 (creativecommons.org/licenses/by/4.0/, from article full-text XML <license>)",yes,"Shortlist-reserve panel (not recreated). Visible inside the stored full Fig. 2 publisher PNG, so KM style can still be measured."
PMC12006393,Daugelaite K et al.,2025,Nature Communications,Nature-family,10.1038/s41467-025-58451-9,research-article,Fig. 3,d,heatmap,/mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/PRIVATE_REFERENCE_ONLY/Figure2_published_panels/Panel_D_published_figure_full.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/PRIVATE_REFERENCE_ONLY/Figure2_published_panels/Panel_D_published_reference_panel.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_submission_final/03_supplementary_figures/Supplementary_Figure_1_redesign/PRIVATE_REFERENCE_ONLY/untouched_originals/Panel_D_published_figure_full.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_submission_final/03_supplementary_figures/Supplementary_Figure_1_redesign/published_crops/Panel_D_published_crop.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/04_figure_evidence/Figure2/supplementary_comparison/Panel_D_comparison.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/make_my_plot_task2/manuscriptv3/Figure2/reference_panels/Panel_D/published_figure_full.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/04_figure_evidence/Figure2/data/Panel_D/metadata/PMC12006393_fullTextXML.xml; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/04_figure_evidence/Figure2/reference_panels/Panel_D/paper_metadata.json; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/04_figure_evidence/Figure2/data/Panel_D/download_manifest.json; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/04_figure_evidence/Figure2/_superseded_2026-09-04/source_data_trace/Panel_D/raw/41467_2025_58451_MOESM15_ESM.xlsx; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/04_figure_evidence/Figure2/_superseded_2026-09-04/reference_panels/PRIVATE_REFERENCE_ONLY/Panel_D/published_figure_full.png,"CC BY 4.0 (creativecommons.org/licenses/by/4.0/, from article full-text XML <license>)",yes,"Figure 2d reference; the only paper/panel kept across both the superseded Nat Commun six and the final cross-journal six. Crop 1060x1402 with dendrogram, tracks, colour bar."
PMC12006393,Daugelaite K et al.,2025,Nature Communications,Nature-family,10.1038/s41467-025-58451-9,research-article,Fig. 2,a,volcano/MA,/mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/04_figure_evidence/Figure2/audits/candidate_published_panels.csv,CC BY 4.0 (recorded in local metadata/candidate CSV; no local XML),no,MA plot candidate (reserve) from the same article; no panel image stored.
PMC12006393,Daugelaite K et al.,2025,Nature Communications,Nature-family,10.1038/s41467-025-58451-9,research-article,Fig. 3,b,PCA/UMAP,/mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/04_figure_evidence/Figure2/audits/candidate_published_panels.csv,CC BY 4.0 (recorded in local metadata/candidate CSV; no local XML),no,PCA scores candidate (reserve) from the same article; no panel image stored.
PMC8893321,Secchia S et al.,2022,Developmental Cell,Cell-family,10.1016/j.devcel.2022.01.016,research-article,Figure 1,D,PCA/UMAP,/mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/PRIVATE_REFERENCE_ONLY/Figure2_published_panels/Panel_E_published_figure_full.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/PRIVATE_REFERENCE_ONLY/Figure2_published_panels/Panel_E_published_reference_panel.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_submission_final/03_supplementary_figures/Supplementary_Figure_1_redesign/PRIVATE_REFERENCE_ONLY/untouched_originals/Panel_E_published_figure_full.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_submission_final/03_supplementary_figures/Supplementary_Figure_1_redesign/published_crops/Panel_E_published_crop.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/04_figure_evidence/Figure2/supplementary_comparison/Panel_E_comparison.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/make_my_plot_task2/manuscriptv3/Figure2/reference_panels/Panel_E/published_figure_full.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/04_figure_evidence/Figure2/data/Panel_E/metadata/PMC8893321_fullTextXML.xml; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/04_figure_evidence/Figure2/reference_panels/Panel_E/paper_metadata.json; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/04_figure_evidence/Figure2/data/Panel_E/download_manifest.json; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_submission_final/03_supplementary_figures/Supplementary_Figure_1_redesign/PRIVATE_REFERENCE_ONLY/untouched_originals/Panel_E_published_figure_full_highres_gr1_lrg.jpg; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/make_my_plot_task2/manuscriptv3/Figure2/data/Panel_E/raw/mmc2.xlsx,"CC BY 4.0 (creativecommons.org/licenses/by/4.0/, from article full-text XML <license>)",yes,"Figure 2e reference. Only Cell-family (Elsevier) panel with a stored image, and the only publisher full-resolution JPEG (3336x2902, gr1_lrg.jpg) - highest-fidelity source for Cell-press style measurement."
PMC12283384,Milotay G et al.,2025,Nature Medicine,Nature-family,10.1038/s41591-025-03647-1,research-article,Fig. 2,d,survival,/mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/PRIVATE_REFERENCE_ONLY/Figure2_published_panels/Panel_F_published_figure_full.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/PRIVATE_REFERENCE_ONLY/Figure2_published_panels/Panel_F_published_reference_panel.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_submission_final/03_supplementary_figures/Supplementary_Figure_1_redesign/PRIVATE_REFERENCE_ONLY/untouched_originals/Panel_F_published_figure_full.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_submission_final/03_supplementary_figures/Supplementary_Figure_1_redesign/published_crops/Panel_F_published_crop.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/04_figure_evidence/Figure2/supplementary_comparison/Panel_F_comparison.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/make_my_plot_task2/manuscriptv3/Figure2/reference_panels/Panel_F/published_figure_full.png; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/04_figure_evidence/Figure2/data/Panel_F/metadata/PMC12283384_fullTextXML.xml; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/04_figure_evidence/Figure2/reference_panels/Panel_F/paper_metadata.json; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/04_figure_evidence/Figure2/data/Panel_F/download_manifest.json; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/make_my_plot_task2/manuscriptv3/Figure2/data/Panel_F/raw/41591_2025_3647_MOESM5_ESM.xlsx; /mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/PRIVATE_REFERENCE_ONLY/Figure2_published_panels/published_figure_full.png,"CC BY 4.0 (creativecommons.org/licenses/by/4.0/, from article full-text XML <license>)",yes,"Figure 2f reference. Crop 854x841 keeps legend, HR/log-rank annotation, number-at-risk table. The unlabelled published_figure_full.png / published_reference_panel.png in the same folder are byte-identical duplicates of Panel_F."
PMC12283384,Milotay G et al.,2025,Nature Medicine,Nature-family,10.1038/s41591-025-03647-1,research-article,Fig. 1,a,box/violin,/mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/MakeMyFigure_manuscript_final/04_figure_evidence/Figure2/audits/v2_candidate_panel_search.csv,CC BY 4.0 (recorded in local metadata/candidate CSV; no local XML),no,Shortlist-reserve box plot (229 patients); no image of Fig. 1 stored.
