paper_id,authors,year,journal,journal_family,DOI,article_type,figure_number,panel,plot_family,local_source,license,usable_for_measurement,notes
PMC10171335,"Hutten SJ, de Bruijn R, Lutz C, Badoux M, Eijkman T, Chao X, Ciwinska M, Sheinman M, Messal H, Herencia-Ropero A, Kristel P, Mulder L, van der Waal R, Sanders J, Almekinders MM, Llop-Guevara A, Davies HR, van Haren MJ, Martin NI, Behbod F, Nik-Zainal S, Serra V, van Rheenen J, Lips EH, Wessels LFA, Grand Challenge PRECISION Consortium, Wesseling J, Scheele CLGJ, Jonkers J.",2023,Cancer Cell,Cell,10.1016/j.ccell.2023.04.002,research-article,1,all,scatter/regression|categorical/composition|microscopy/other,PRIVATE_REFERENCE_ONLY/corpus/PMC10171335/figures/Fig1.jpg,http://creativecommons.org/licenses/by/4.0/ This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/).,partial,caption-based classification
PMC10171335,"Hutten SJ, de Bruijn R, Lutz C, Badoux M, Eijkman T, Chao X, Ciwinska M, Sheinman M, Messal H, Herencia-Ropero A, Kristel P, Mulder L, van der Waal R, Sanders J, Almekinders MM, Llop-Guevara A, Davies HR, van Haren MJ, Martin NI, Behbod F, Nik-Zainal S, Serra V, van Rheenen J, Lips EH, Wessels LFA, Grand Challenge PRECISION Consortium, Wesseling J, Scheele CLGJ, Jonkers J.",2023,Cancer Cell,Cell,10.1016/j.ccell.2023.04.002,research-article,2,all,microscopy/other,PRIVATE_REFERENCE_ONLY/corpus/PMC10171335/figures/Fig2.jpg,http://creativecommons.org/licenses/by/4.0/ This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/).,partial,no quantitative marker; caption-based classification
PMC10171335,"Hutten SJ, de Bruijn R, Lutz C, Badoux M, Eijkman T, Chao X, Ciwinska M, Sheinman M, Messal H, Herencia-Ropero A, Kristel P, Mulder L, van der Waal R, Sanders J, Almekinders MM, Llop-Guevara A, Davies HR, van Haren MJ, Martin NI, Behbod F, Nik-Zainal S, Serra V, van Rheenen J, Lips EH, Wessels LFA, Grand Challenge PRECISION Consortium, Wesseling J, Scheele CLGJ, Jonkers J.",2023,Cancer Cell,Cell,10.1016/j.ccell.2023.04.002,research-article,3,all,scatter/regression|forest/effect-size|categorical/composition|microscopy/other,PRIVATE_REFERENCE_ONLY/corpus/PMC10171335/figures/Fig3.jpg,http://creativecommons.org/licenses/by/4.0/ This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/).,yes,caption-based classification
PMC10171335,"Hutten SJ, de Bruijn R, Lutz C, Badoux M, Eijkman T, Chao X, Ciwinska M, Sheinman M, Messal H, Herencia-Ropero A, Kristel P, Mulder L, van der Waal R, Sanders J, Almekinders MM, Llop-Guevara A, Davies HR, van Haren MJ, Martin NI, Behbod F, Nik-Zainal S, Serra V, van Rheenen J, Lips EH, Wessels LFA, Grand Challenge PRECISION Consortium, Wesseling J, Scheele CLGJ, Jonkers J.",2023,Cancer Cell,Cell,10.1016/j.ccell.2023.04.002,research-article,4,all,scatter/regression|bar/group comparison|volcano/MA|categorical/composition,PRIVATE_REFERENCE_ONLY/corpus/PMC10171335/figures/Fig4.jpg,http://creativecommons.org/licenses/by/4.0/ This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/).,yes,caption-based classification
PMC10171335,"Hutten SJ, de Bruijn R, Lutz C, Badoux M, Eijkman T, Chao X, Ciwinska M, Sheinman M, Messal H, Herencia-Ropero A, Kristel P, Mulder L, van der Waal R, Sanders J, Almekinders MM, Llop-Guevara A, Davies HR, van Haren MJ, Martin NI, Behbod F, Nik-Zainal S, Serra V, van Rheenen J, Lips EH, Wessels LFA, Grand Challenge PRECISION Consortium, Wesseling J, Scheele CLGJ, Jonkers J.",2023,Cancer Cell,Cell,10.1016/j.ccell.2023.04.002,research-article,5,all,scatter/regression|bar/group comparison|box/violin|volcano/MA|microscopy/other,PRIVATE_REFERENCE_ONLY/corpus/PMC10171335/figures/Fig5.jpg,http://creativecommons.org/licenses/by/4.0/ This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/).,yes,caption-based classification
PMC10171335,"Hutten SJ, de Bruijn R, Lutz C, Badoux M, Eijkman T, Chao X, Ciwinska M, Sheinman M, Messal H, Herencia-Ropero A, Kristel P, Mulder L, van der Waal R, Sanders J, Almekinders MM, Llop-Guevara A, Davies HR, van Haren MJ, Martin NI, Behbod F, Nik-Zainal S, Serra V, van Rheenen J, Lips EH, Wessels LFA, Grand Challenge PRECISION Consortium, Wesseling J, Scheele CLGJ, Jonkers J.",2023,Cancer Cell,Cell,10.1016/j.ccell.2023.04.002,research-article,6,all,bar/group comparison|categorical/composition|microscopy/other,PRIVATE_REFERENCE_ONLY/corpus/PMC10171335/figures/Fig6.jpg,http://creativecommons.org/licenses/by/4.0/ This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/).,yes,caption-based classification
PMC10171335,"Hutten SJ, de Bruijn R, Lutz C, Badoux M, Eijkman T, Chao X, Ciwinska M, Sheinman M, Messal H, Herencia-Ropero A, Kristel P, Mulder L, van der Waal R, Sanders J, Almekinders MM, Llop-Guevara A, Davies HR, van Haren MJ, Martin NI, Behbod F, Nik-Zainal S, Serra V, van Rheenen J, Lips EH, Wessels LFA, Grand Challenge PRECISION Consortium, Wesseling J, Scheele CLGJ, Jonkers J.",2023,Cancer Cell,Cell,10.1016/j.ccell.2023.04.002,research-article,7,all,line/time-course|survival|microscopy/other,PRIVATE_REFERENCE_ONLY/corpus/PMC10171335/figures/Fig7.jpg,http://creativecommons.org/licenses/by/4.0/ This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/).,yes,caption-based classification
PMC10507381,"Wagner SJ, Reisenbüchler D, West NP, Niehues JM, Zhu J, Foersch S, Veldhuizen GP, Quirke P, Grabsch HI, van den Brandt PA, Hutchins GGA, Richman SD, Yuan T, Langer R, Jenniskens JCA, Offermans K, Mueller W, Gray R, Gruber SB, Greenson JK, Rennert G, Bonner JD, Schmolze D, Jonnagaddala J, Hawkins NJ, Ward RL, Morton D, Seymour M, Magill L, Nowak M, Hay J, Koelzer VH, Church DN, TransSCOT consortium, Matek C, Geppert C, Peng C, Zhi C, Ouyang X, James JA, Loughrey MB, Salto-Tellez M, Brenner H, Hoffmeister M, Truhn D, Schnabel JA, Boxberg M, Peng T, Kather JN.",2023,Cancer Cell,Cell,10.1016/j.ccell.2023.08.002,research-article,1,all,microscopy/other,PRIVATE_REFERENCE_ONLY/corpus/PMC10507381/figures/Fig1.jpg,http://creativecommons.org/licenses/by/4.0/ This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/).,partial,caption-based classification
PMC10507381,"Wagner SJ, Reisenbüchler D, West NP, Niehues JM, Zhu J, Foersch S, Veldhuizen GP, Quirke P, Grabsch HI, van den Brandt PA, Hutchins GGA, Richman SD, Yuan T, Langer R, Jenniskens JCA, Offermans K, Mueller W, Gray R, Gruber SB, Greenson JK, Rennert G, Bonner JD, Schmolze D, Jonnagaddala J, Hawkins NJ, Ward RL, Morton D, Seymour M, Magill L, Nowak M, Hay J, Koelzer VH, Church DN, TransSCOT consortium, Matek C, Geppert C, Peng C, Zhi C, Ouyang X, James JA, Loughrey MB, Salto-Tellez M, Brenner H, Hoffmeister M, Truhn D, Schnabel JA, Boxberg M, Peng T, Kather JN.",2023,Cancer Cell,Cell,10.1016/j.ccell.2023.08.002,research-article,2,all,line/time-course|heatmap,PRIVATE_REFERENCE_ONLY/corpus/PMC10507381/figures/Fig2.jpg,http://creativecommons.org/licenses/by/4.0/ This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/).,yes,caption-based classification
PMC10507381,"Wagner SJ, Reisenbüchler D, West NP, Niehues JM, Zhu J, Foersch S, Veldhuizen GP, Quirke P, Grabsch HI, van den Brandt PA, Hutchins GGA, Richman SD, Yuan T, Langer R, Jenniskens JCA, Offermans K, Mueller W, Gray R, Gruber SB, Greenson JK, Rennert G, Bonner JD, Schmolze D, Jonnagaddala J, Hawkins NJ, Ward RL, Morton D, Seymour M, Magill L, Nowak M, Hay J, Koelzer VH, Church DN, TransSCOT consortium, Matek C, Geppert C, Peng C, Zhi C, Ouyang X, James JA, Loughrey MB, Salto-Tellez M, Brenner H, Hoffmeister M, Truhn D, Schnabel JA, Boxberg M, Peng T, Kather JN.",2023,Cancer Cell,Cell,10.1016/j.ccell.2023.08.002,research-article,3,all,heatmap,PRIVATE_REFERENCE_ONLY/corpus/PMC10507381/figures/Fig3.jpg,http://creativecommons.org/licenses/by/4.0/ This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/).,yes,caption-based classification
