paper_id,journal,journal_family,figure_number,panel,plot_family,spines,tick_direction,grid,background,error_bar_style,points_overlaid,marker_fill,marker_size_class,line_weight_class,axis_line_weight_class,legend_position,legend_frame,legend_entries,n_categorical_colours,palette_class,sequential_cmap_class,colourbar_position,panel_label_case,panel_label_weight,panel_label_size_class,font_class,axis_label_weight,title_present,significance_style,brackets,n_stated_in_panel,tick_label_density,x_tick_rotation,panel_aspect_class,confidence,notes,image_path,reviewer
PMC11687419,Molecular Cell,Cell,1,D,heatmap,box,out,none,white,na,na,na,na,heavy,UNKNOWN,none,na,na,1,sequential,other,bottom,upper,bold,larger,sans,regular,yes,na,na,yes,sparse,0,tall,medium,white-to-red cmap; average profile line above heatmap; axis_line_weight UNKNOWN because 735 px,/mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/make_my_plot_journal_presets/PRIVATE_REFERENCE_ONLY/corpus/PMC11687419/figures/Fig1.jpg,cell_2
PMC11687419,Molecular Cell,Cell,1,E,other_quant,L,UNKNOWN,none,white,none,na,na,na,na,UNKNOWN,below,no,2,3,saturated,na,na,upper,bold,larger,sans,regular,no,na,na,no,sparse,na,square,low,genome browser signal tracks; strand key as coloured text below; tick_direction UNKNOWN because small,/mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/make_my_plot_journal_presets/PRIVATE_REFERENCE_ONLY/corpus/PMC11687419/figures/Fig1.jpg,cell_2
PMC11687419,Molecular Cell,Cell,1,F,grouped_bar,LB,out,none,white,none,no,na,na,na,UNKNOWN,inside,no,3,3,saturated,na,na,upper,bold,larger,sans,regular,no,none,no,no,sparse,0,wide,high,,/mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/make_my_plot_journal_presets/PRIVATE_REFERENCE_ONLY/corpus/PMC11687419/figures/Fig1.jpg,cell_2
PMC11687419,Molecular Cell,Cell,3,A,box,box,out,none,white,box_whisker,yes,filled,small,na,UNKNOWN,below,no,7,7,muted,na,na,upper,bold,larger,sans,regular,yes,none,no,no,dense,45,wide,high,jittered points behind boxes; two sub-panels sharing y axis,/mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/make_my_plot_journal_presets/PRIVATE_REFERENCE_ONLY/corpus/PMC11687419/figures/Fig3.jpg,cell_2
PMC11687419,Molecular Cell,Cell,3,B,other_quant,none,none,none,white,na,na,na,na,na,UNKNOWN,none,na,na,3,muted,na,na,upper,bold,larger,sans,regular,no,na,na,yes,sparse,na,square,medium,area-proportional Venn diagram with counts printed inside,/mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/make_my_plot_journal_presets/PRIVATE_REFERENCE_ONLY/corpus/PMC11687419/figures/Fig3.jpg,cell_2
PMC11687419,Molecular Cell,Cell,3,C,heatmap,none,out,none,white,na,na,na,na,na,UNKNOWN,none,na,na,0,diverging,blue_red,none,upper,bold,larger,sans,regular,yes,na,na,yes,normal,45,square,high,values printed in cells; no colourbar,/mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/make_my_plot_journal_presets/PRIVATE_REFERENCE_ONLY/corpus/PMC11687419/figures/Fig3.jpg,cell_2
PMC11687419,Molecular Cell,Cell,3,D,heatmap,box,out,none,white,na,na,na,na,heavy,UNKNOWN,inside,no,2,2,mixed,other,bottom,upper,bold,larger,sans,regular,yes,na,na,yes,sparse,0,square,medium,"four different white-to-colour cmaps (magenta, green, orange-red, blue); profile lines above heatmaps",/mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/make_my_plot_journal_presets/PRIVATE_REFERENCE_ONLY/corpus/PMC11687419/figures/Fig3.jpg,cell_2
PMC11687419,Molecular Cell,Cell,3,E,other_quant,L,UNKNOWN,none,white,none,na,na,na,na,UNKNOWN,none,na,na,4,muted,na,na,upper,bold,larger,sans,regular,no,na,na,no,sparse,na,square,low,genome browser tracks with shaded highlight regions; tick_direction UNKNOWN because small,/mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/make_my_plot_journal_presets/PRIVATE_REFERENCE_ONLY/corpus/PMC11687419/figures/Fig3.jpg,cell_2
PMC11687419,Molecular Cell,Cell,3,F,scatter,box,out,none,white,none,na,mixed,medium,na,UNKNOWN,inside,no,3,3,muted,na,na,upper,bold,larger,sans,regular,no,na,na,no,sparse,0,wide,medium,grey open circles with three filled highlighted points; text labels on outliers,/mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/make_my_plot_journal_presets/PRIVATE_REFERENCE_ONLY/corpus/PMC11687419/figures/Fig3.jpg,cell_2
PMC11687419,Molecular Cell,Cell,4,A,sankey,B,none,none,white,na,na,na,na,na,UNKNOWN,outside_top,no,2,3,saturated,na,na,upper,bold,larger,sans,regular,no,na,na,yes,sparse,0,tall,medium,counts printed inside nodes,/mnt/c/Users/spoudel1/OneDrive - St. Jude Children's Research Hospital/make_my_plot_journal_presets/PRIVATE_REFERENCE_ONLY/corpus/PMC11687419/figures/Fig4.jpg,cell_2
