condition,replicate,measurement,unit,experiment_batch
Control,R1,0.977,relative_signal,Batch_1
Control,R2,0.972,relative_signal,Batch_1
Control,R3,0.982,relative_signal,Batch_1
Control,R4,1.112,relative_signal,Batch_2
Control,R5,0.98,relative_signal,Batch_2
Control,R6,0.76,relative_signal,Batch_2
Drug_A,R1,1.603,relative_signal,Batch_1
Drug_A,R2,1.507,relative_signal,Batch_1
Drug_A,R3,1.515,relative_signal,Batch_1
Drug_A,R4,1.569,relative_signal,Batch_2
Drug_A,R5,1.587,relative_signal,Batch_2
Drug_A,R6,1.736,relative_signal,Batch_2
Drug_B,R1,0.725,relative_signal,Batch_1
Drug_B,R2,0.638,relative_signal,Batch_1
Drug_B,R3,0.502,relative_signal,Batch_1
Drug_B,R4,0.458,relative_signal,Batch_2
Drug_B,R5,0.659,relative_signal,Batch_2
Drug_B,R6,0.83,relative_signal,Batch_2
Combination,R1,2.157,relative_signal,Batch_1
Combination,R2,2.133,relative_signal,Batch_1
Combination,R3,2.235,relative_signal,Batch_1
Combination,R4,1.917,relative_signal,Batch_2
Combination,R5,2.1,relative_signal,Batch_2
Combination,R6,2.228,relative_signal,Batch_2
