genotype,treatment,replicate,expression,gene,unit
WT,Vehicle,R1,1.105,IL6,relative_mRNA
WT,Vehicle,R2,0.971,IL6,relative_mRNA
WT,Vehicle,R3,1.045,IL6,relative_mRNA
WT,Vehicle,R4,1.03,IL6,relative_mRNA
WT,Vehicle,R5,1.094,IL6,relative_mRNA
WT,Stimulus,R1,1.416,IL6,relative_mRNA
WT,Stimulus,R2,1.618,IL6,relative_mRNA
WT,Stimulus,R3,1.368,IL6,relative_mRNA
WT,Stimulus,R4,1.236,IL6,relative_mRNA
WT,Stimulus,R5,1.477,IL6,relative_mRNA
KO,Vehicle,R1,0.64,IL6,relative_mRNA
KO,Vehicle,R2,0.855,IL6,relative_mRNA
KO,Vehicle,R3,0.83,IL6,relative_mRNA
KO,Vehicle,R4,0.604,IL6,relative_mRNA
KO,Vehicle,R5,0.852,IL6,relative_mRNA
KO,Stimulus,R1,1.18,IL6,relative_mRNA
KO,Stimulus,R2,1.29,IL6,relative_mRNA
KO,Stimulus,R3,1.265,IL6,relative_mRNA
KO,Stimulus,R4,1.314,IL6,relative_mRNA
KO,Stimulus,R5,1.398,IL6,relative_mRNA
