gene	Ctrl_1	Ctrl_2	Ctrl_3	Ctrl_4	DrugA_1	DrugA_2	DrugA_3	DrugA_4	DrugB_1	DrugB_2	DrugB_3	DrugB_4
Gene_01	0.992	-1.131	0.423	-1.054	2.087	1.339	0.572	2.305	0.354	-1.04	0.161	-0.402
Gene_02	0.061	-0.256	0.755	-0.783	1.375	2.198	0.745	1.316	0.111	-0.379	0.356	0.053
Gene_03	-0.519	0.969	0.435	-0.092	0.85	0.769	1.877	1.119	0.253	-0.101	0.339	-0.064
Gene_04	0.42	-0.101	0.456	0.37	1.136	0.727	0.683	0.793	-0.541	0.476	-0.026	0.864
Gene_05	1.254	0.013	-0.851	-0.21	1.159	0.381	1.062	1.358	-0.253	-0.423	-0.417	0.983
Gene_06	-0.088	-0.456	-0.205	0.525	0.823	1.465	1.6	1.612	0.77	-0.303	0.623	-0.436
Gene_07	-0.218	0.658	0.452	0.001	0.545	1.509	0.853	0.692	-0.356	0.136	-1.167	0.198
Gene_08	0.096	-0.321	0.57	0.336	0.867	0.831	1.582	0.366	-0.183	-0.347	0.038	0.116
Gene_09	0.02	0.624	0.125	-0.173	0.534	1.597	1.49	1.998	-0.411	0.015	-0.032	-0.048
Gene_10	0.006	-0.943	0.454	0.359	1.822	2.437	1.025	1.18	0.005	1.068	-0.952	0.267
Gene_11	-0.809	-1.42	-1.111	-0.76	0.588	-0.478	-0.125	-0.64	-0.764	-1.706	-0.375	-1.646
Gene_12	-0.421	0.068	0.014	0.784	0.066	-0.664	-0.308	-0.315	-0.701	-0.889	-1.166	-0.622
Gene_13	-0.291	-0.075	0.099	0.84	-0.054	-0.193	-0.575	0.377	-1.423	-0.911	-2.146	-0.526
Gene_14	-0.733	-0.428	0.582	-0.734	-0.044	0.041	-0.549	0.739	-0.276	-2.184	-1.897	-0.655
Gene_15	-0.717	-0.214	0.071	0.381	-0.123	0.052	-0.427	0.711	-1.372	-0.913	-1.381	-1.042
Gene_16	-0.092	-0.089	-0.558	0.438	0.778	0.134	0.403	0.461	-0.59	-0.933	-0.983	-0.625
Gene_17	0.038	-0.536	0.013	-1.039	-0.003	0.227	0.68	0.083	-0.59	-1.1	-1.663	-1.876
Gene_18	-0.533	-0.751	0.349	-0.114	0.314	0.04	0.574	0.583	-1.455	-1.251	-1.393	-1.992
Gene_19	0.371	0.654	-0.004	-0.271	0.6	-1.29	0.098	0.079	-1.414	-0.335	-0.566	-1.244
Gene_20	-0.048	-0.213	-0.282	-0.72	0.759	0.565	0.439	-0.602	0.044	-0.011	-0.997	-1.597
Gene_21	-0.477	0.23	-0.502	-0.019	1.299	-0.129	1.803	1.562	0.02	-0.078	0.544	0.133
Gene_22	-0.145	-1.42	-0.126	0.992	0.086	0.55	-0.119	1.051	0.576	1.767	0.814	0.495
Gene_23	0.303	-0.278	-0.737	0.166	0.604	0.791	0.907	0.419	0.932	1.656	0.091	1.656
Gene_24	-0.134	-0.422	1.335	0.085	1.454	1.15	-0.224	0.766	0.411	-0.038	-0.274	0.756
Gene_25	0.325	0.215	-0.168	-0.439	0.157	0.395	0.132	0.588	0.687	0.207	0.572	0.282
Gene_26	-0.002	0.279	0.098	0.26	-0.209	0.492	0.852	1.053	-0.179	0.788	1.364	0.602
Gene_27	-0.052	0.248	0.136	0.371	0.74	0.784	0.27	0.606	1.389	0.588	0.607	0.43
Gene_28	0.433	-0.47	0.501	-0.515	0.118	0.813	0.772	0.864	1.284	0.473	0.944	0.2
Gene_29	0.693	0.348	0.295	0.103	0.268	0.52	0.976	0.689	0.768	-0.048	0.8	0.319
Gene_30	-0.596	-0.085	-1.021	0.384	1.169	0.671	0.153	0.18	0.617	-0.633	0.799	1.065
