cell_id,group,replicate,measurement
MUT0281,Mutant,R3,27.8149
WIL0529,Wildtype,R2,39.1353
MUT0115,Mutant,R2,14.5569
MUT0438,Mutant,R1,27.819
MUT0129,Mutant,R1,15.2996
WIL0611,Wildtype,R3,25.2592
WIL0109,Wildtype,R2,9.4378
WIL0271,Wildtype,R2,27.5347
MUT0169,Mutant,R2,14.8102
WIL0400,Wildtype,R2,23.6383
WIL0129,Wildtype,R1,17.9046
WIL0124,Wildtype,R2,9.6233
MUT0187,Mutant,R2,15.298
MUT0022,Mutant,R2,15.0571
WIL0055,Wildtype,R2,12.7044
WIL0455,Wildtype,R3,31.3818
WIL0456,Wildtype,R1,20.4995
MUT0250,Mutant,R2,24.1636
MUT0214,Mutant,R2,28.0008
WIL0472,Wildtype,R2,21.0228
WIL0217,Wildtype,R2,9.2689
WIL0616,Wildtype,R2,29.9511
WIL0110,Wildtype,R3,15.0832
MUT0023,Mutant,R3,13.0553
MUT0404,Mutant,R3,28.7421
MUT0089,Mutant,R3,8.4874
WIL0327,Wildtype,R1,33.0915
WIL0047,Wildtype,R3,12.593
WIL0100,Wildtype,R2,15.3847
WIL0432,Wildtype,R1,24.2393
WIL0114,Wildtype,R1,5.651
WIL0413,Wildtype,R3,40.7657
WIL0390,Wildtype,R1,40.3804
MUT0280,Mutant,R2,22.8304
MUT0221,Mutant,R3,34.276
MUT0396,Mutant,R1,18.6794
MUT0002,Mutant,R3,12.574
MUT0008,Mutant,R3,19.4576
WIL0035,Wildtype,R3,12.5809
WIL0460,Wildtype,R2,29.8399
MUT0244,Mutant,R2,28.4164
WIL0315,Wildtype,R1,32.2033
MUT0363,Mutant,R1,32.2842
WIL0180,Wildtype,R1,16.1076
WIL0468,Wildtype,R1,25.6461
WIL0054,Wildtype,R1,14.9601
WIL0541,Wildtype,R2,26.9801
WIL0363,Wildtype,R1,38.7748
WIL0171,Wildtype,R1,11.0621
MUT0297,Mutant,R1,20.6006
WIL0098,Wildtype,R3,10.7195
WIL0423,Wildtype,R1,27.8162
WIL0010,Wildtype,R2,14.0075
WIL0254,Wildtype,R3,44.0667
WIL0535,Wildtype,R2,33.0545
WIL0147,Wildtype,R1,18.8114
MUT0385,Mutant,R2,24.3634
WIL0320,Wildtype,R3,28.2268
WIL0573,Wildtype,R1,32.8825
WIL0578,Wildtype,R3,30.1863
MUT0316,Mutant,R2,34.3062
MUT0159,Mutant,R1,14.861
WIL0389,Wildtype,R3,41.5044
WIL0443,Wildtype,R3,33.412
MUT0188,Mutant,R3,14.9794
MUT0241,Mutant,R2,26.1536
WIL0245,Wildtype,R3,38.7597
MUT0201,Mutant,R1,14.6301
MUT0365,Mutant,R3,28.8233
WIL0532,Wildtype,R2,37.6303
WIL0024,Wildtype,R1,15.3847
WIL0173,Wildtype,R3,13.3271
MUT0016,Mutant,R2,16.7945
MUT0364,Mutant,R2,25.1411
WIL0601,Wildtype,R2,27.3035
MUT0232,Mutant,R2,19.5272
MUT0224,Mutant,R3,25.1022
WIL0446,Wildtype,R3,26.728
MUT0151,Mutant,R2,16.3071
WIL0501,Wildtype,R1,28.2206
MUT0399,Mutant,R1,38.9024
WIL0187,Wildtype,R2,17.2988
WIL0260,Wildtype,R3,32.6415
WIL0348,Wildtype,R1,38.5093
MUT0061,Mutant,R2,12.0281
WIL0490,Wildtype,R2,34.5133
MUT0322,Mutant,R2,25.9194
WIL0415,Wildtype,R2,29.274
WIL0557,Wildtype,R3,40.6157
WIL0448,Wildtype,R2,29.6948
WIL0041,Wildtype,R3,14.1433
MUT0038,Mutant,R3,16.1268
MUT0137,Mutant,R3,17.3735
WIL0221,Wildtype,R3,38.8707
MUT0043,Mutant,R2,12.0813
MUT0183,Mutant,R1,6.9746
MUT0148,Mutant,R2,15.2759
MUT0239,Mutant,R3,32.7037
WIL0165,Wildtype,R1,17.4498
MUT0080,Mutant,R3,12.4692
MUT0342,Mutant,R1,31.3315
MUT0109,Mutant,R2,15.4445
MUT0412,Mutant,R2,33.4073
WIL0531,Wildtype,R1,40.8428
MUT0272,Mutant,R3,14.0573
WIL0197,Wildtype,R3,19.4577
MUT0106,Mutant,R2,12.8771
MUT0072,Mutant,R1,19.3182
MUT0390,Mutant,R1,22.0534
WIL0499,Wildtype,R2,32.5973
MUT0302,Mutant,R3,22.8427
WIL0361,Wildtype,R2,25.1123
MUT0246,Mutant,R1,28.1456
MUT0194,Mutant,R3,9.2068
WIL0014,Wildtype,R3,15.6263
WIL0427,Wildtype,R2,30.211
WIL0378,Wildtype,R1,34.2371
MUT0268,Mutant,R2,31.2682
WIL0527,Wildtype,R3,28.6049
MUT0128,Mutant,R3,6.7863
MUT0453,Mutant,R1,28.0215
MUT0480,Mutant,R1,35.4583
MUT0037,Mutant,R2,12.7631
WIL0526,Wildtype,R2,36.6154
WIL0126,Wildtype,R1,15.0749
WIL0419,Wildtype,R3,33.8741
MUT0262,Mutant,R2,30.3865
WIL0505,Wildtype,R2,30.3859
MUT0447,Mutant,R1,33.3484
WIL0061,Wildtype,R2,13.8524
WIL0319,Wildtype,R2,33.0523
WIL0005,Wildtype,R3,16.0643
WIL0205,Wildtype,R2,12.3035
MUT0418,Mutant,R2,27.2558
MUT0440,Mutant,R3,28.121
WIL0307,Wildtype,R2,26.0133
WIL0141,Wildtype,R1,16.2962
WIL0095,Wildtype,R3,16.9374
MUT0308,Mutant,R3,26.583
WIL0142,Wildtype,R2,9.0005
WIL0612,Wildtype,R1,34.213
WIL0467,Wildtype,R3,35.6939
MUT0138,Mutant,R1,5.0
WIL0397,Wildtype,R2,41.9102
WIL0059,Wildtype,R3,16.8251
MUT0470,Mutant,R3,32.6061
WIL0190,Wildtype,R2,17.0412
WIL0025,Wildtype,R2,8.3234
MUT0143,Mutant,R3,8.2251
MUT0127,Mutant,R2,13.0256
MUT0479,Mutant,R3,29.284
WIL0026,Wildtype,R3,16.7943
WIL0172,Wildtype,R2,14.1492
WIL0229,Wildtype,R2,34.7134
WIL0473,Wildtype,R3,30.9624
MUT0329,Mutant,R3,32.0426
WIL0131,Wildtype,R3,16.585
WIL0154,Wildtype,R2,14.8286
MUT0087,Mutant,R1,15.4131
MUT0050,Mutant,R3,12.3298
MUT0436,Mutant,R2,24.4862
WIL0431,Wildtype,R3,36.9263
WIL0099,Wildtype,R1,8.8867
MUT0446,Mutant,R3,23.9263
WIL0076,Wildtype,R2,6.4636
WIL0298,Wildtype,R2,29.6948
WIL0475,Wildtype,R2,31.6676
MUT0178,Mutant,R2,13.227
WIL0436,Wildtype,R2,29.6995
WIL0285,Wildtype,R1,36.9313
MUT0036,Mutant,R1,13.8012
MUT0084,Mutant,R1,12.8686
WIL0135,Wildtype,R1,13.6366
WIL0433,Wildtype,R2,31.6662
MUT0375,Mutant,R1,25.7343
WIL0566,Wildtype,R3,25.7417
WIL0004,Wildtype,R2,10.952
MUT0233,Mutant,R3,27.0719
WIL0169,Wildtype,R2,10.7453
MUT0405,Mutant,R1,27.2821
WIL0018,Wildtype,R1,8.6971
WIL0376,Wildtype,R2,22.7408
WIL0027,Wildtype,R1,17.9317
MUT0180,Mutant,R1,9.1562
MUT0030,Mutant,R1,14.9665
WIL0337,Wildtype,R2,26.1504
MUT0458,Mutant,R3,35.4176
MUT0229,Mutant,R2,21.8699
MUT0202,Mutant,R2,23.2873
WIL0062,Wildtype,R3,15.5523
WIL0206,Wildtype,R3,10.7629
MUT0052,Mutant,R2,13.0661
WIL0084,Wildtype,R1,11.9664
MUT0381,Mutant,R1,39.9428
MUT0469,Mutant,R2,26.685
MUT0260,Mutant,R3,24.5461
WIL0524,Wildtype,R3,30.4793
WIL0493,Wildtype,R2,23.3654
MUT0218,Mutant,R3,20.8404
WIL0510,Wildtype,R1,33.7787
WIL0223,Wildtype,R2,27.4369
MUT0077,Mutant,R3,11.8471
WIL0421,Wildtype,R2,24.7051
WIL0263,Wildtype,R3,24.4453
MUT0133,Mutant,R2,15.2297
MUT0248,Mutant,R3,45.87
MUT0235,Mutant,R2,42.8525
WIL0318,Wildtype,R1,23.2776
MUT0191,Mutant,R3,14.3486
WIL0075,Wildtype,R1,16.1189
MUT0293,Mutant,R3,24.1402
WIL0326,Wildtype,R3,34.1507
MUT0093,Mutant,R1,8.3015
MUT0054,Mutant,R1,6.5871
MUT0216,Mutant,R1,34.7759
WIL0225,Wildtype,R1,32.2208
MUT0474,Mutant,R1,24.6328
MUT0095,Mutant,R3,16.3601
MUT0103,Mutant,R2,12.7147
WIL0218,Wildtype,R3,24.6883
WIL0386,Wildtype,R3,32.6244
WIL0511,Wildtype,R2,30.2316
WIL0583,Wildtype,R2,31.6628
WIL0548,Wildtype,R3,26.4542
WIL0317,Wildtype,R3,29.8552
WIL0306,Wildtype,R1,28.0778
MUT0393,Mutant,R1,32.3474
WIL0358,Wildtype,R2,33.8062
MUT0182,Mutant,R3,18.7728
MUT0173,Mutant,R3,9.121
WIL0295,Wildtype,R2,28.3679
MUT0264,Mutant,R1,11.375
WIL0111,Wildtype,R1,6.4057
MUT0328,Mutant,R2,27.5719
WIL0591,Wildtype,R1,20.5982
WIL0058,Wildtype,R2,12.6439
WIL0359,Wildtype,R3,44.7573
MUT0247,Mutant,R2,26.3343
WIL0007,Wildtype,R2,14.0039
WIL0286,Wildtype,R2,25.0135
WIL0588,Wildtype,R1,24.4217
MUT0427,Mutant,R2,31.2706
WIL0139,Wildtype,R2,14.981
WIL0164,Wildtype,R3,9.4111
MUT0306,Mutant,R1,24.5941
WIL0599,Wildtype,R3,26.0603
WIL0568,Wildtype,R2,26.9107
MUT0476,Mutant,R3,24.4159
WIL0044,Wildtype,R3,12.007
MUT0097,Mutant,R2,13.6622
MUT0125,Mutant,R3,9.1164
WIL0064,Wildtype,R2,16.0614
MUT0033,Mutant,R1,10.1545
MUT0242,Mutant,R3,35.825
WIL0447,Wildtype,R1,34.296
WIL0039,Wildtype,R1,14.662
MUT0407,Mutant,R3,26.1359
MUT0314,Mutant,R3,36.3152
WIL0329,Wildtype,R3,33.8307
WIL0020,Wildtype,R3,14.3833
WIL0375,Wildtype,R1,23.2576
MUT0462,Mutant,R1,22.234
WIL0508,Wildtype,R2,47.3733
MUT0217,Mutant,R2,22.0006
MUT0271,Mutant,R2,31.7017
MUT0196,Mutant,R2,10.512
MUT0240,Mutant,R1,33.1889
WIL0138,Wildtype,R1,13.2173
WIL0410,Wildtype,R3,22.5603
WIL0186,Wildtype,R1,13.068
MUT0166,Mutant,R2,12.0614
MUT0012,Mutant,R1,13.4559
MUT0324,Mutant,R1,17.7654
MUT0298,Mutant,R2,19.3148
MUT0065,Mutant,R3,12.5162
WIL0424,Wildtype,R2,23.0056
WIL0610,Wildtype,R2,26.9582
WIL0597,Wildtype,R1,35.8466
MUT0032,Mutant,R3,5.9735
MUT0270,Mutant,R1,25.593
WIL0149,Wildtype,R3,17.5463
MUT0345,Mutant,R1,37.0145
MUT0063,Mutant,R1,18.3219
MUT0181,Mutant,R2,9.203
WIL0565,Wildtype,R2,26.7033
WIL0368,Wildtype,R3,29.3128
MUT0047,Mutant,R3,9.6219
MUT0152,Mutant,R3,9.6589
WIL0504,Wildtype,R1,34.1702
WIL0233,Wildtype,R3,41.336
MUT0315,Mutant,R1,29.8452
WIL0340,Wildtype,R2,29.3152
WIL0159,Wildtype,R1,13.0136
WIL0257,Wildtype,R3,30.0877
MUT0004,Mutant,R2,12.1485
WIL0097,Wildtype,R2,15.3547
MUT0448,Mutant,R2,35.0362
WIL0309,Wildtype,R1,27.2515
WIL0463,Wildtype,R2,27.4404
WIL0519,Wildtype,R1,27.293
MUT0275,Mutant,R3,24.8807
WIL0404,Wildtype,R3,33.0511
MUT0290,Mutant,R3,31.2128
MUT0437,Mutant,R3,28.0482
WIL0250,Wildtype,R2,32.8814
WIL0453,Wildtype,R1,35.0774
WIL0016,Wildtype,R2,10.5279
WIL0160,Wildtype,R2,15.4304
WIL0595,Wildtype,R2,27.3742
WIL0571,Wildtype,R2,40.2412
WIL0049,Wildtype,R2,5.7239
WIL0474,Wildtype,R1,34.7506
WIL0380,Wildtype,R3,26.7354
WIL0492,Wildtype,R1,33.6472
MUT0177,Mutant,R1,13.2838
MUT0044,Mutant,R3,8.2701
WIL0373,Wildtype,R2,28.3496
MUT0085,Mutant,R2,12.5206
MUT0078,Mutant,R1,12.8824
WIL0450,Wildtype,R1,26.8195
WIL0416,Wildtype,R3,24.5877
WIL0128,Wildtype,R3,18.3633
WIL0559,Wildtype,R2,23.9914
WIL0512,Wildtype,R3,29.3091
MUT0167,Mutant,R3,14.8559
WIL0238,Wildtype,R2,20.5146
WIL0168,Wildtype,R1,13.6489
MUT0273,Mutant,R1,32.9794
WIL0523,Wildtype,R2,36.6275
WIL0081,Wildtype,R1,13.9962
MUT0252,Mutant,R1,34.7906
WIL0301,Wildtype,R2,20.1562
MUT0154,Mutant,R2,18.5157
WIL0325,Wildtype,R2,35.5617
WIL0345,Wildtype,R1,23.366
WIL0216,Wildtype,R1,11.6379
WIL0398,Wildtype,R3,22.7953
WIL0031,Wildtype,R2,14.7048
WIL0243,Wildtype,R1,31.1108
WIL0596,Wildtype,R3,32.8867
MUT0117,Mutant,R1,11.8283
MUT0263,Mutant,R3,31.3656
WIL0558,Wildtype,R1,30.6893
WIL0418,Wildtype,R2,32.7116
MUT0013,Mutant,R2,17.8667
MUT0157,Mutant,R2,12.8748
WIL0028,Wildtype,R2,15.1258
WIL0351,Wildtype,R1,31.6746
WIL0123,Wildtype,R1,12.2959
MUT0307,Mutant,R2,18.5077
MUT0410,Mutant,R3,39.4892
MUT0417,Mutant,R1,29.0455
MUT0175,Mutant,R2,19.162
MUT0058,Mutant,R2,13.5244
MUT0066,Mutant,R1,18.1415
WIL0203,Wildtype,R3,14.3905
MUT0466,Mutant,R2,39.7759
WIL0272,Wildtype,R3,32.841
MUT0423,Mutant,R1,26.2144
WIL0554,Wildtype,R3,26.7931
WIL0278,Wildtype,R3,33.7967
MUT0338,Mutant,R3,26.837
MUT0384,Mutant,R1,17.1951
WIL0515,Wildtype,R3,39.1207
MUT0353,Mutant,R3,31.2757
MUT0193,Mutant,R2,16.0625
WIL0148,Wildtype,R2,15.1629
WIL0300,Wildtype,R1,21.2275
WIL0494,Wildtype,R3,33.3279
MUT0374,Mutant,R3,24.801
MUT0024,Mutant,R1,15.4159
WIL0178,Wildtype,R2,15.5116
MUT0401,Mutant,R3,24.4479
WIL0052,Wildtype,R2,6.3313
WIL0484,Wildtype,R2,28.9548
MUT0352,Mutant,R2,30.1107
WIL0563,Wildtype,R3,27.9109
WIL0023,Wildtype,R3,18.7661
MUT0478,Mutant,R2,34.8007
MUT0323,Mutant,R3,34.8367
MUT0434,Mutant,R3,32.1921
WIL0408,Wildtype,R1,22.5733
WIL0464,Wildtype,R3,32.6801
MUT0349,Mutant,R2,29.9337
WIL0210,Wildtype,R1,12.0043
WIL0409,Wildtype,R2,27.7363
WIL0143,Wildtype,R3,16.1036
WIL0051,Wildtype,R1,13.498
WIL0352,Wildtype,R2,32.2035
WIL0167,Wildtype,R3,15.8275
MUT0120,Mutant,R1,12.7363
MUT0001,Mutant,R2,13.5258
WIL0082,Wildtype,R2,12.1126
MUT0055,Mutant,R2,15.7567
WIL0322,Wildtype,R2,34.1482
MUT0334,Mutant,R2,25.6657
MUT0430,Mutant,R2,29.2123
WIL0509,Wildtype,R3,39.4572
WIL0067,Wildtype,R2,17.6492
WIL0335,Wildtype,R3,23.4305
MUT0351,Mutant,R1,19.6648
MUT0156,Mutant,R1,15.8395
WIL0290,Wildtype,R3,24.2466
MUT0121,Mutant,R2,12.133
WIL0396,Wildtype,R1,30.5398
MUT0219,Mutant,R1,31.9345
WIL0284,Wildtype,R3,24.8901
MUT0212,Mutant,R3,31.5261
WIL0552,Wildtype,R1,46.5466
WIL0362,Wildtype,R3,39.1457
MUT0450,Mutant,R1,23.9845
WIL0065,Wildtype,R3,12.4398
MUT0413,Mutant,R3,29.254
MUT0139,Mutant,R2,9.9449
WIL0265,Wildtype,R2,28.6788
MUT0142,Mutant,R2,15.4085
MUT0211,Mutant,R2,22.8539
WIL0598,Wildtype,R2,35.3381
WIL0021,Wildtype,R1,18.5398
WIL0066,Wildtype,R1,16.3771
MUT0454,Mutant,R2,23.3104
MUT0409,Mutant,R2,42.8986
MUT0199,Mutant,R2,18.9382
WIL0297,Wildtype,R1,21.5816
WIL0603,Wildtype,R1,31.8718
WIL0420,Wildtype,R1,25.8504
MUT0007,Mutant,R2,19.0417
MUT0170,Mutant,R3,13.2378
WIL0262,Wildtype,R2,27.6764
WIL0308,Wildtype,R3,33.35
MUT0150,Mutant,R1,15.8342
WIL0592,Wildtype,R2,26.5112
WIL0458,Wildtype,R3,36.1796
MUT0048,Mutant,R1,14.0942
WIL0542,Wildtype,R3,34.6671
WIL0579,Wildtype,R1,37.7758
MUT0356,Mutant,R3,26.4846
WIL0189,Wildtype,R1,11.5594
MUT0135,Mutant,R1,11.7495
WIL0252,Wildtype,R1,28.7802
WIL0072,Wildtype,R1,15.9575
WIL0102,Wildtype,R1,18.5697
WIL0200,Wildtype,R3,10.6747
WIL0485,Wildtype,R3,22.4833
MUT0237,Mutant,R1,19.888
MUT0238,Mutant,R2,35.5486
WIL0620,Wildtype,R3,30.4764
MUT0112,Mutant,R2,15.1216
WIL0152,Wildtype,R3,10.3834
MUT0243,Mutant,R1,19.7409
WIL0331,Wildtype,R2,35.8624
WIL0274,Wildtype,R2,29.0474
MUT0421,Mutant,R2,26.1145
WIL0385,Wildtype,R2,30.4083
MUT0186,Mutant,R1,15.3243
WIL0452,Wildtype,R3,34.2321
WIL0366,Wildtype,R1,18.45
WIL0282,Wildtype,R1,24.7477
MUT0336,Mutant,R1,16.5573
MUT0266,Mutant,R3,30.2096
WIL0412,Wildtype,R2,28.23
MUT0105,Mutant,R1,11.0271
MUT0279,Mutant,R1,37.0142
MUT0428,Mutant,R3,33.7698
WIL0569,Wildtype,R3,30.2097
MUT0179,Mutant,R3,12.3618
WIL0150,Wildtype,R1,11.4646
WIL0483,Wildtype,R1,32.5994
WIL0208,Wildtype,R2,20.6907
MUT0296,Mutant,R3,25.6705
WIL0219,Wildtype,R1,34.527
WIL0240,Wildtype,R1,27.5225
WIL0614,Wildtype,R3,30.9913
WIL0356,Wildtype,R3,31.4202
WIL0619,Wildtype,R2,37.3948
WIL0193,Wildtype,R2,16.439
WIL0281,Wildtype,R3,29.863
WIL0192,Wildtype,R1,16.9737
WIL0488,Wildtype,R3,36.3397
WIL0514,Wildtype,R2,25.9505
MUT0339,Mutant,R1,32.0699
MUT0176,Mutant,R3,17.6688
WIL0133,Wildtype,R2,9.91
MUT0366,Mutant,R1,18.8034
MUT0361,Mutant,R2,23.6687
WIL0253,Wildtype,R2,35.1831
MUT0172,Mutant,R2,13.988
WIL0604,Wildtype,R2,34.5179
WIL0264,Wildtype,R1,38.4052
WIL0071,Wildtype,R3,11.0796
WIL0273,Wildtype,R1,30.6072
WIL0113,Wildtype,R3,15.3034
WIL0328,Wildtype,R2,31.9615
WIL0116,Wildtype,R3,13.6659
WIL0324,Wildtype,R1,31.5686
MUT0459,Mutant,R1,34.1187
MUT0163,Mutant,R2,15.2166
WIL0587,Wildtype,R3,35.5828
WIL0545,Wildtype,R3,28.7323
MUT0110,Mutant,R3,11.0277
MUT0287,Mutant,R3,33.0687
WIL0564,Wildtype,R1,23.6649
MUT0234,Mutant,R1,22.0457
MUT0132,Mutant,R1,17.0165
WIL0438,Wildtype,R1,32.6543
