time_hours	treatment	replicate	signal	unit
0	Vehicle	R1	1.058	fold_change
2	Vehicle	R1	0.992	fold_change
4	Vehicle	R1	0.965	fold_change
8	Vehicle	R1	1.082	fold_change
12	Vehicle	R1	1.124	fold_change
24	Vehicle	R1	1.544	fold_change
48	Vehicle	R1	1.729	fold_change
0	Vehicle	R2	0.967	fold_change
2	Vehicle	R2	1.085	fold_change
4	Vehicle	R2	1.232	fold_change
8	Vehicle	R2	1.167	fold_change
12	Vehicle	R2	1.34	fold_change
24	Vehicle	R2	1.44	fold_change
48	Vehicle	R2	1.886	fold_change
0	Vehicle	R3	0.933	fold_change
2	Vehicle	R3	1.193	fold_change
4	Vehicle	R3	1.179	fold_change
8	Vehicle	R3	1.209	fold_change
12	Vehicle	R3	1.573	fold_change
24	Vehicle	R3	1.477	fold_change
48	Vehicle	R3	2.022	fold_change
0	Vehicle	R4	1.031	fold_change
2	Vehicle	R4	1.018	fold_change
4	Vehicle	R4	1.312	fold_change
8	Vehicle	R4	1.311	fold_change
12	Vehicle	R4	1.1	fold_change
24	Vehicle	R4	1.44	fold_change
48	Vehicle	R4	2.003	fold_change
0	Drug_A	R1	1.078	fold_change
2	Drug_A	R1	1.049	fold_change
4	Drug_A	R1	1.115	fold_change
8	Drug_A	R1	1.393	fold_change
12	Drug_A	R1	1.751	fold_change
24	Drug_A	R1	2.027	fold_change
48	Drug_A	R1	2.213	fold_change
0	Drug_A	R2	0.923	fold_change
2	Drug_A	R2	1.062	fold_change
4	Drug_A	R2	1.138	fold_change
8	Drug_A	R2	1.617	fold_change
12	Drug_A	R2	1.796	fold_change
24	Drug_A	R2	2.137	fold_change
48	Drug_A	R2	2.257	fold_change
0	Drug_A	R3	0.981	fold_change
2	Drug_A	R3	1.319	fold_change
4	Drug_A	R3	1.327	fold_change
8	Drug_A	R3	1.518	fold_change
12	Drug_A	R3	1.706	fold_change
24	Drug_A	R3	1.979	fold_change
48	Drug_A	R3	1.961	fold_change
0	Drug_A	R4	1.016	fold_change
2	Drug_A	R4	1.209	fold_change
4	Drug_A	R4	1.304	fold_change
8	Drug_A	R4	1.513	fold_change
12	Drug_A	R4	1.796	fold_change
24	Drug_A	R4	2.209	fold_change
48	Drug_A	R4	2.182	fold_change
0	Drug_B	R1	1.319	fold_change
2	Drug_B	R1	1.426	fold_change
4	Drug_B	R1	1.599	fold_change
8	Drug_B	R1	1.689	fold_change
12	Drug_B	R1	1.887	fold_change
24	Drug_B	R1	1.376	fold_change
48	Drug_B	R1	1.185	fold_change
0	Drug_B	R2	1.464	fold_change
2	Drug_B	R2	1.589	fold_change
4	Drug_B	R2	1.535	fold_change
8	Drug_B	R2	1.882	fold_change
12	Drug_B	R2	1.786	fold_change
24	Drug_B	R2	1.401	fold_change
48	Drug_B	R2	1.042	fold_change
0	Drug_B	R3	1.293	fold_change
2	Drug_B	R3	1.685	fold_change
4	Drug_B	R3	1.663	fold_change
8	Drug_B	R3	1.625	fold_change
12	Drug_B	R3	1.955	fold_change
24	Drug_B	R3	1.329	fold_change
48	Drug_B	R3	1.0	fold_change
0	Drug_B	R4	1.417	fold_change
2	Drug_B	R4	1.525	fold_change
4	Drug_B	R4	1.402	fold_change
8	Drug_B	R4	1.7	fold_change
12	Drug_B	R4	1.977	fold_change
24	Drug_B	R4	1.5	fold_change
48	Drug_B	R4	1.191	fold_change
