gene	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12
Gene_001	5.18	4.891	4.824	4.609	5.013	6.236	6.088	5.804	5.54	5.636	5.162	6.414
Gene_002	4.263	5.317	4.707	5.074	5.24	4.501	5.704	6.11	6.185	5.96	5.291	6.24
Gene_003	5.188	5.825	4.696	5.574	4.766	5.718	5.379	6.028	5.816	6.002	5.26	6.329
Gene_004	5.25	5.497	4.397	6.278	4.848	5.174	5.661	6.212	5.037	5.923	6.017	5.157
Gene_005	4.304	4.611	4.311	5.027	4.499	5.349	6.086	5.494	5.951	5.852	5.809	5.612
Gene_006	4.771	4.878	4.677	5.303	4.836	5.228	5.402	6.598	5.905	5.671	5.617	6.285
Gene_007	5.221	4.969	5.137	4.657	4.592	5.415	5.818	6.341	5.917	5.927	5.867	5.918
Gene_008	4.497	5.823	5.393	5.413	4.754	5.069	6.094	5.872	5.349	5.898	5.786	6.142
Gene_009	4.806	4.744	4.366	5.467	5.47	4.931	6.269	5.822	6.089	6.802	6.216	6.505
Gene_010	4.573	5.032	5.156	4.967	4.374	4.861	5.754	6.553	5.566	6.429	5.824	5.945
Gene_011	4.183	4.749	4.082	5.191	4.518	5.147	5.708	5.644	5.806	6.419	5.615	5.556
Gene_012	5.038	5.149	4.582	4.196	5.069	5.7	5.339	5.673	5.785	5.637	4.92	5.674
Gene_013	4.701	4.67	5.238	4.944	5.151	4.958	5.939	6.165	5.653	6.24	6.046	6.26
Gene_014	5.104	4.132	4.759	5.044	5.498	5.516	5.892	6.629	5.473	6.491	5.303	5.75
Gene_015	4.586	5.142	4.611	4.933	4.138	5.201	5.546	5.57	6.125	6.264	5.14	6.503
Gene_016	4.438	4.296	5.473	5.469	5.084	6.021	6.027	5.817	5.837	6.71	5.654	5.779
Gene_017	4.293	4.905	5.062	5.857	5.002	5.659	5.907	6.134	6.384	5.998	5.834	6.229
Gene_018	4.793	5.558	5.261	5.906	5.298	5.266	5.856	6.106	6.236	5.916	5.833	5.596
Gene_019	5.037	4.968	4.975	4.76	5.413	5.527	3.859	5.091	4.153	5.159	5.12	5.672
Gene_020	4.545	5.462	5.289	4.855	4.687	5.541	5.378	5.079	4.343	5.331	4.858	4.671
Gene_021	5.127	5.493	4.885	5.822	5.111	5.104	5.657	5.457	4.326	5.734	5.083	5.451
Gene_022	4.835	5.162	4.168	5.177	4.375	5.207	4.516	5.278	4.646	4.964	5.006	5.339
Gene_023	5.528	5.128	4.3	5.134	4.988	5.797	4.99	5.842	4.989	5.017	5.24	4.527
Gene_024	4.827	4.823	4.913	5.109	4.816	5.169	4.827	5.141	5.074	5.361	4.848	5.403
Gene_025	5.233	4.458	4.484	5.49	4.562	5.447	4.696	5.378	5.488	5.274	5.461	5.506
Gene_026	5.595	5.469	4.554	5.619	4.699	5.84	4.595	5.048	5.201	5.076	4.894	5.16
Gene_027	5.006	5.484	4.835	4.536	5.046	4.979	4.626	4.999	5.637	4.574	5.238	4.822
Gene_028	4.908	5.234	5.006	5.094	5.354	5.385	4.454	5.561	5.086	5.39	4.815	4.607
Gene_029	5.057	6.094	4.982	5.072	5.073	5.757	4.847	5.447	4.603	4.795	5.478	5.474
Gene_030	5.354	5.219	4.754	5.127	4.706	4.982	5.021	5.749	5.209	5.137	4.711	4.993
Gene_031	4.817	5.398	5.01	5.683	4.573	5.767	4.77	5.034	4.187	4.954	5.085	5.188
Gene_032	4.578	5.897	4.715	4.694	4.787	5.622	4.696	4.926	4.419	5.305	4.922	4.793
Gene_033	5.297	5.614	5.133	5.41	5.239	4.503	5.065	5.864	4.399	4.789	5.456	4.762
Gene_034	4.354	4.711	4.247	4.924	4.875	5.356	4.794	6.096	4.285	5.106	5.088	5.571
Gene_035	5.264	4.913	4.984	5.082	4.676	5.249	4.812	5.294	4.922	6.279	5.453	5.181
Gene_036	4.86	5.03	5.129	5.685	4.107	4.924	5.244	5.766	4.957	5.207	4.871	4.96
Gene_037	4.824	5.541	4.613	4.829	4.952	4.867	5.569	4.842	5.41	5.394	5.688	5.885
Gene_038	4.636	5.012	4.823	4.725	4.498	5.084	4.465	5.618	4.979	5.154	4.839	6.323
Gene_039	4.919	5.652	5.001	4.914	5.071	4.444	5.676	5.284	4.581	5.357	4.527	5.22
Gene_040	4.987	5.44	4.259	4.809	4.631	4.899	4.755	5.422	4.643	4.843	4.364	4.938
Gene_041	4.597	5.409	5.222	5.636	5.168	5.609	5.024	5.107	5.304	6.032	4.444	5.207
Gene_042	5.409	5.141	5.316	4.804	5.27	4.375	4.964	5.784	4.399	5.332	4.929	5.654
Gene_043	5.18	5.663	4.911	4.694	4.608	5.234	4.494	4.419	4.726	5.164	4.696	5.398
Gene_044	5.334	5.301	5.362	4.922	5.102	4.766	5.229	6.023	4.186	4.769	4.195	5.119
Gene_045	5.339	5.574	5.257	4.962	5.793	5.257	4.666	4.867	4.134	5.64	4.713	4.849
Gene_046	5.275	5.077	4.893	4.881	5.144	4.427	5.123	4.803	4.576	5.388	4.937	4.376
Gene_047	5.317	5.522	4.553	5.166	5.51	5.273	5.336	5.272	4.465	5.202	5.05	5.944
Gene_048	4.69	5.353	4.375	5.488	4.815	5.745	4.344	5.032	5.252	5.229	4.995	5.736
Gene_049	4.615	5.161	4.421	5.083	5.374	5.212	4.911	4.852	5.367	5.859	5.062	5.447
Gene_050	5.052	4.294	5.235	5.531	5.012	4.55	4.392	4.851	5.226	5.378	4.375	4.705
