cell_id,sample_id,condition,pseudotime,score
Con_1_001,Con_S1,Control,0.2101,2.952
Con_1_002,Con_S1,Control,0.5889,4.063
Con_1_003,Con_S1,Control,0.434,4.217
Con_1_004,Con_S1,Control,0.5852,3.038
Con_1_005,Con_S1,Control,0.7329,4.242
Con_1_006,Con_S1,Control,0.4667,3.761
Con_1_007,Con_S1,Control,0.3449,3.383
Con_1_008,Con_S1,Control,0.6231,3.404
Con_1_009,Con_S1,Control,0.0818,3.085
Con_1_010,Con_S1,Control,0.1557,2.405
Con_1_011,Con_S1,Control,0.4793,3.393
Con_1_012,Con_S1,Control,0.2351,2.218
Con_1_013,Con_S1,Control,0.3113,2.04
Con_1_014,Con_S1,Control,0.1171,2.632
Con_1_015,Con_S1,Control,0.5924,4.172
Con_1_016,Con_S1,Control,0.2269,2.807
Con_1_017,Con_S1,Control,0.7504,4.841
Con_1_018,Con_S1,Control,0.6818,4.779
Con_1_019,Con_S1,Control,0.2401,2.054
Con_1_020,Con_S1,Control,0.3983,2.771
Con_1_021,Con_S1,Control,0.2541,2.102
Con_1_022,Con_S1,Control,0.5246,4.163
Con_1_023,Con_S1,Control,0.5925,4.37
Con_1_024,Con_S1,Control,0.2899,3.685
Con_1_025,Con_S1,Control,0.5611,3.911
Con_1_026,Con_S1,Control,0.5478,3.891
Con_1_027,Con_S1,Control,0.4339,3.13
Con_1_028,Con_S1,Control,0.4886,3.575
Con_1_029,Con_S1,Control,0.8136,4.363
Con_1_030,Con_S1,Control,0.7328,4.086
Con_1_031,Con_S1,Control,0.4546,3.436
Con_1_032,Con_S1,Control,0.5376,3.309
Con_1_033,Con_S1,Control,0.4213,3.192
Con_1_034,Con_S1,Control,0.5589,3.936
Con_1_035,Con_S1,Control,0.7976,3.376
Con_1_036,Con_S1,Control,0.171,1.444
Con_1_037,Con_S1,Control,0.4226,3.735
Con_1_038,Con_S1,Control,0.2105,2.617
Con_1_039,Con_S1,Control,0.3946,3.212
Con_1_040,Con_S1,Control,0.2159,2.644
Con_1_041,Con_S1,Control,0.6888,3.405
Con_1_042,Con_S1,Control,0.0925,2.013
Con_1_043,Con_S1,Control,0.2591,2.666
Con_1_044,Con_S1,Control,0.1365,1.727
Con_1_045,Con_S1,Control,0.3848,2.457
Con_1_046,Con_S1,Control,0.4014,3.286
Con_1_047,Con_S1,Control,0.5753,3.372
Con_1_048,Con_S1,Control,0.0808,1.419
Con_1_049,Con_S1,Control,0.4465,3.347
Con_1_050,Con_S1,Control,0.3885,2.384
Con_1_051,Con_S1,Control,0.395,3.374
Con_1_052,Con_S1,Control,0.0912,1.427
Con_1_053,Con_S1,Control,0.6877,4.58
Con_1_054,Con_S1,Control,0.4373,2.252
Con_1_055,Con_S1,Control,0.9594,4.619
Con_1_056,Con_S1,Control,0.5037,2.891
Con_1_057,Con_S1,Control,0.5094,3.871
Con_1_058,Con_S1,Control,0.3495,2.773
Con_1_059,Con_S1,Control,0.1675,2.628
Con_1_060,Con_S1,Control,0.256,3.215
Con_1_061,Con_S1,Control,0.2556,2.519
Con_1_062,Con_S1,Control,0.4755,3.518
Con_1_063,Con_S1,Control,0.3114,2.612
Con_1_064,Con_S1,Control,0.5788,3.448
Con_1_065,Con_S1,Control,0.266,2.258
Con_1_066,Con_S1,Control,0.5832,3.859
Con_1_067,Con_S1,Control,0.2414,2.12
Con_1_068,Con_S1,Control,0.88,5.127
Con_1_069,Con_S1,Control,0.5682,3.498
Con_1_070,Con_S1,Control,0.1059,2.158
Con_1_071,Con_S1,Control,0.5266,2.984
Con_1_072,Con_S1,Control,0.5428,3.989
Con_1_073,Con_S1,Control,0.5018,3.651
Con_1_074,Con_S1,Control,0.6005,3.192
Con_1_075,Con_S1,Control,0.4499,2.476
Con_1_076,Con_S1,Control,0.5639,3.377
Con_1_077,Con_S1,Control,0.7158,4.031
Con_1_078,Con_S1,Control,0.8284,4.301
Con_1_079,Con_S1,Control,0.5707,3.448
Con_1_080,Con_S1,Control,0.2655,3.39
Con_1_081,Con_S1,Control,0.0675,2.847
Con_1_082,Con_S1,Control,0.3446,2.267
Con_1_083,Con_S1,Control,0.3656,2.778
Con_1_084,Con_S1,Control,0.623,3.92
Con_1_085,Con_S1,Control,0.0728,2.428
Con_1_086,Con_S1,Control,0.5612,3.671
Con_1_087,Con_S1,Control,0.6987,3.578
Con_1_088,Con_S1,Control,0.3221,2.791
Con_1_089,Con_S1,Control,0.4321,3.938
Con_1_090,Con_S1,Control,0.5886,3.678
Con_1_091,Con_S1,Control,0.134,3.328
Con_1_092,Con_S1,Control,0.112,2.832
Con_1_093,Con_S1,Control,0.0901,2.704
Con_1_094,Con_S1,Control,0.6266,4.029
Con_1_095,Con_S1,Control,0.7036,4.847
Con_1_096,Con_S1,Control,0.8559,4.18
Con_1_097,Con_S1,Control,0.7936,4.621
Con_1_098,Con_S1,Control,0.4495,3.024
Con_1_099,Con_S1,Control,0.5354,3.551
Con_1_100,Con_S1,Control,0.7322,4.971
Con_1_101,Con_S1,Control,0.3073,2.259
Con_1_102,Con_S1,Control,0.3508,3.314
Con_1_103,Con_S1,Control,0.3371,3.021
Con_1_104,Con_S1,Control,0.3981,2.578
Con_1_105,Con_S1,Control,0.2708,2.612
Con_1_106,Con_S1,Control,0.2253,3.015
Con_1_107,Con_S1,Control,0.5659,3.298
Con_1_108,Con_S1,Control,0.1934,3.233
Con_1_109,Con_S1,Control,0.3153,2.984
Con_1_110,Con_S1,Control,0.1374,2.515
Con_1_111,Con_S1,Control,0.4993,2.302
Con_1_112,Con_S1,Control,0.3418,2.498
Con_1_113,Con_S1,Control,0.7954,4.47
Con_1_114,Con_S1,Control,0.3866,2.676
Con_1_115,Con_S1,Control,0.4628,3.53
Con_1_116,Con_S1,Control,0.5237,4.275
Con_1_117,Con_S1,Control,0.3386,3.556
Con_1_118,Con_S1,Control,0.4681,3.036
Con_1_119,Con_S1,Control,0.5317,4.836
Con_1_120,Con_S1,Control,0.6333,3.926
Con_2_001,Con_S2,Control,0.423,3.48
Con_2_002,Con_S2,Control,0.7591,4.221
Con_2_003,Con_S2,Control,0.6783,3.68
Con_2_004,Con_S2,Control,0.7935,3.377
Con_2_005,Con_S2,Control,0.2313,3.269
Con_2_006,Con_S2,Control,0.1855,2.797
Con_2_007,Con_S2,Control,0.4455,3.597
Con_2_008,Con_S2,Control,0.3911,2.479
Con_2_009,Con_S2,Control,0.0838,2.385
Con_2_010,Con_S2,Control,0.7532,4.184
Con_2_011,Con_S2,Control,0.3632,2.314
Con_2_012,Con_S2,Control,0.1056,1.817
Con_2_013,Con_S2,Control,0.569,4.354
Con_2_014,Con_S2,Control,0.1265,2.28
Con_2_015,Con_S2,Control,0.7415,3.56
Con_2_016,Con_S2,Control,0.7444,4.625
Con_2_017,Con_S2,Control,0.9009,5.017
Con_2_018,Con_S2,Control,0.0945,2.296
Con_2_019,Con_S2,Control,0.4978,2.49
Con_2_020,Con_S2,Control,0.7016,4.724
Con_2_021,Con_S2,Control,0.8308,4.883
Con_2_022,Con_S2,Control,0.7573,4.54
Con_2_023,Con_S2,Control,0.7172,3.631
Con_2_024,Con_S2,Control,0.3665,1.891
Con_2_025,Con_S2,Control,0.2569,3.562
Con_2_026,Con_S2,Control,0.8332,4.72
Con_2_027,Con_S2,Control,0.6769,3.834
Con_2_028,Con_S2,Control,0.8433,4.132
Con_2_029,Con_S2,Control,0.2934,3.583
Con_2_030,Con_S2,Control,0.6593,4.884
Con_2_031,Con_S2,Control,0.6972,4.029
Con_2_032,Con_S2,Control,0.2383,2.551
Con_2_033,Con_S2,Control,0.3161,2.503
Con_2_034,Con_S2,Control,0.1668,1.976
Con_2_035,Con_S2,Control,0.2706,2.574
Con_2_036,Con_S2,Control,0.8135,4.286
Con_2_037,Con_S2,Control,0.2665,2.838
Con_2_038,Con_S2,Control,0.0942,2.921
Con_2_039,Con_S2,Control,0.2516,3.275
Con_2_040,Con_S2,Control,0.0504,1.505
Con_2_041,Con_S2,Control,0.4672,2.738
Con_2_042,Con_S2,Control,0.212,1.898
Con_2_043,Con_S2,Control,0.2595,3.679
Con_2_044,Con_S2,Control,0.4458,3.84
Con_2_045,Con_S2,Control,0.3767,3.497
Con_2_046,Con_S2,Control,0.128,2.341
Con_2_047,Con_S2,Control,0.2849,3.279
Con_2_048,Con_S2,Control,0.6889,4.245
Con_2_049,Con_S2,Control,0.6686,4.378
Con_2_050,Con_S2,Control,0.8821,3.5
Con_2_051,Con_S2,Control,0.5536,2.641
