sample_id,true_label,score_model_a,score_model_b,cohort
S001,1,0.7364,0.6922,Discovery
S002,1,0.6077,0.4703,Discovery
S003,1,0.4688,0.6595,Discovery
S004,1,0.6718,0.6025,Discovery
S005,1,0.7724,0.9841,Discovery
S006,1,0.999,0.6807,Discovery
S007,1,0.4893,0.2208,Discovery
S008,1,0.8197,0.425,Discovery
S009,1,0.6105,0.4805,Discovery
S010,1,0.7045,0.1777,Discovery
S011,1,0.86,0.2882,Discovery
S012,1,0.9528,0.7492,Discovery
S013,1,0.4318,0.575,Discovery
S014,1,0.7567,0.5636,Discovery
S015,1,0.7663,0.9003,Discovery
S016,1,0.825,0.7347,Discovery
S017,1,0.6314,0.7351,Discovery
S018,1,0.5908,0.4017,Discovery
S019,1,0.9377,0.5489,Discovery
S020,1,0.4416,0.5099,Discovery
S021,1,0.7441,0.3531,Discovery
S022,1,0.5919,0.3352,Discovery
S023,1,0.6443,0.6856,Discovery
S024,1,0.78,0.3718,Discovery
S025,1,0.4566,0.6305,Discovery
S026,1,0.4819,0.577,Discovery
S027,1,0.999,0.4474,Discovery
S028,1,0.139,0.4089,Discovery
S029,1,0.8242,0.4523,Discovery
S030,1,0.4946,0.3343,Discovery
S031,1,0.6605,0.7862,Discovery
S032,1,0.5526,0.5797,Discovery
S033,1,0.4373,0.5272,Discovery
S034,1,0.5941,0.826,Discovery
S035,1,0.7234,0.6389,Discovery
S036,1,0.8638,0.6789,Discovery
S037,1,0.8165,0.6521,Discovery
S038,1,0.7359,0.6239,Discovery
S039,1,0.8446,0.625,Discovery
S040,1,0.5973,0.987,Discovery
S041,1,0.999,0.4975,Discovery
S042,1,0.9082,0.5119,Discovery
S043,1,0.5084,0.5169,Discovery
S044,1,0.8859,0.7764,Discovery
S045,1,0.7986,0.7835,Discovery
S046,1,0.825,0.5334,Discovery
S047,1,0.714,0.8258,Discovery
S048,1,0.509,0.5177,Discovery
S049,1,0.7347,0.7263,Discovery
S050,1,0.6266,0.8652,Discovery
S051,1,0.3356,0.6747,Discovery
S052,1,0.6228,0.2506,Discovery
S053,1,0.9331,0.8179,Discovery
S054,1,0.999,0.733,Discovery
S055,1,0.4895,0.8994,Discovery
S056,1,0.8632,0.5464,Discovery
S057,1,0.8599,0.479,Discovery
S058,1,0.8026,0.5927,Discovery
S059,1,0.7582,0.2779,Discovery
S060,1,0.962,0.23,Discovery
S061,0,0.1303,0.158,Discovery
S062,0,0.5069,0.4795,Discovery
S063,0,0.202,0.6473,Discovery
S064,0,0.1707,0.6914,Discovery
S065,0,0.4539,0.6602,Discovery
S066,0,0.779,0.3803,Discovery
S067,0,0.3042,0.1021,Discovery
S068,0,0.4616,0.5155,Discovery
S069,0,0.3231,0.2687,Discovery
S070,0,0.1946,0.6043,Discovery
S071,0,0.2933,0.1128,Discovery
S072,0,0.2857,0.6111,Discovery
S073,0,0.0448,0.5262,Discovery
S074,0,0.3156,0.1388,Discovery
S075,0,0.3578,0.599,Discovery
S076,0,0.0918,0.2676,Discovery
S077,0,0.5194,0.3851,Discovery
S078,0,0.3068,0.5629,Discovery
S079,0,0.0525,0.5322,Discovery
S080,0,0.2219,0.3406,Discovery
S081,0,0.1531,0.4984,Validation
S082,0,0.3604,0.5782,Validation
S083,0,0.1273,0.0776,Validation
S084,0,0.3811,0.5684,Validation
S085,0,0.441,0.033,Validation
S086,0,0.1613,0.2243,Validation
S087,0,0.4167,0.3165,Validation
S088,0,0.2586,0.2723,Validation
S089,0,0.2897,0.2977,Validation
S090,0,0.2912,0.2262,Validation
S091,0,0.2263,0.3043,Validation
S092,0,0.3734,0.2326,Validation
S093,0,0.1202,0.721,Validation
S094,0,0.231,0.6236,Validation
S095,0,0.1546,0.7044,Validation
S096,0,0.3537,0.6587,Validation
S097,0,0.3005,0.1124,Validation
S098,0,0.001,0.001,Validation
S099,0,0.2095,0.0825,Validation
S100,0,0.0204,0.7249,Validation
S101,0,0.1637,0.3617,Validation
S102,0,0.412,0.4443,Validation
S103,0,0.2528,0.2248,Validation
S104,0,0.001,0.5058,Validation
S105,0,0.5417,0.5214,Validation
S106,0,0.0932,0.001,Validation
S107,0,0.2451,0.4709,Validation
S108,0,0.2015,0.8299,Validation
S109,0,0.001,0.792,Validation
S110,0,0.0173,0.3714,Validation
S111,0,0.4706,0.2461,Validation
S112,0,0.2367,0.3359,Validation
S113,0,0.4483,0.9347,Validation
S114,0,0.0362,0.2607,Validation
S115,0,0.6942,0.5129,Validation
S116,0,0.2293,0.6302,Validation
S117,0,0.2988,0.3477,Validation
S118,0,0.2323,0.2011,Validation
S119,0,0.1069,0.999,Validation
S120,0,0.4433,0.3663,Validation
