sample_id,x_marker,y_response,group,label
S001,3.335,6.113,Responder,
S002,1.952,3.973,Responder,
S003,7.744,11.321,Responder,
S004,5.538,9.743,Responder,S004
S005,0.505,3.101,Responder,
S006,9.326,15.77,Responder,
S007,8.848,15.392,Responder,
S008,1.05,3.074,Responder,
S009,8.841,15.357,Responder,
S010,5.117,9.498,Responder,
S011,1.158,4.257,Responder,
S012,1.72,2.867,Responder,
S013,5.015,8.625,Responder,
S014,8.788,14.513,Responder,
S015,4.52,9.183,Responder,
S016,7.434,14.359,Responder,
S017,2.411,4.394,Responder,
S018,6.674,15.47,Responder,
S019,4.662,8.421,Responder,
S020,2.635,6.121,Responder,
S021,3.712,6.959,Responder,
S022,2.592,5.672,Responder,S022
S023,1.174,3.556,Responder,
S024,9.101,14.607,Responder,
S025,8.667,15.432,Responder,
S026,6.855,12.478,Responder,
S027,2.535,7.943,Responder,
S028,5.925,12.871,Responder,
S029,4.99,9.957,Responder,
S030,2.309,3.605,Responder,
S031,1.421,1.446,Non_responder,
S032,4.937,8.04,Non_responder,
S033,7.426,9.396,Non_responder,
S034,1.435,0,Non_responder,
S035,4.325,5.385,Non_responder,
S036,2.862,6.628,Non_responder,
S037,2.307,2.638,Non_responder,
S038,3.146,5.403,Non_responder,
S039,2.873,5.773,Non_responder,
S040,8.683,12.154,Non_responder,
S041,5.728,12.957,Non_responder,
S042,8.442,13.846,Non_responder,
S043,9.705,16.275,Non_responder,
S044,2.08,2.471,Non_responder,S044
S045,5.114,8.033,Non_responder,
S046,1.057,3.263,Non_responder,
S047,4.1,7.278,Non_responder,
S048,7.949,11.641,Non_responder,
S049,4.823,4.684,Non_responder,
S050,9.957,15.941,Non_responder,
S051,5.78,8.554,Non_responder,
S052,3.319,4.564,Non_responder,
S053,9.703,12.866,Non_responder,
S054,7.606,10.532,Non_responder,
S055,1.043,0.835,Non_responder,
S056,8.601,11.925,Non_responder,
S057,1.996,3.869,Non_responder,
S058,2.265,3.652,Non_responder,
S059,6.153,8.816,Non_responder,
S060,1.639,2.111,Non_responder,
