sample_id,group,cell_type,fraction
S001,Control,T_cell,0.1937
S001,Control,B_cell,0.5031
S001,Control,Myeloid,0.2072
S001,Control,Epithelial,0.0926
S001,Control,Stromal,0.0035
S002,Control,T_cell,0.1101
S002,Control,B_cell,0.0198
S002,Control,Myeloid,0.3826
S002,Control,Epithelial,0.3683
S002,Control,Stromal,0.1192
S003,Control,T_cell,0.2489
S003,Control,B_cell,0.1309
S003,Control,Myeloid,0.3573
S003,Control,Epithelial,0.0666
S003,Control,Stromal,0.1963
S004,Control,T_cell,0.1121
S004,Control,B_cell,0.2871
S004,Control,Myeloid,0.0481
S004,Control,Epithelial,0.3976
S004,Control,Stromal,0.1551
S005,Control,T_cell,0.4941
S005,Control,B_cell,0.2082
S005,Control,Myeloid,0.1094
S005,Control,Epithelial,0.1641
S005,Control,Stromal,0.0241
S006,Control,T_cell,0.1114
S006,Control,B_cell,0.0174
S006,Control,Myeloid,0.2334
S006,Control,Epithelial,0.428
S006,Control,Stromal,0.2098
S007,Control,T_cell,0.2408
S007,Control,B_cell,0.2376
S007,Control,Myeloid,0.2857
S007,Control,Epithelial,0.0942
S007,Control,Stromal,0.1418
S008,Control,T_cell,0.3594
S008,Control,B_cell,0.051
S008,Control,Myeloid,0.1937
S008,Control,Epithelial,0.2074
S008,Control,Stromal,0.1885
S009,Control,T_cell,0.2387
S009,Control,B_cell,0.2178
S009,Control,Myeloid,0.0389
S009,Control,Epithelial,0.1961
S009,Control,Stromal,0.3085
S010,Control,T_cell,0.4713
S010,Control,B_cell,0.1544
S010,Control,Myeloid,0.1041
S010,Control,Epithelial,0.1057
S010,Control,Stromal,0.1645
S011,Control,T_cell,0.1693
S011,Control,B_cell,0.0967
S011,Control,Myeloid,0.0909
S011,Control,Epithelial,0.4472
S011,Control,Stromal,0.1958
S012,Control,T_cell,0.1537
S012,Control,B_cell,0.3535
S012,Control,Myeloid,0.1057
S012,Control,Epithelial,0.2807
S012,Control,Stromal,0.1064
S013,Control,T_cell,0.4333
S013,Control,B_cell,0.2777
S013,Control,Myeloid,0.0447
S013,Control,Epithelial,0.0759
S013,Control,Stromal,0.1684
S014,Control,T_cell,0.4288
S014,Control,B_cell,0.0546
S014,Control,Myeloid,0.1699
S014,Control,Epithelial,0.219
S014,Control,Stromal,0.1276
S015,Control,T_cell,0.2916
S015,Control,B_cell,0.0951
S015,Control,Myeloid,0.1429
S015,Control,Epithelial,0.4427
S015,Control,Stromal,0.0277
S016,Tumor,T_cell,0.0985
S016,Tumor,B_cell,0.1575
S016,Tumor,Myeloid,0.4727
S016,Tumor,Epithelial,0.2236
S016,Tumor,Stromal,0.0478
S017,Tumor,T_cell,0.3073
S017,Tumor,B_cell,0.2643
S017,Tumor,Myeloid,0.1411
S017,Tumor,Epithelial,0.0833
S017,Tumor,Stromal,0.2039
S018,Tumor,T_cell,0.427
S018,Tumor,B_cell,0.126
S018,Tumor,Myeloid,0.2635
S018,Tumor,Epithelial,0.0899
S018,Tumor,Stromal,0.0936
S019,Tumor,T_cell,0.2653
S019,Tumor,B_cell,0.1616
S019,Tumor,Myeloid,0.1893
S019,Tumor,Epithelial,0.025
S019,Tumor,Stromal,0.3587
S020,Tumor,T_cell,0.2368
S020,Tumor,B_cell,0.008
S020,Tumor,Myeloid,0.2116
S020,Tumor,Epithelial,0.206
S020,Tumor,Stromal,0.3376
S021,Tumor,T_cell,0.3501
S021,Tumor,B_cell,0.1762
S021,Tumor,Myeloid,0.2108
S021,Tumor,Epithelial,0.0723
S021,Tumor,Stromal,0.1906
S022,Tumor,T_cell,0.144
S022,Tumor,B_cell,0.2744
S022,Tumor,Myeloid,0.2452
S022,Tumor,Epithelial,0.2516
S022,Tumor,Stromal,0.0849
S023,Tumor,T_cell,0.2698
S023,Tumor,B_cell,0.102
S023,Tumor,Myeloid,0.2823
S023,Tumor,Epithelial,0.0402
S023,Tumor,Stromal,0.3056
S024,Tumor,T_cell,0.3979
S024,Tumor,B_cell,0.039
S024,Tumor,Myeloid,0.43
S024,Tumor,Epithelial,0.07
S024,Tumor,Stromal,0.0631
S025,Tumor,T_cell,0.1281
S025,Tumor,B_cell,0.1642
S025,Tumor,Myeloid,0.4804
S025,Tumor,Epithelial,0.0582
S025,Tumor,Stromal,0.1691
S026,Tumor,T_cell,0.1956
S026,Tumor,B_cell,0.1148
S026,Tumor,Myeloid,0.3572
S026,Tumor,Epithelial,0.288
S026,Tumor,Stromal,0.0444
S027,Tumor,T_cell,0.181
S027,Tumor,B_cell,0.0106
S027,Tumor,Myeloid,0.2405
S027,Tumor,Epithelial,0.2193
S027,Tumor,Stromal,0.3486
S028,Tumor,T_cell,0.452
S028,Tumor,B_cell,0.0046
S028,Tumor,Myeloid,0.0333
S028,Tumor,Epithelial,0.0571
S028,Tumor,Stromal,0.4529
S029,Tumor,T_cell,0.4861
S029,Tumor,B_cell,0.2765
S029,Tumor,Myeloid,0.0717
S029,Tumor,Epithelial,0.0769
S029,Tumor,Stromal,0.0888
S030,Tumor,T_cell,0.295
S030,Tumor,B_cell,0.0726
S030,Tumor,Myeloid,0.1902
S030,Tumor,Epithelial,0.2417
S030,Tumor,Stromal,0.2005
