gene,log2_fold_change,p_value,adjusted_p_value,gene_class,label
GENE0001,-2.6867,1.388e-03,8.129e-03,other,GENE0001
GENE0002,1.3683,2.807e-02,1.671e-01,other,
GENE0003,1.0007,1.756e-02,1.324e-01,other,
GENE0004,2.1717,9.375e-04,2.749e-03,other,GENE0004
GENE0005,2.6452,1.149e-05,4.745e-05,other,GENE0005
GENE0006,2.8473,1.556e-05,7.083e-05,other,GENE0006
GENE0007,-3.3047,1.173e-06,1.500e-06,other,GENE0007
GENE0008,-2.9245,1.951e-06,1.495e-05,other,GENE0008
GENE0009,4.0821,1.064e-08,4.980e-08,immune,GENE0009
GENE0010,2.8695,1.071e-03,5.871e-03,other,GENE0010
GENE0011,1.6101,1.487e-03,3.286e-03,other,
GENE0012,2.5667,1.391e-03,9.337e-03,other,GENE0012
GENE0013,0.6741,2.027e-01,1.000e+00,metabolic,
GENE0014,-2.8787,2.600e-05,6.226e-05,other,GENE0014
GENE0015,1.3914,2.342e-02,1.757e-01,other,
GENE0016,4.2967,3.560e-08,1.939e-07,other,GENE0016
GENE0017,2.8778,5.422e-06,4.309e-05,other,GENE0017
GENE0018,-3.915,3.436e-04,1.559e-03,immune,GENE0018
GENE0019,1.8376,1.403e-03,5.965e-03,other,
GENE0020,-3.4167,8.038e-08,5.761e-07,other,GENE0020
GENE0021,0.6073,3.325e-02,2.509e-01,other,
GENE0022,-0.6974,8.517e-02,2.599e-01,other,
GENE0023,-0.4593,5.326e-02,1.132e-01,other,
GENE0024,1.4586,2.618e-03,1.285e-02,other,
GENE0025,-1.2208,7.464e-03,4.414e-02,other,
GENE0026,-0.3417,7.197e-02,4.643e-01,metabolic,
GENE0027,1.8293,6.648e-04,2.502e-03,immune,
GENE0028,0.5147,1.191e-01,9.369e-01,other,
GENE0029,-0.3157,2.129e-01,1.000e+00,other,
GENE0030,0.0093,4.231e-01,1.000e+00,other,
GENE0031,-1.7742,3.598e-03,7.789e-03,other,
GENE0032,0.4922,2.081e-01,7.151e-01,other,
GENE0033,-0.5869,6.607e-02,4.645e-01,other,
GENE0034,-1.5592,3.807e-03,2.307e-02,other,
GENE0035,0.1378,5.466e-02,2.982e-01,other,
GENE0036,-2.3295,2.317e-05,1.449e-04,immune,GENE0036
GENE0037,-0.4791,1.515e-01,6.304e-01,other,
GENE0038,0.211,4.010e-01,5.684e-01,other,
GENE0039,0.274,6.762e-02,3.222e-01,metabolic,
GENE0040,-0.9184,3.378e-02,7.678e-02,other,
GENE0041,2.0461,1.498e-04,1.108e-03,other,
GENE0042,1.1077,4.646e-02,1.325e-01,other,
GENE0043,-0.0053,8.815e-01,1.000e+00,other,
GENE0044,0.1579,3.164e-01,1.000e+00,other,
GENE0045,-1.3992,3.880e-03,2.690e-02,immune,
GENE0046,-0.8583,5.567e-02,2.468e-01,other,
GENE0047,0.1203,6.543e-01,1.000e+00,other,
GENE0048,1.4932,5.358e-04,1.604e-03,other,
GENE0049,-1.6019,8.083e-05,4.271e-04,other,
GENE0050,-0.7043,9.407e-02,2.892e-01,other,
GENE0051,0.475,1.727e-01,9.299e-01,other,
GENE0052,-1.4984,2.440e-03,1.378e-02,metabolic,
GENE0053,0.8525,1.367e-02,4.416e-02,other,
GENE0054,-1.3749,8.962e-03,5.515e-02,immune,
GENE0055,0.8116,6.748e-03,1.358e-02,other,
GENE0056,0.516,1.724e-01,8.212e-01,other,
GENE0057,1.8543,8.938e-03,3.955e-02,other,
GENE0058,-1.1206,6.662e-03,2.290e-02,other,
GENE0059,2.212,1.002e-02,7.050e-02,other,
GENE0060,1.9544,4.382e-04,3.406e-03,other,
GENE0061,0.3691,3.209e-03,1.541e-02,other,
GENE0062,-1.0335,2.796e-02,1.605e-01,other,
GENE0063,-1.8433,2.096e-05,5.688e-05,immune,
GENE0064,-1.0833,1.414e-01,7.032e-01,other,
GENE0065,0.7009,2.308e-01,1.000e+00,metabolic,
GENE0066,-0.413,1.405e-01,2.901e-01,other,
GENE0067,0.9244,5.093e-03,3.678e-02,other,
GENE0068,-0.3246,2.336e-01,1.000e+00,other,
GENE0069,-0.1197,5.208e-01,1.000e+00,other,
GENE0070,-2.7757,2.782e-05,1.246e-04,other,
GENE0071,-2.3708,6.330e-03,2.633e-02,other,
GENE0072,1.5442,6.256e-04,1.117e-03,immune,
GENE0073,-0.5671,2.411e-02,9.276e-02,other,
