file,placed_width_in,scale,tick_pt,axis_label_pt,legend_pt,annotation_pt,verdict
tutorial/showcase/1_group_comparison/J4_black_edged_filled_pres.png,5.1,1.06,18.0,21.2,17.0,15.9,OK
tutorial/showcase/1_group_comparison/B_box_points_outline_preset_pres.png,3.6,0.75,12.7,15.0,12.0,11.2,OK
tutorial/showcase/1_group_comparison/C_violin_points_preset_pres.png,3.6,0.75,12.7,15.0,12.0,11.2,OK
tutorial/showcase/1_group_comparison/D_bar_points_jittered_preset_pres.png,3.6,0.75,12.7,15.0,12.0,11.2,OK
tutorial/showcase/1_group_comparison/J1_small_narrow_jitter_pres.png,3.41,0.71,12.1,14.2,11.3,10.6,OK
tutorial/showcase/1_group_comparison/J2_large_moderate_jitter_pres.png,3.41,0.71,12.1,14.2,11.3,10.6,OK
tutorial/showcase/1_group_comparison/J3_open_circles_pres.png,3.41,0.71,12.1,14.2,11.3,10.6,OK
tutorial/showcase/1_group_comparison/J4_black_edged_filled_pres.png,3.41,0.71,12.1,14.2,11.3,10.6,OK
tutorial/showcase/1_group_comparison/J5_beeswarm_pres.png,3.41,0.71,12.1,14.2,11.3,10.6,OK
tutorial/showcase/1_group_comparison/J6_centered_no_jitter_pres.png,3.41,0.71,12.1,14.2,11.3,10.6,OK
tutorial/showcase/1_group_comparison/B_box_points_outline_preset_pres.png,5.5,1.14,19.4,22.9,18.3,17.2,OK
tutorial/slides/_crops/group_comparison_box_05_statistics_0_20_566.png,5.4,0.69,,,,8.2,BORDERLINE
tutorial/slides/_crops/observations_jitter_09_preview_dialog_0_0_908.png,10.85,0.86,,,,10.3,OK
tutorial/slides/_crops/observations_jitter_09_preview_dialog_0_410_908.png,11.0,0.87,,,,10.5,OK
tutorial/showcase/2_volcano/A_default_pres.png,5.4,0.73,12.5,14.7,11.8,11.0,OK
tutorial/showcase/2_volcano/B_refined_pres.png,5.4,0.7,11.9,14.0,11.2,10.5,OK
tutorial/showcase/3_heatmap/A_basic_pres.png,3.87,0.8,13.7,16.1,12.9,12.1,OK
tutorial/showcase/3_heatmap/B_refined_pres.png,3.89,0.8,13.7,16.1,12.9,12.1,OK
tutorial/showcase/4_scatter/A_basic_pres.png,5.4,1.12,19.1,22.5,18.0,16.9,OK
tutorial/showcase/4_scatter/B_refined_pres.png,5.4,0.89,15.1,17.8,14.2,13.3,OK
tutorial/showcase/5_survival/A_default_pres.png,5.4,1.12,19.1,22.5,18.0,16.8,OK
tutorial/showcase/5_survival/B_refined_pres.png,5.4,1.12,19.1,22.5,18.0,16.8,OK
tutorial/slides/_crops/observations_jitter_07b_options_after_0_0_566.png,5.4,0.69,,,,8.2,BORDERLINE
tutorial/showcase/1_group_comparison/B_box_points_outline_preset_pres.png,3.9,0.81,13.8,16.2,13.0,12.2,OK
tutorial/slides/_crops/volcano_manual_mapping_04b_window_before_612_48_1680.png,11.0,0.74,,,,8.9,BORDERLINE
tutorial/screenshots/volcano_manual_mapping/04_mapping_renamed_before.png,5.4,0.69,,,,8.2,BORDERLINE
tutorial/screenshots/volcano_manual_mapping/05_mapping_renamed_after.png,5.4,0.69,,,,8.2,BORDERLINE
tutorial/showcase/2_volcano/B_refined_pres.png,5.5,0.71,12.1,14.2,11.4,10.7,OK
tutorial/screenshots/figure_package/03_package_confirmation.png,5.0,0.9,,,,10.8,OK
