plot_type,has_x_labels,rotation_applied,has_legend,has_colorbar_axes,cap_axes,cap_legend,cap_colorbar,status
barplot_with_error_bar,True,True,False,False,True,True,False,ok
grouped_barplot_with_error_bar,True,True,True,False,True,True,False,ok
heatmap_clustered_matrix,True,True,False,True,True,True,True,ok
volcano_plot,True,True,True,False,True,True,False,ok
scatterplot_with_regression,True,True,True,False,True,True,False,ok
boxplot_or_violin_with_points,True,True,False,False,True,True,False,ok
lineplot_timecourse_with_error_band,True,True,True,False,True,True,False,ok
ridge_or_density_plot,True,True,False,False,True,True,False,ok
enrichment_dotplot,True,True,True,True,True,True,False,ok
kaplan_meier_survival_curve,True,True,True,False,True,True,False,ok
stacked_bar_composition,True,True,True,False,True,True,False,ok
waterfall_plot,False,n/a,True,False,True,True,False,ok
pca_scatter_from_matrix,True,True,True,False,True,True,False,ok
oncoprint_mutation_heatmap,False,n/a,True,False,True,True,False,ok
lollipop_mutation_plot,True,True,True,False,True,True,False,ok
roc_curve,True,True,True,False,True,True,False,ok
forest_plot,True,True,False,False,True,True,False,ok
dot_strip_plot,True,True,False,False,True,True,False,ok
beeswarm_plot,True,True,False,False,True,True,False,ok
paired_slopegraph,True,True,False,False,True,True,False,ok
raincloud_plot,True,True,False,False,True,True,False,ok
hierarchical_dendrogram,True,True,False,False,True,True,False,ok
ma_plot,True,True,True,False,True,True,False,ok
manhattan_plot,True,True,True,False,True,True,False,ok
qq_plot,True,True,False,False,True,True,False,ok
bland_altman_plot,True,True,False,False,True,True,False,ok
precision_recall_curve,True,True,True,False,True,True,False,ok
confusion_matrix,True,True,False,True,True,True,True,ok
calibration_plot,True,True,True,False,True,True,False,ok
dose_response_curve,True,True,True,False,True,True,False,ok
upset_plot,False,n/a,False,True,True,True,False,ok
swimmer_plot,True,True,True,False,True,True,False,ok
spider_plot,True,True,True,False,True,True,False,ok
sankey_plot,True,True,False,False,False,True,False,ok
embedding_scatter,True,True,True,False,True,True,False,ok
hierarchical_clustering,True,True,True,True,True,True,True,ok
network_graph,False,n/a,True,False,False,True,True,ok
