plot_type,has_y_labels,y_rotation_applied
barplot_with_error_bar,True,True
grouped_barplot_with_error_bar,True,True
heatmap_clustered_matrix,True,True
volcano_plot,True,True
scatterplot_with_regression,True,True
boxplot_or_violin_with_points,True,True
lineplot_timecourse_with_error_band,True,True
ridge_or_density_plot,True,True
enrichment_dotplot,True,True
kaplan_meier_survival_curve,True,True
stacked_bar_composition,True,True
waterfall_plot,True,True
pca_scatter_from_matrix,True,True
oncoprint_mutation_heatmap,True,True
lollipop_mutation_plot,True,True
roc_curve,True,True
forest_plot,True,True
dot_strip_plot,True,True
beeswarm_plot,True,True
paired_slopegraph,True,True
raincloud_plot,True,True
hierarchical_dendrogram,True,True
ma_plot,True,True
manhattan_plot,True,True
qq_plot,True,True
bland_altman_plot,True,True
precision_recall_curve,True,True
confusion_matrix,True,True
calibration_plot,True,True
dose_response_curve,True,True
upset_plot,True,True
swimmer_plot,True,True
spider_plot,True,True
sankey_plot,True,True
embedding_scatter,True,True
hierarchical_clustering,True,True
network_graph,False,n/a
