preset_id,dataset,width,plot_type,status,n_groups,n_per_group,n_points_drawn,summary,error,tests,p_values,overlapping_text_pairs,clipped_text,legend_overlaps_data,effective_min_font_pt,tight_width_mm,tight_height_mm,width_deviation_pct,warnings,issues,png
gc_bar_points_jittered,two_groups_n6,single_89mm,barplot_with_error_bar,PASS,2,"{""Control"": 6, ""Treatment"": 6}",12,mean,sem,welch_t,0.0001,0,0,False,6.07,80.6,62.4,-9.4,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_jittered__two_groups_n6__single_89mm.png
gc_bar_points_jittered,two_groups_n6,full_183mm,barplot_with_error_bar,PASS,2,"{""Control"": 6, ""Treatment"": 6}",12,mean,sem,welch_t,0.0001,0,0,False,5.76,174.6,138.0,-4.6,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_jittered__two_groups_n6__full_183mm.png
gc_bar_points_jittered,three_groups_unequal,single_89mm,barplot_with_error_bar,PASS,3,"{""Control"": 5, ""High dose"": 11, ""Low dose"": 8}",24,mean,sem,one_way_anova;welch_t,0.0;0.0001;0.0;0.0363,0,0,False,6.07,80.6,62.8,-9.4,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_jittered__three_groups_unequal__single_89mm.png
gc_bar_points_jittered,three_groups_unequal,full_183mm,barplot_with_error_bar,PASS,3,"{""Control"": 5, ""High dose"": 11, ""Low dose"": 8}",24,mean,sem,one_way_anova;welch_t,0.0;0.0001;0.0;0.0363,0,0,False,5.76,174.6,138.0,-4.6,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_jittered__three_groups_unequal__full_183mm.png
gc_bar_points_jittered,four_groups_n4,single_89mm,barplot_with_error_bar,PASS,4,"{""KO-1"": 4, ""KO-2"": 4, ""Rescue"": 4, ""WT"": 4}",16,mean,sem,one_way_anova;welch_t,0.0;0.0001;0.001;0.1859;0.0979;0.0008;0.006,0,0,False,5.98,81.8,62.8,-8.1,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_jittered__four_groups_n4__single_89mm.png
gc_bar_points_jittered,four_groups_n4,full_183mm,barplot_with_error_bar,PASS,4,"{""KO-1"": 4, ""KO-2"": 4, ""Rescue"": 4, ""WT"": 4}",16,mean,sem,one_way_anova;welch_t,0.0;0.0001;0.001;0.1859;0.0979;0.0008;0.006,0,0,False,5.76,174.6,138.0,-4.6,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_jittered__four_groups_n4__full_183mm.png
gc_bar_points_jittered,two_groups_n30,single_89mm,barplot_with_error_bar,PASS,2,"{""Drug"": 30, ""Vehicle"": 30}",60,mean,sem,welch_t,0.0083,0,0,False,6.07,80.6,62.8,-9.4,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_jittered__two_groups_n30__single_89mm.png
gc_bar_points_jittered,two_groups_n30,full_183mm,barplot_with_error_bar,PASS,2,"{""Drug"": 30, ""Vehicle"": 30}",60,mean,sem,welch_t,0.0083,0,0,False,5.76,174.6,138.0,-4.6,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_jittered__two_groups_n30__full_183mm.png
gc_bar_points_jittered,one_extreme_observation,single_89mm,barplot_with_error_bar,PASS,2,"{""Control"": 8, ""Treatment"": 8}",16,mean,sem,welch_t,0.011,0,0,False,6.07,80.6,63.4,-9.4,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_jittered__one_extreme_observation__single_89mm.png
gc_bar_points_jittered,one_extreme_observation,full_183mm,barplot_with_error_bar,PASS,2,"{""Control"": 8, ""Treatment"": 8}",16,mean,sem,welch_t,0.011,0,0,False,5.76,174.6,138.0,-4.6,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_jittered__one_extreme_observation__full_183mm.png
gc_bar_points_jittered,overlapping_groups,single_89mm,barplot_with_error_bar,PASS,3,"{""A"": 10, ""B"": 10, ""C"": 10}",30,mean,sem,one_way_anova;welch_t,0.9427;0.7151;0.8284;0.9044,0,0,False,6.07,80.6,62.8,-9.4,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_jittered__overlapping_groups__single_89mm.png
gc_bar_points_jittered,overlapping_groups,full_183mm,barplot_with_error_bar,PASS,3,"{""A"": 10, ""B"": 10, ""C"": 10}",30,mean,sem,one_way_anova;welch_t,0.9427;0.7151;0.8284;0.9044,0,0,False,5.73,175.8,138.0,-3.9,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_jittered__overlapping_groups__full_183mm.png
gc_bar_points_jittered,separated_groups,single_89mm,barplot_with_error_bar,PASS,3,"{""A"": 10, ""B"": 10, ""C"": 10}",30,mean,sem,one_way_anova;welch_t,0.0;0.0;0.0;0.0,0,0,False,6.07,80.6,62.8,-9.4,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_jittered__separated_groups__single_89mm.png
gc_bar_points_jittered,separated_groups,full_183mm,barplot_with_error_bar,PASS,3,"{""A"": 10, ""B"": 10, ""C"": 10}",30,mean,sem,one_way_anova;welch_t,0.0;0.0;0.0;0.0,0,0,False,5.76,174.6,138.0,-4.6,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_jittered__separated_groups__full_183mm.png
