preset_id,preset_name,plot_type,target_width_mm,status,n_text,overlapping_text_pairs,clipped_text,legend_overlaps_data,legend_overlap_fraction,min_font_pt,min_font_role,effective_min_font_pt,tight_width_mm,tight_height_mm,width_deviation_pct,max_tick_labels_on_one_axis,publication_score,publication_level,render_warnings,issues,preview_png
full_174mm_C,Full width 174 mm (C),barplot_with_error_bar,174.0,PASS,12,0,0,False,0.0,6.5,tick,6.69,169.0,134.2,-2.9,6,76,warn,Style control 'line_width_pt' bars have no markers or data lines; error-bar and ,,../../../../../../tmp/jp_qc_merged2/previews/full_174mm_C/barplot_with_error_bar.png
full_174mm_C,Full width 174 mm (C),grouped_barplot_with_error_bar,174.0,WARN,17,0,0,False,0.0,6.5,tick,9.45,119.7,102.0,-31.2,10,76,warn,Style control 'line_width_pt' bars have no markers or data lines; error-bar and ,exported width 119.7 mm deviates -31% from target 174.0 mm,../../../../../../tmp/jp_qc_merged2/previews/full_174mm_C/grouped_barplot_with_error_bar.png
full_174mm_C,Full width 174 mm (C),heatmap_clustered_matrix,174.0,PASS,52,0,0,False,0.0,6.5,tick,6.69,169.0,157.6,-2.9,30,76,warn,"Using 12 value column(s): ['Ctrl_1', 'Ctrl_2', 'Ctrl_3', 'Ctrl_4', 'DrugA_1', 'D | Style control 'line_width_pt' heatmaps use a continuous colormap, not per-point  | Style control 'marker_size' heatmaps use a continuous colormap, not per-point ma",,../../../../../../tmp/jp_qc_merged2/previews/full_174mm_C/heatmap_clustered_matrix.png
full_174mm_C,Full width 174 mm (C),volcano_plot,174.0,WARN,32,0,0,False,0.0,6.5,tick,9.4,120.3,128.1,-30.9,8,76,warn,Style control 'palette_name' a volcano colours points by significance class (up  | Style control 'line_width_pt' a volcano colours points by significance class (up,exported width 120.3 mm deviates -31% from target 174.0 mm,../../../../../../tmp/jp_qc_merged2/previews/full_174mm_C/volcano_plot.png
full_174mm_C,Full width 174 mm (C),scatterplot_with_regression,174.0,WARN,25,0,0,False,0.0,6.5,tick,9.63,117.5,112.9,-32.5,11,76,warn,,exported width 117.5 mm deviates -32% from target 174.0 mm,../../../../../../tmp/jp_qc_merged2/previews/full_174mm_C/scatterplot_with_regression.png
full_174mm_C,Full width 174 mm (C),boxplot_or_violin_with_points,174.0,PASS,15,0,0,False,0.0,6.5,tick,6.69,169.0,134.2,-2.9,10,76,warn,,,../../../../../../tmp/jp_qc_merged2/previews/full_174mm_C/boxplot_or_violin_with_points.png
full_174mm_C,Full width 174 mm (C),lineplot_timecourse_with_error_band,174.0,PASS,23,0,0,False,0.0,6.5,tick,6.7,168.9,116.8,-2.9,9,64,warn,Style control 'marker_size' does not apply to this plot type; it was ignored for,,../../../../../../tmp/jp_qc_merged2/previews/full_174mm_C/lineplot_timecourse_with_error_band.png
full_174mm_C,Full width 174 mm (C),ridge_or_density_plot,174.0,PASS,13,0,0,False,0.0,6.5,tick,6.69,169.0,151.6,-2.9,8,64,warn,Style control 'marker_size' does not apply to this plot type; it was ignored for,,../../../../../../tmp/jp_qc_merged2/previews/full_174mm_C/ridge_or_density_plot.png
full_174mm_C,Full width 174 mm (C),histogram_distribution,174.0,PASS,33,0,0,False,0.0,6.5,tick,6.69,169.0,92.8,-2.9,11,76,warn,,,../../../../../../tmp/jp_qc_merged2/previews/full_174mm_C/histogram_distribution.png
full_174mm_C,Full width 174 mm (C),enrichment_dotplot,174.0,PASS,34,0,0,False,0.0,6.5,tick,6.68,169.2,130.6,-2.8,12,76,warn,Style control 'line_width_pt' does not apply to this plot type; it was ignored f | Style control 'marker_size' does not apply to this plot type; it was ignored for,,../../../../../../tmp/jp_qc_merged2/previews/full_174mm_C/enrichment_dotplot.png
full_174mm_C,Full width 174 mm (C),kaplan_meier_survival_curve,174.0,PASS,21,0,0,False,0.0,6.5,tick,6.69,169.0,134.2,-2.9,9,64,warn,Style control 'marker_size' does not apply to this plot type; it was ignored for,,../../../../../../tmp/jp_qc_merged2/previews/full_174mm_C/kaplan_meier_survival_curve.png
full_174mm_C,Full width 174 mm (C),stacked_bar_composition,174.0,WARN,45,0,0,True,0.47,6.5,tick,6.69,169.0,116.8,-2.9,30,76,warn,Style control 'line_width_pt' stacked bars have no markers or data lines; it was | Style control 'marker_size' stacked bars have no markers or data lines; it was i,legend covers data (47% of legend box),../../../../../../tmp/jp_qc_merged2/previews/full_174mm_C/stacked_bar_composition.png
full_174mm_C,Full width 174 mm (C),waterfall_plot,174.0,WARN,16,0,0,False,0.0,6.5,tick,8.18,138.2,99.4,-20.6,10,88,warn,Style control 'line_width_pt' does not apply to this plot type; it was ignored f | Style control 'marker_size' does not apply to this plot type; it was ignored for,exported width 138.2 mm deviates -21% from target 174.0 mm,../../../../../../tmp/jp_qc_merged2/previews/full_174mm_C/waterfall_plot.png
full_174mm_C,Full width 174 mm (C),pca_scatter_from_matrix,174.0,PASS,20,0,0,False,0.0,6.5,tick,6.69,169.0,142.9,-2.9,7,76,warn,Style control 'line_width_pt' does not apply to this plot type; it was ignored f,,../../../../../../tmp/jp_qc_merged2/previews/full_174mm_C/pca_scatter_from_matrix.png
full_174mm_C,Full width 174 mm (C),oncoprint_mutation_heatmap,174.0,WARN,17,0,0,True,0.896,6.5,tick,7.82,144.7,116.8,-16.8,10,88,warn,"Style control 'line_width_pt' oncoprints use categorical mutation colors, not ma | Style control 'marker_size' oncoprints use categorical mutation colors, not mark",legend covers data (90% of legend box); exported width 144.7 mm deviates -17% from target 174.0 mm,../../../../../../tmp/jp_qc_merged2/previews/full_174mm_C/oncoprint_mutation_heatmap.png
full_174mm_C,Full width 174 mm (C),lollipop_mutation_plot,174.0,WARN,29,0,0,False,0.0,6.5,tick,8.88,127.3,63.7,-26.8,10,76,warn,Style control 'marker_size' does not apply to this plot type; it was ignored for,exported width 127.3 mm deviates -27% from target 174.0 mm,../../../../../../tmp/jp_qc_merged2/previews/full_174mm_C/lollipop_mutation_plot.png
full_174mm_C,Full width 174 mm (C),roc_curve,174.0,PASS,17,0,0,False,0.0,6.5,tick,6.69,169.0,169.0,-2.9,7,76,warn,Style control 'marker_size' does not apply to this plot type; it was ignored for,,../../../../../../tmp/jp_qc_merged2/previews/full_174mm_C/roc_curve.png
full_174mm_C,Full width 174 mm (C),forest_plot,174.0,PASS,16,0,0,False,0.0,6.5,tick,6.69,169.0,116.8,-2.9,9,76,warn,Style control 'legend_pt' does not apply to this plot type; it was ignored for t | Style control 'marker_size' does not apply to this plot type; it was ignored for | Style control 'legend_outside' does not apply to this plot type; it was ignored ,,../../../../../../tmp/jp_qc_merged2/previews/full_174mm_C/forest_plot.png
full_174mm_C,Full width 174 mm (C),dot_strip_plot,174.0,PASS,15,0,0,False,0.0,6.5,tick,6.69,169.0,120.3,-2.9,10,76,warn,,,../../../../../../tmp/jp_qc_merged2/previews/full_174mm_C/dot_strip_plot.png
full_174mm_C,Full width 174 mm (C),beeswarm_plot,174.0,PASS,13,0,0,False,0.0,6.5,tick,6.69,169.0,120.3,-2.9,8,76,warn,,,../../../../../../tmp/jp_qc_merged2/previews/full_174mm_C/beeswarm_plot.png
full_174mm_C,Full width 174 mm (C),paired_slopegraph,174.0,PASS,13,0,0,False,0.0,6.5,tick,6.69,169.0,142.9,-2.9,9,76,warn,,,../../../../../../tmp/jp_qc_merged2/previews/full_174mm_C/paired_slopegraph.png
full_174mm_C,Full width 174 mm (C),raincloud_plot,174.0,PASS,12,0,0,False,0.0,6.5,tick,6.69,169.0,120.3,-2.9,7,76,warn,Style control 'legend_pt' does not apply to this plot type; it was ignored for t | Style control 'legend_outside' does not apply to this plot type; it was ignored ,,../../../../../../tmp/jp_qc_merged2/previews/full_174mm_C/raincloud_plot.png
full_174mm_C,Full width 174 mm (C),hierarchical_dendrogram,174.0,PASS,35,0,0,False,0.0,6.5,tick,6.69,169.0,102.9,-2.9,24,76,warn,Style control 'legend_pt' a dendrogram has no markers; branch width follows the  | Style control 'line_width_pt' a dendrogram has no markers; branch width follows  | Style control 'marker_size' a dendrogram has no markers; branch width follows th,,../../../../../../tmp/jp_qc_merged2/previews/full_174mm_C/hierarchical_dendrogram.png
full_174mm_C,Full width 174 mm (C),ma_plot,174.0,FAIL,32,1,0,False,0.0,6.5,tick,7.85,144.0,104.6,-17.2,9,64,warn,Style control 'line_width_pt' does not apply to this plot type; it was ignored f,1 overlapping text pair(s); exported width 144.0 mm deviates -17% from target 174.0 mm,../../../../../../tmp/jp_qc_merged2/previews/full_174mm_C/ma_plot.png
full_174mm_C,Full width 174 mm (C),manhattan_plot,174.0,PASS,37,0,0,False,0.0,6.5,tick,6.69,169.0,82.0,-2.9,23,76,warn,,,../../../../../../tmp/jp_qc_merged2/previews/full_174mm_C/manhattan_plot.png
full_174mm_C,Full width 174 mm (C),qq_plot,174.0,PASS,23,0,0,False,0.0,6.5,tick,6.69,169.0,155.1,-2.9,10,76,warn,Style control 'legend_pt' does not apply to this plot type; it was ignored for t | Style control 'legend_outside' does not apply to this plot type; it was ignored ,,../../../../../../tmp/jp_qc_merged2/previews/full_174mm_C/qq_plot.png
full_174mm_C,Full width 174 mm (C),bland_altman_plot,174.0,PASS,20,0,0,False,0.0,6.5,tick,6.69,169.0,120.3,-2.9,9,76,warn,Style control 'legend_pt' does not apply to this plot type; it was ignored for t | Style control 'legend_outside' does not apply to this plot type; it was ignored ,,../../../../../../tmp/jp_qc_merged2/previews/full_174mm_C/bland_altman_plot.png
full_174mm_C,Full width 174 mm (C),precision_recall_curve,174.0,PASS,18,0,0,False,0.0,6.5,tick,6.69,169.0,169.0,-2.9,7,76,warn,Style control 'marker_size' does not apply to this plot type; it was ignored for,,../../../../../../tmp/jp_qc_merged2/previews/full_174mm_C/precision_recall_curve.png
full_174mm_C,Full width 174 mm (C),confusion_matrix,174.0,PASS,26,0,0,False,0.0,6.5,tick,6.69,169.0,169.0,-2.9,8,76,warn,Style control 'legend_pt' does not apply to this plot type; it was ignored for t | Style control 'line_width_pt' does not apply to this plot type; it was ignored f | Style control 'marker_size' does not apply to this plot type; it was ignored for,,../../../../../../tmp/jp_qc_merged2/previews/full_174mm_C/confusion_matrix.png
full_174mm_C,Full width 174 mm (C),calibration_plot,174.0,PASS,20,0,0,False,0.0,6.5,tick,6.67,169.5,168.2,-2.6,8,76,warn,,,../../../../../../tmp/jp_qc_merged2/previews/full_174mm_C/calibration_plot.png
full_174mm_C,Full width 174 mm (C),dose_response_curve,174.0,FAIL,22,1,0,False,0.0,6.5,tick,9.51,118.9,105.5,-31.7,9,76,warn,,1 overlapping text pair(s); exported width 118.9 mm deviates -32% from target 174.0 mm,../../../../../../tmp/jp_qc_merged2/previews/full_174mm_C/dose_response_curve.png
full_174mm_C,Full width 174 mm (C),upset_plot,174.0,WARN,36,0,0,False,0.0,6.5,tick,7.78,145.3,132.0,-16.5,8,76,warn,Style control 'legend_pt' does not apply to this plot type; it was ignored for t | Style control 'legend_outside' does not apply to this plot type; it was ignored ,exported width 145.3 mm deviates -16% from target 174.0 mm,../../../../../../tmp/jp_qc_merged2/previews/full_174mm_C/upset_plot.png
