plot_type,render_status,export_png,export_pdf,export_svg,n_axes,n_legend_labels,n_warnings,forbidden_style_label,font_used,notes
barplot_with_error_bar,ok,ok,ok,ok,1,0,0,False,['sans-serif'],
grouped_barplot_with_error_bar,ok,ok,ok,ok,1,2,0,False,['sans-serif'],
heatmap_clustered_matrix,ok,ok,ok,ok,2,0,1,False,['sans-serif'],
volcano_plot,ok,ok,ok,ok,1,3,0,False,['sans-serif'],
scatterplot_with_regression,ok,ok,ok,ok,1,2,0,False,['sans-serif'],
boxplot_or_violin_with_points,ok,ok,ok,ok,1,0,0,False,['sans-serif'],
lineplot_timecourse_with_error_band,ok,ok,ok,ok,1,3,0,False,['sans-serif'],
ridge_or_density_plot,ok,ok,ok,ok,1,0,0,False,['sans-serif'],
enrichment_dotplot,ok,ok,ok,ok,2,3,0,False,['sans-serif'],
kaplan_meier_survival_curve,ok,ok,ok,ok,1,2,0,False,['sans-serif'],
stacked_bar_composition,ok,ok,ok,ok,1,5,0,False,['sans-serif'],
waterfall_plot,ok,ok,ok,ok,1,3,0,False,['sans-serif'],
pca_scatter_from_matrix,ok,ok,ok,ok,1,4,0,False,['sans-serif'],
oncoprint_mutation_heatmap,ok,ok,ok,ok,1,5,0,False,['sans-serif'],
lollipop_mutation_plot,ok,ok,ok,ok,1,4,0,False,['sans-serif'],
roc_curve,ok,ok,ok,ok,1,2,0,False,['sans-serif'],
forest_plot,ok,ok,ok,ok,1,0,0,False,['sans-serif'],
dot_strip_plot,ok,ok,ok,ok,1,0,0,False,['sans-serif'],
beeswarm_plot,ok,ok,ok,ok,1,0,0,False,['sans-serif'],
paired_slopegraph,ok,ok,ok,ok,1,0,0,False,['sans-serif'],
raincloud_plot,ok,ok,ok,ok,1,0,0,False,['sans-serif'],
hierarchical_dendrogram,ok,ok,ok,ok,1,0,0,False,['sans-serif'],
ma_plot,ok,ok,ok,ok,1,3,0,False,['sans-serif'],
manhattan_plot,ok,ok,ok,ok,1,2,0,False,['sans-serif'],
qq_plot,ok,ok,ok,ok,1,0,0,False,['sans-serif'],
bland_altman_plot,ok,ok,ok,ok,1,0,0,False,['sans-serif'],
precision_recall_curve,ok,ok,ok,ok,1,3,0,False,['sans-serif'],
confusion_matrix,ok,ok,ok,ok,2,0,0,False,['sans-serif'],
calibration_plot,ok,ok,ok,ok,1,2,0,False,['sans-serif'],
dose_response_curve,ok,ok,ok,ok,1,2,0,False,['sans-serif'],
upset_plot,ok,ok,ok,ok,3,0,0,False,['sans-serif'],
swimmer_plot,ok,ok,ok,ok,1,8,0,False,['sans-serif'],
spider_plot,ok,ok,ok,ok,1,2,0,False,['sans-serif'],
sankey_plot,ok,ok,ok,ok,1,0,0,False,['sans-serif'],
embedding_scatter,ok,ok,ok,ok,1,5,0,False,['sans-serif'],
hierarchical_clustering,ok,ok,ok,ok,3,3,0,False,['sans-serif'],
network_graph,ok,ok,ok,ok,1,3,0,False,['sans-serif'],
