showcase,figure,plot_type,n_rows,data_hash,group_n,statistics,statistics_presentation_copy_identical,note
1_group_comparison,A_default_box,boxplot_or_violin_with_points,40,0223e2ca0d3fecbf,"{""Control"": 7, ""Treatment A"": 9, ""Treatment B"": 11, ""Treatment C"": 13}",[],True,"application defaults, no preset, no statistics"
1_group_comparison,B_box_points_outline_preset,boxplot_or_violin_with_points,40,0223e2ca0d3fecbf,"{""Control"": 7, ""Treatment A"": 9, ""Treatment B"": 11, ""Treatment C"": 13}","[{""comparison"": ""Control vs Treatment B"", ""test"": ""Welch's t-test"", ""p"": 6.076232538841852e-05, ""adj_p"": 0.00018228697616525554, ""n"": 18}, {""comparison"": ""Treatment A vs Treatment B"", ""test"": ""Welch's t-test"", ""p"": 6.611559449145994e-05, ""adj_p"": 0.00018228697616525554, ""n"": 20}, {""comparison"": ""Control vs Treatment C"", ""test"": ""Welch's t-test"", ""p"": 0.968109782738923, ""adj_p"": 0.968109782738923, ""n"": 20}]",True,preset gc_box_points_outline + Welch all pairs Holm
1_group_comparison,C_violin_points_preset,boxplot_or_violin_with_points,40,0223e2ca0d3fecbf,"{""Control"": 7, ""Treatment A"": 9, ""Treatment B"": 11, ""Treatment C"": 13}","[{""comparison"": ""Control vs Treatment B"", ""test"": ""Welch's t-test"", ""p"": 6.076232538841852e-05, ""adj_p"": 0.00018228697616525554, ""n"": 18}, {""comparison"": ""Treatment A vs Treatment B"", ""test"": ""Welch's t-test"", ""p"": 6.611559449145994e-05, ""adj_p"": 0.00018228697616525554, ""n"": 20}, {""comparison"": ""Control vs Treatment C"", ""test"": ""Welch's t-test"", ""p"": 0.968109782738923, ""adj_p"": 0.968109782738923, ""n"": 20}]",True,preset gc_violin_points + statistics
1_group_comparison,D_bar_points_jittered_preset,barplot_with_error_bar,40,0223e2ca0d3fecbf,"{""Control"": 7, ""Treatment A"": 9, ""Treatment B"": 11, ""Treatment C"": 13}","[{""comparison"": ""Control vs Treatment B"", ""test"": ""Welch's t-test"", ""p"": 6.076232538841852e-05, ""adj_p"": 0.00018228697616525554, ""n"": 18}, {""comparison"": ""Treatment A vs Treatment B"", ""test"": ""Welch's t-test"", ""p"": 6.611559449145994e-05, ""adj_p"": 0.00018228697616525554, ""n"": 20}, {""comparison"": ""Control vs Treatment C"", ""test"": ""Welch's t-test"", ""p"": 0.968109782738923, ""adj_p"": 0.968109782738923, ""n"": 20}]",True,preset gc_bar_points_jittered (mean + SEM + observations) + statistics
1_group_comparison,E_box_points_light_preset,boxplot_or_violin_with_points,40,0223e2ca0d3fecbf,"{""Control"": 7, ""Treatment A"": 9, ""Treatment B"": 11, ""Treatment C"": 13}","[{""comparison"": ""Control vs Treatment B"", ""test"": ""Welch's t-test"", ""p"": 6.076232538841852e-05, ""adj_p"": 0.00018228697616525554, ""n"": 18}, {""comparison"": ""Treatment A vs Treatment B"", ""test"": ""Welch's t-test"", ""p"": 6.611559449145994e-05, ""adj_p"": 0.00018228697616525554, ""n"": 20}, {""comparison"": ""Control vs Treatment C"", ""test"": ""Welch's t-test"", ""p"": 0.968109782738923, ""adj_p"": 0.968109782738923, ""n"": 20}]",True,preset gc_box_points_light (alternate)
1_group_comparison,F_single_column_89mm_N_preset,boxplot_or_violin_with_points,40,0223e2ca0d3fecbf,"{""Control"": 7, ""Treatment A"": 9, ""Treatment B"": 11, ""Treatment C"": 13}","[{""comparison"": ""Control vs Treatment B"", ""test"": ""Welch's t-test"", ""p"": 6.076232538841852e-05, ""adj_p"": 0.00018228697616525554, ""n"": 18}, {""comparison"": ""Treatment A vs Treatment B"", ""test"": ""Welch's t-test"", ""p"": 6.611559449145994e-05, ""adj_p"": 0.00018228697616525554, ""n"": 20}, {""comparison"": ""Control vs Treatment C"", ""test"": ""Welch's t-test"", ""p"": 0.968109782738923, ""adj_p"": 0.968109782738923, ""n"": 20}]",True,universal width preset Single column 89 mm (N)
1_group_comparison,J1_small_narrow_jitter,boxplot_or_violin_with_points,40,0223e2ca0d3fecbf,"{""Control"": 7, ""Treatment A"": 9, ""Treatment B"": 11, ""Treatment C"": 13}",[],True,"observation controls: point_size=12, point_jitter_width=0.12, point_fill=filled, point_edge=none"
1_group_comparison,J2_large_moderate_jitter,boxplot_or_violin_with_points,40,0223e2ca0d3fecbf,"{""Control"": 7, ""Treatment A"": 9, ""Treatment B"": 11, ""Treatment C"": 13}",[],True,"observation controls: point_size=60, point_jitter_width=0.35, point_fill=filled, point_edge=dark"
1_group_comparison,J3_open_circles,boxplot_or_violin_with_points,40,0223e2ca0d3fecbf,"{""Control"": 7, ""Treatment A"": 9, ""Treatment B"": 11, ""Treatment C"": 13}",[],True,"observation controls: point_size=55, point_jitter_width=0.3, point_fill=open, point_edge=same, point_edge_width=1.2"
1_group_comparison,J4_black_edged_filled,boxplot_or_violin_with_points,40,0223e2ca0d3fecbf,"{""Control"": 7, ""Treatment A"": 9, ""Treatment B"": 11, ""Treatment C"": 13}",[],True,"observation controls: point_size=55, point_jitter_width=0.3, point_fill=filled, point_edge=dark, point_edge_width=1.0"
1_group_comparison,J5_beeswarm,boxplot_or_violin_with_points,40,0223e2ca0d3fecbf,"{""Control"": 7, ""Treatment A"": 9, ""Treatment B"": 11, ""Treatment C"": 13}",[],True,"observation controls: point_size=45, point_arrangement=beeswarm, point_fill=filled, point_edge=dark"
1_group_comparison,J6_centered_no_jitter,boxplot_or_violin_with_points,40,0223e2ca0d3fecbf,"{""Control"": 7, ""Treatment A"": 9, ""Treatment B"": 11, ""Treatment C"": 13}",[],True,"observation controls: point_size=45, point_arrangement=centered, point_jitter_width=0.0, point_fill=filled, point_edge=dark, point_alpha=0.55"
2_volcano,A_default,volcano_plot,1200,061f3f250d36d5bd,{},[],True,"detected roles, all option defaults"
2_volcano,B_refined,volcano_plot,1200,061f3f250d36d5bd,{},[],True,"adjusted P, FDR axis, 6+6 labels with boxes, larger markers, neutral n.s."
3_heatmap,A_basic,heatmap_clustered_matrix,30,2f69dd9f4dc8ee13,{},[],True,"30 most variable features, defaults (no scaling, auto colormap)"
3_heatmap,B_refined,heatmap_clustered_matrix,30,2f69dd9f4dc8ee13,{},[],True,"row z-score, RdBu_r, columns in file order, no cell grid, explicit label sizes, short colorbar"
3_heatmap,C_heatmap_with_dendrogram,hierarchical_clustering,30,2f69dd9f4dc8ee13,{},[],True,Hierarchical clustering (heatmap + clusters) plot type
4_scatter,A_basic,scatterplot_with_regression,60,d1afb55922cd2145,{},[],True,"two roles, defaults"
4_scatter,B_refined,scatterplot_with_regression,60,d1afb55922cd2145,{},[],True,"colour by cell line, per-group fit, r/R2/P/n box, larger edged markers"
5_survival,A_default,kaplan_meier_survival_curve,80,df8318db46bfefa4,{},[],True,defaults
5_survival,B_refined,kaplan_meier_survival_curve,80,df8318db46bfefa4,{},"[{""comparison"": ""Log-rank test"", ""test"": ""Log-rank test"", ""p"": 0.3061454465361618, ""adj_p"": null, ""n"": 80}]",True,"percent scale, 50 % reference, x to 48 months, log-rank P, thicker curves"
