col_A,measurement_2,condition_code,thing,score_final,id_value
item_01,2.644,C0,label1,12.45,1001
item_02,0.998,C0,label2,12.74,1002
item_03,2.883,C0,label3,12.58,1003
item_04,2.491,C0,label4,13.12,1004
item_05,2.49,C0,label5,16.47,1005
item_06,3.118,C0,label6,15.26,1006
item_07,2.525,C0,label7,13.78,1007
item_08,2.754,C0,label8,12.95,1008
item_09,2.417,C0,label9,14.24,1009
item_10,3.693,C1,label10,15.38,1010
item_11,3.412,C1,label11,14.77,1011
item_12,3.638,C1,label12,14.99,1012
item_13,2.189,C1,label13,16.54,1013
item_14,2.746,C1,label14,17.97,1014
item_15,2.581,C1,label15,15.01,1015
item_16,3.308,C1,label16,14.49,1016
item_17,3.354,C1,label17,18.59,1017
item_18,3.706,C1,label18,15.13,1018
item_19,3.711,C2,label19,18.02,1019
item_20,3.7,C2,label20,19.34,1020
item_21,3.512,C2,label21,13.81,1021
item_22,4.45,C2,label22,18.05,1022
item_23,4.1,C2,label23,19.07,1023
item_24,3.444,C2,label24,17.42,1024
item_25,4.474,C2,label25,16.45,1025
item_26,4.412,C2,label26,20.13,1026
item_27,3.316,C2,label27,13.63,1027
